"","variable","label"
"230","tr_freq_pre_bikeshared_w1b","Before the COVID-19 pandemic, how often did you use the following means of transportation? Please include any walks or bike rides for exercise or enjoyment. - Shared bicycle/scooter"
"231","tr_freq_pre_walk_w1a","Before the COVID-19 pandemic, how often did you use the following means of transportation (not including walks or bike rides around your neighborhood for exercise, fresh air, dog walking, etc.)? - Walking"
"232","tr_freq_pre_walk_w1b","Before the COVID-19 pandemic, how often did you use the following means of transportation? Please include any walks or bike rides for exercise or enjoyment. - Walking"
"233","tr_freq_now_drivealone_w1a","In the last 7 days, on how many days did you use the following means of transportation (not inclu... - . - Drive alone"
"234","tr_freq_now_drivealone_w1a_miss_desc","Reason for missing values in tr_freq_now_drivealone_w1a"
"235","tr_freq_now_carpool_w1a","In the last 7 days, on how many days did you use the following means of transportation (not inclu... - . - Carpool"
"236","tr_freq_now_carpool_w1a_miss_desc","Reason for missing values in tr_freq_now_carpool_w1a"
"237","tr_freq_now_privateveh_w1b","In the last 7 days, on how many days did you use the following means of transportation? Please include any walks or bike rides for exercise or enjoyment. - Private vehicle"
"238","tr_freq_now_privateveh_w1b_miss_desc","Reason for missing values in tr_freq_now_privateveh_w1b"
"239","tr_freq_now_ridehail","In the last 7 days, on how many days did you use the following means of transportation? Ridehail/Taxi"
"240","tr_freq_now_ridehail_miss_desc","Reason for missing values in tr_freq_now_ridehail"
"241","tr_freq_now_transit","In the last 7 days, on how many days did you use the following means of transportation? Transit"
"242","tr_freq_now_transit_miss_desc","Reason for missing values in tr_freq_now_transit"
"243","tr_freq_now_bike_w1a","In the last 7 days, on how many days did you use the following means of transportation (not inclu... - . - Bicycle"
"244","tr_freq_now_bike_w1a_miss_desc","Reason for missing values in tr_freq_now_bike_w1a"
"245","tr_freq_now_bikepers_w1b","In the last 7 days, on how many days did you use the following means of transportation? Please include any walks or bike rides for exercise or enjoyment. - Personal bicycle/scooter"
"246","tr_freq_now_bikepers_w1b_miss_desc","Reason for missing values in tr_freq_now_bikepers_w1b"
"247","tr_freq_now_bikeshared_w1b","In the last 7 days, on how many days did you use the following means of transportation? Please include any walks or bike rides for exercise or enjoyment. - Shared bicycle/scooter"
"248","tr_freq_now_bikeshared_w1b_miss_desc","Reason for missing values in tr_freq_now_bikeshared_w1b"
"249","tr_freq_now_walk_w1a","In the last 7 days, on how many days did you use the following means of transportation (not inclu... - . - Walking"
"250","tr_freq_now_walk_w1a_miss_desc","Reason for missing values in tr_freq_now_walk_w1a"
"251","tr_freq_now_walk_w1b","In the last 7 days, on how many days did you use the following means of transportation? Please include any walks or bike rides for exercise or enjoyment. - Walking"
"252","tr_freq_now_walk_w1b_miss_desc","Reason for missing values in tr_freq_now_walk_w1b"
"253","tr_freq_exp_drivealone_w1a","After COVID-19 is no longer a threat, how do you expect your use of the following means of transportation to change, relative to before the COVID-19 pandemic (not including walks or bike rides around your neighborhood for exercise, fresh air, dog walking, etc.)? - Drive alone"
"254","tr_freq_exp_carpool_w1a","After COVID-19 is no longer a threat, how do you expect your use of the following means of transportation to change, relative to before the COVID-19 pandemic (not including walks or bike rides around your neighborhood for exercise, fresh air, dog walking, etc.)? - Carpool"
"255","tr_freq_exp_privateveh_w1b","After COVID-19 is no longer a threat, how do you expect your use of the following means of transport - Private vehicle"
"256","tr_freq_exp_ridehail","After COVID-19 is no longer a threat, how do you expect your use of the following means of transport to change, relative to before the COVID-19 pandemic? Ridehail/Taxi"
"257","tr_freq_exp_transit","After COVID-19 is no longer a threat, how do you expect your use of the following means of transport to change, relative to before the COVID-19 pandemic? Transit"
"258","tr_freq_exp_bike_w1a","After COVID-19 is no longer a threat, how do you expect your use of the following means of transportation to change, relative to before the COVID-19 pandemic (not including walks or bike rides around your neighborhood for exercise, fresh air, dog walking, etc.)? - Bicycle"
"259","tr_freq_exp_bikepers_w1b","After COVID-19 is no longer a threat, how do you expect your use of the following means of transport - Personal bicycle/scooter"
"260","tr_freq_exp_bikeshared_w1b","After COVID-19 is no longer a threat, how do you expect your use of the following means of transport - Shared bicycle/scooter"
"261","tr_freq_exp_walk_w1a","After COVID-19 is no longer a threat, how do you expect your use of the following means of transportation to change, relative to before the COVID-19 pandemic (not including walks or bike rides around your neighborhood for exercise, fresh air, dog walking, etc.)? - Walking"
"262","tr_freq_exp_walk_w1b","After COVID-19 is no longer a threat, how do you expect your use of the following means of transport - Walking"
"263","decrease_transit_1_w1b","Why do you expect to reduce your use of transit? Please select all that apply. - Selected Choice - I moved and no longer have transit options near my home"
"264","decrease_transit_2_w1b","Why do you expect to reduce your use of transit? Please select all that apply. - Selected Choice - I changed jobs and no longer can commute via transit"
"265","decrease_transit_3_w1b","Why do you expect to reduce your use of transit? Please select all that apply. - Selected Choice - I no longer feel comfortable sharing space with strangers"
"266","decrease_transit_5_w1b","Why do you expect to reduce your use of transit? Please select all that apply. - Selected Choice - I plan to replace my transit trips with other means of transport"
"267","decrease_transit_7_w1b","Why do you expect to reduce your use of transit? Please select all that apply. - Selected Choice - I expect to work from home more"
"268","decrease_transit_6_w1b","Why do you expect to reduce your use of transit? Please select all that apply. - Selected Choice - Other, please specify:"
"269","decrease_transit_6_TEXT_w1b","Why do you expect to reduce your use of transit? Please select all that apply. - Other, please specify: - Text"
"270","increase_bike_1_w1b","Why do you expect to increase your use of bicycles? Please select all that apply. - Selected Choice - I realized I really like biking"
"271","increase_bike_2_w1b","Why do you expect to increase your use of bicycles? Please select all that apply. - Selected Choice - I realized biking is fast"
"272","increase_bike_3_w1b","Why do you expect to increase your use of bicycles? Please select all that apply. - Selected Choice - I expect my city to make biking safer"
"273","increase_bike_4_w1b","Why do you expect to increase your use of bicycles? Please select all that apply. - Selected Choice - I bought a bike"
"274","increase_bike_5_w1b","Why do you expect to increase your use of bicycles? Please select all that apply. - Selected Choice - I realized biking is an inexpensive way to get around"
"275","increase_bike_7_w1b","Why do you expect to increase your use of bicycles? Please select all that apply. - Selected Choice - I expect to bike more in my neighborhood"
"276","increase_bike_8_w1b","Why do you expect to increase your use of bicycles? Please select all that apply. - Selected Choice - I expect to use biking to replace trips by other means of transport"
"277","increase_bike_6_w1b","Why do you expect to increase your use of bicycles? Please select all that apply. - Selected Choice - Other, please specify:"
"278","increase_bike_6_TEXT_w1b","Why do you expect to increase your use of bicycles? Please select all that apply. - Other, please specify: - Text"
"279","pre_prim_act","What was your primary activity before the COVID-19 pandemic—working or going to school?"
"280","pre_work_com_days","How many days a week did you travel to work before the COVID-19 pandemic?"
"281","pre_work_com_days_miss_desc","Reason for missing values in pre_work_com_days"
"282","pre_sch_com_days","How many days a week did you travel to school before the COVID-19 pandemic?"
"283","pre_sch_com_days_miss_desc","Reason for missing values in pre_sch_com_days"
"284","pre_work_pri_mode_harm","Primary commute mode to work before pandemic, harmonized"
"285","pre_work_pri_mode_w1a","Before the COVID-19 pandemic, how did you most often travel to work? - Selected Choice"
"286","pre_work_pri_mode_w1b","Before the COVID-19 pandemic, how did you most often travel to work?  If you travel using more than one mode on the same trip, please select the mode used for the largest distance. - Selected Choice"
"287","pre_work_pri_mode_6_TEXT_w1b","Before the COVID-19 pandemic, how did you most often travel to work?  If you travel using more than one mode on the same trip, please select the mode used for the largest distance. - Other mode - Text"
"288","pre_work_pri_mode_6_TEXT_w1a","Before the COVID-19 pandemic, how did you most often travel to work? - Other mode - Text"
"289","pre_work_pri_time","Before the COVID-19 pandemic, how many minutes did it usually take you to get to work by [QID63-ChoiceGroup-SelectedChoicesTextEntry]?"
"290","pre_work_pri_time_miss_desc","Reason for missing values in pre_work_pri_time"
"291","pre_sch_pri_mode_harm","Primary commute mode to school before pandemic, harmonized"
"292","pre_sch_pri_mode_w1a","Before the COVID-19 pandemic, how did you most often travel to school? - Selected Choice"
"293","pre_sch_pri_mode_6_TEXT_w1a","Before the COVID-19 pandemic, how did you most often travel to school? - Other mode - Text"
"294","pre_sch_pri_mode_w1b","Before the COVID-19 pandemic, how did you most often travel to school? If you travel using more than one mode on the same trip, please select the mode used for the largest distance. - Selected Choice"
"295","pre_sch_pri_mode_6_TEXT_w1b","Before the COVID-19 pandemic, how did you most often travel to school? If you travel using more than one mode on the same trip, please select the mode used for the largest distance. - Other mode - Text"
"296","pre_sch_pri_time","Before the COVID-19 pandemic, how many minutes did it usually take you to get to school by [QID155-ChoiceGroup-SelectedChoicesTextEntry]?"
"297","pre_sch_pri_time_miss_desc","Reason for missing values in pre_sch_pri_time"
"298","pre_work_sec_ex_w1a","Before the COVID-19 pandemic, was there another way you traveled to work at least once a month?"
"299","pre_sch_sec_ex_w1a","Before the COVID-19 pandemic, was there another way you traveled to school at least once a month?"
"300","pre_work_sec_mode_w1a","Before the COVID-19 pandemic, what was the second most frequent way you traveled to work? - Selected Choice"
"301","pre_work_sec_mode_6_TEXT_w1a","Before the COVID-19 pandemic, what was the second most frequent way you traveled to work? - Other mode - Text"
"302","pre_work_sec_time_w1a","Before the COVID-19 pandemic, how many minutes did it usually take you to get to work by [QID67-ChoiceGroup-SelectedChoicesTextEntry]?"
"303","pre_work_sec_time_w1a_miss_desc","Reason for missing values in pre_work_sec_time_w1a"
"304","pre_sch_sec_mode_w1a","Before the COVID-19 pandemic, what was the second most frequent way you traveled to school? - Selected Choice"
"305","pre_sch_sec_mode_6_TEXT_w1a","Before the COVID-19 pandemic, what was the second most frequent way you traveled to school? - Other mode - Text"
"306","pre_sch_sec_time_w1a","Before the COVID-19 pandemic, how many minutes did it usually take you to get to school by [QID158-ChoiceGroup-SelectedChoicesTextEntry]?"
"307","pre_sch_sec_time_w1a_miss_desc","Reason for missing values in pre_sch_sec_time_w1a"
"308","pre_work_com_dist","Before COVID-19, about how far did you live from your main work location? (miles)"
"309","pre_work_com_dist_miss_desc","Reason for missing values in pre_work_com_dist"
"310","pre_work_com_dist_na_1","OR - I did not have a fixed work location, so cannot answer this question."
"311","pre_work_com_dist_ch","You have informed us that the distance to your workplace is greater than 100 miles. Is that correct? (If it is not correct, please scroll up and revise your answer.)"
"312","pre_sch_com_dist","Before COVID-19, about how far did you live from your main school location? (miles)"
"313","pre_sch_com_dist_miss_desc","Reason for missing values in pre_sch_com_dist"
"314","pre_sch_com_dist_na_1","OR - I was an online student, so cannot answer this question."
"315","pre_sch_com_dist_ch","You have informed us that the distance to your school is greater than 100 miles. Is that correct? (If it is not correct, please scroll up and revise your answer.)"
"316","now_prim_act","What is your primary activity now—working or going to school?"
"317","now_work_com_days","In the last 7 days, on how many days did you travel to work?"
"318","now_work_com_days_miss_desc","Reason for missing values in now_work_com_days"
"319","now_work_pri_mode_harm","Primary commute mode to work now, harmonized"
"320","now_work_pri_mode_w1a","On a typical day now, how do you most often travel to work? - Selected Choice"
"321","now_work_pri_mode_6_TEXT_w1a","On a typical day now, how do you most often travel to work? - Other mode - Text"
"322","now_work_pri_mode_w1b","On a typical day now, how do you most often travel to work? If you travel using more than one mode on the same trip, please select the mode used for the largest distance. - Selected Choice"
"323","now_work_pri_mode_6_TEXT_w1b","On a typical day now, how do you most often travel to work? If you travel using more than one mode on the same trip, please select the mode used for the largest distance. - Other mode - Text"
"324","now_sch_com_days_w1a","How many days did you travel to school this week?"
"325","now_sch_com_days_w1a_miss_desc","Reason for missing values in now_sch_com_days_w1a"
"326","apr_sch_com_days_w1b","During April 2020, how many days a week did you usually travel to school?"
"327","apr_sch_com_days_w1b_miss_desc","Reason for missing values in apr_sch_com_days_w1b"
"328","now_sch_pri_mode_harm","Primary commute mode to work in April 2020 (``now in convenience sample), harmonized"
"329","now_sch_pri_mode_w1a","On a typical day now, how do you most often travel to school? - Selected Choice"
"330","now_sch_pri_mode_6_TEXT_w1a","On a typical day now, how do you most often travel to school? - Other mode - Text"
"331","apr_sch_pri_mode_w1b","On a typical day during April 2020, how did you most often travel to school? If you traveled using more than one mode on the same trip, please select the mode used for the largest distance. - Selected Choice"
"332","apr_sch_pri_mode_6_TEXT_w1b","On a typical day during April 2020, how did you most often travel to school? If you traveled using more than one mode on the same trip, please select the mode used for the largest distance. - Other mode - Text"
"333","now_work_pri_time","How many minutes does it usually take you to get to work by [QID71-ChoiceGroup-SelectedChoicesTextEntry] now?"
"334","now_work_pri_time_miss_desc","Reason for missing values in now_work_pri_time"
"335","now_sch_pri_time_w1a","How many minutes does it usually take you to get to school by [QID165-ChoiceGroup-SelectedChoicesTextEntry] now?"
"336","now_sch_pri_time_w1a_miss_desc","Reason for missing values in now_sch_pri_time_w1a"
"337","apr_sch_pri_time_w1b","How many minutes did it usually take you to get to school by [QID165-ChoiceGroup-SelectedChoicesTextEntry] during April 2020?"
"338","apr_sch_pri_time_w1b_miss_desc","Reason for missing values in apr_sch_pri_time_w1b"
"339","now_work_sec_ex_w1a","Is there another way you travel to work now at least once a month?"
"340","now_sch_sec_ex_w1a","Is there another way you travel to school now at least once a month?"
"341","now_work_sec_mode_w1a","What is the second most frequent way you travel to work now? - Selected Choice"
"342","now_work_sec_mode_6_TEXT_w1a","What is the second most frequent way you travel to work now? - Other mode - Text"
"343","now_sch_sec_mode_w1a","What is the second most frequent way you travel to school now? - Selected Choice"
"344","now_sch_sec_mode_6_TEXT_w1a","What is the second most frequent way you travel to school now? - Other mode - Text"
"345","now_work_sec_time_w1a","How many minutes does it usually take you to get to work by [QID75-ChoiceGroup-SelectedChoicesTextEntry] now?"
"346","now_sch_sec_time_w1a_miss_desc","Reason for missing values in now_sch_sec_time_w1a"
"347","now_sch_sec_time_w1a","How many minutes does it usually take you to get to work by [QID75-ChoiceGroup-SelectedChoicesTextEntry] now?"
"348","now_work_sec_time_w1a_miss_desc","Reason for missing values in now_work_sec_time_w1a"
"349","now_com_dist","You told us earlier that you have changed jobs since the COVID-19 pandemic began. About how far do you live now from your current main work location? (miles) (``current'' omitted in convenience sample)"
"350","now_com_dist_miss_desc","Reason for missing values in now_com_dist"
"351","now_com_dist_na_1","OR - I do not have a fixed work location, so cannot answer this question."
"352","now_com_dist_check","You have informed us that the distance to your workplace is greater than 100 miles. Is this correct? (If it is not correct, please scroll up and revise your answer.)"
"353","scom_mode_exp_w1b","After COVID-19 is no longer a threat, which mode do you expect to use most frequently to go to school? - Selected Choice"
"354","scom_mode_exp_6_TEXT_w1b","After COVID-19 is no longer a threat, which mode do you expect to use most frequently to go to school? - Other mode - Text"
"355","scom_change_w1b","You told us that in past you used [QID155-ChoiceGroup-SelectedChoicesTextEntry], and you expect to commute by [QID190-ChoiceGroup-SelectedChoicesTextEntry] after COVID-19 is no longer a threat. Why?"
"356","change_nocommute_sch_w1b","In the previous question, you told us you expect to attend classes exclusively online and not commute. Why?"
"357","change_noschool_w1b","In the previous question, you told us you expect to no longer be a student after COVID-19 is no longer a threat. Why do you expect that?"
"358","wcom_mode_exp_w1b","After COVID-19 is no longer a threat, which mode do you expect to use most frequently to go to work? - Selected Choice"
"359","wcom_mode_exp_6_TEXT_w1b","After COVID-19 is no longer a threat, which mode do you expect to use most frequently to go to work? - Other mode - Text"
"360","wcom_change_w1b","You told us that in past you used [QID63-ChoiceGroup-SelectedChoicesTextEntry] to commute to work, and after COVID-19 is no longer a threat, you said you expect to commute by [QID189-ChoiceGroup-SelectedChoicesTextEntry]. Why?"
"361","change_nowork_w1b","In the previous question, you told us you do not expect to be employed in the future. Why?"
"362","change_nocom_wrk_w1b","In the previous question, you told us you expect to work only from home and not commute. Why?"
"363","ld_per","Before the COVID-19 pandemic, how often did you travel by airplane for leisure/personal purposes?"
"364","ld_per_change","How much do you expect your airplane travel for leisure/personal purposes to change once COVID-19 is no longer a threat, compared to your level of travel before the COVID-19 pandemic?"
"365","ld_per_decrease_1_harm","Why do you anticipate a decrease in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - My financial circumstances changed and I can no longer afford to travel in the same way"
"366","ld_per_decrease_5_harm","Why do you anticipate a decrease in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - I am able to use technology (e.g., FaceTime, Zoom) to meaningfully engage with long-distance connections"
"367","ld_per_decrease_6_harm","Why do you anticipate a decrease in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - I will not feel safe or comfortable sharing close space with strangers (``I don't feel safe...'' in convenience sample)"
"368","ld_per_decrease_8_harm","Why do you anticipate a decrease in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - I anticipate taking more of my long-distance trips by car"
"369","ld_per_decrease_9_harm","Why do you anticipate a decrease in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - I anticipate taking more of my long-distance trips by train or bus"
"370","ld_per_decrease_10_harm","Why do you anticipate a decrease in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - Other. Please specify:"
"371","ld_per_decrease_10_TEXT_harm","Why do you anticipate a decrease in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Other. Please specify: - Text"
"372","ld_per_decrease_1_w1b","Why do you anticipate a decrease in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - My financial circumstances changed and I can no longer afford to travel in the same way"
"373","ld_per_decrease_4_w1b","Why do you anticipate a decrease in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - I want to spend more time at home"
"374","ld_per_decrease_5_w1b","Why do you anticipate a decrease in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - I am able to use technology (e.g., FaceTime, Zoom) to meaningfully engage with long-distance connections"
"375","ld_per_decrease_6_w1b","Why do you anticipate a decrease in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - I will not feel safe or comfortable sharing close space with strangers"
"376","ld_per_decrease_8_w1b","Why do you anticipate a decrease in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - I anticipate taking more of my long-distance trips by car"
"377","ld_per_decrease_9_w1b","Why do you anticipate a decrease in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - I anticipate taking more of my long-distance trips by train or bus"
"378","ld_per_decrease_7_w1b","Why do you anticipate a decrease in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - I want to fly less for environmental reasons"
"379","ld_per_decrease_10_w1b","Why do you anticipate a decrease in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - Other, please specify:"
"380","ld_per_decrease_10_TEXT_w1b","Why do you anticipate a decrease in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Other, please specify: - Text"
"381","ld_per_incr_2_harm","Why do you anticipate an increase in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - My financial circumstances changed and I can now afford more air travel."
"382","ld_per_incr_3_harm","Why do you anticipate an increase in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - I will need/want to take trips that were cancelled during the COVID-19 pandemic."
"383","ld_per_incr_7_harm","Why do you anticipate an increase in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - After having been cooped up at home for so long, I want to travel more than I did before."
"384","ld_per_incr_10_harm","Why do you anticipate an increase in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - Other. Please specify:"
"385","ld_per_incr_10_TEXT_harm","Why do you anticipate an increase in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Other. Please specify: - Text"
"386","ld_per_incr_2_w1b","Why do you anticipate an increase in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - My financial circumstances changed and I can now afford more air travel."
"387","ld_per_incr_3_w1b","Why do you anticipate an increase in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - I will need/want to take trips that were cancelled during the COVID-19 pandemic."
"388","ld_per_incr_7_w1b","Why do you anticipate an increase in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - After having been cooped up at home for so long, I want to travel more than I did before."
"389","ld_per_incr_10_w1b","Why do you anticipate an increase in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - Other, please specify:"
"390","ld_per_incr_10_TEXT_w1b","Why do you anticipate an increase in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Other, please specify: - Text"
"391","ld_per_change_why_1_w1a","Why do you anticipate a change in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - My financial circumstances changed and I can no longer afford to travel in the same way."
"392","ld_per_change_why_2_w1a","Why do you anticipate a change in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - My financial circumstances changed and I can now afford more air travel."
"393","ld_per_change_why_3_w1a","Why do you anticipate a change in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - I will need/want to take trips that were cancelled during the COVID-19 pandemic."
"394","ld_per_change_why_4_w1a","Why do you anticipate a change in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - My priorities changed and I no longer want to or can travel in the same way."
"395","ld_per_change_why_5_w1a","Why do you anticipate a change in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - I am able to use technology (e.g., FaceTime, Zoom) to meaningfully engage with long-distance connections."
"396","ld_per_change_why_6_w1a","Why do you anticipate a change in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - I don’t feel safe or comfortable sharing close space with strangers."
"397","ld_per_change_why_7_w1a","Why do you anticipate a change in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - After having been cooped up at home for so long, I want to travel more than I did before."
"398","ld_per_change_why_8_w1a","Why do you anticipate a change in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - I anticipate taking more of my long-distance trips by car."
"399","ld_per_change_why_9_w1a","Why do you anticipate a change in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - I anticipate taking more of my long-distance trips by train or bus."
"400","ld_per_change_why_10_w1a","Why do you anticipate a change in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - Other, please specify:"
"401","ld_per_change_why_10_TEXT_w1a","Why do you anticipate a change in your long-distance travel for leisure/personal purposes after COVID-19 is no longer a threat? Select all that apply. - Other, please specify: - Text"
"402","ld_bz","Before the COVID-19 pandemic, how often did you travel by airplane for business purposes?"
"403","ld_bz_change","How much do you expect your airplane travel for business purposes to change once COVID-19 is no longer a threat, compared to your level of travel before the COVID-19 pandemic?"
"404","ld_bz_change_whyless_5_harm","Why do you anticipate a decrease in your long-distance travel for business purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - My employer adopted a commitment to reduce travel by airplane. (``My company'' in convenience sample)"
"405","ld_bz_change_whyless_1","Why do you anticipate a decrease in your long-distance travel for business purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - I realized I could conduct my meetings by conference call/video conference."
"406","ld_bz_change_whyless_10","Why do you anticipate a decrease in your long-distance travel for business purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - Those I meet with have realized that we can conduct meetings by conference call/video conference."
"407","ld_bz_change_whyless_3_w1a","Why do you anticipate a decrease in your long-distance travel for business purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - My job changed and I no longer need to travel by airplane."
"408","ld_bz_change_whyless_5_w1a","Why do you anticipate a decrease in your long-distance travel for business purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - My company adopted a commitment to reduce travel by airplane."
"409","ld_bz_change_whyless_6","Why do you anticipate a decrease in your long-distance travel for business purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - I don’t feel safe or comfortable sharing close space with strangers."
"410","ld_bz_change_whyless_7","Why do you anticipate a decrease in your long-distance travel for business purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - I anticipate taking more of my long-distance trips by car."
"411","ld_bz_change_whyless_8","Why do you anticipate a decrease in your long-distance travel for business purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - I anticipate taking more of my long-distance trips by train or bus."
"412","ld_bz_change_whyless_9","Why do you anticipate a decrease in your long-distance travel for business purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - Other, please specify:"
"413","ld_bz_change_whyless_9_TEXT","Why do you anticipate a decrease in your long-distance travel for business purposes after COVID-19 is no longer a threat? Select all that apply. - Other, please specify: - Text"
"414","ld_bz_change_whyless_3_w1b","Why do you anticipate a decrease in your long-distance travel for business purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - My job responsibilities have changed."
"415","ld_bz_change_whyless_13_w1b","Why do you anticipate a decrease in your long-distance travel for business purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - I expect reduced budget for travel."
"416","ld_bz_change_whyless_5_w1b","Why do you anticipate a decrease in your long-distance travel for business purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - My employer adopted a commitment to reduce travel by airplane."
"417","ld_bz_change_whyless_11_w1b","Why do you anticipate a decrease in your long-distance travel for business purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - I want to spend more time at home."
"418","ld_bz_change_whyless_12_w1b","Why do you anticipate a decrease in your long-distance travel for business purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - I want to fly less for environmental reasons."
"419","ld_bz_change_whymore_2","Why do you anticipate a increase in your long-distance travel for business purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - I want/need to take trips that were cancelled during the COVID-19 pandemic."
"420","ld_bz_change_whymore_4_w1a","Why do you anticipate a increase in your long-distance travel for business purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - My job changed and I now have more need to travel by airplane."
"421","ld_bz_change_whymore_9","Why do you anticipate a increase in your long-distance travel for business purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - Other, please specify:"
"422","ld_bz_change_whymore_9_TEXT","Why do you anticipate a increase in your long-distance travel for business purposes after COVID-19 is no longer a threat? Select all that apply. - Other, please specify: - Text"
"423","ld_bz_change_whymore_11_w1b","Why do you anticipate a increase in your long-distance travel for business purposes after COVID-19 is no longer a threat? Select all that apply. - Selected Choice - My job responsibilities have changed."
"424","att_wb","I am generally satisfied with my life"
"425","att_covid_selfsevere","If I catch the coronavirus, I am concerned that I will have a severe reaction"
"426","att_covid_friendssevere","I am concerned that friends or family members will have a severe reaction to the coronavirus if they catch it"
"427","att_covid_commdisasters","I feel that my community is well prepared for disasters"
"428","att_covid_stayhome","Everyone should just stay home as much as possible until the coronavirus has subsided"
"429","att_covid_overreact","Society is overreacting to the coronavirus"
"430","att_covid_economic","Shutting down businesses to prevent the spread of coronavirus is not worth the economic damage that will result"
"431","att_covid_stayhome_norm","My friends and family expect me to stay at home until the coronavirus subsides"
"432","risk_percp_1_w1b","How do you perceive the risk of being exposed to the COVID-19 virus while performing the following activities during the pandemic? Please answer even if you have not conducted the activity. - Going to work"
"433","risk_percp_2_w1b","How do you perceive the risk of being exposed to the COVID-19 virus while performing the following activities during the pandemic? Please answer even if you have not conducted the activity. - Shopping at a grocery store"
"434","risk_percp_3_w1b","How do you perceive the risk of being exposed to the COVID-19 virus while performing the following activities during the pandemic? Please answer even if you have not conducted the activity. - Riding public transportation"
