Study ID,PTSDpubs ID,"Author, Year",Outcome Assessment Type,PTSD Outcome Measure,PTSD Outcome Measure Detail,Analysis Type,Adjusted Variables in Statistical Analysis,Method for Handling Missing Data,Statistical Analysis,Arms Compared,Assessment Point,Effect Size 1 Detail,Effect Size 1 Type,Effect Size 1,Effect Size 1 Type of Variance Measure,Effect Size 1 Variance Value or Lower Bound,Effect Size 1 Variance Upper Bound,Effect Size 1 p value,Effect Size 2 Detail,Effect Size 2 Type,Effect Size 2,Effect Size 2 Type of Variance Measure,Effect Size 2 Variance Value or Lower Bound,Effect Size 2 Variance Upper Bound,Effect Size 2 p value,EPC Calculated: Comparison Standardized Effect Size,EPC Calculated: Comparison Standardized Effect Size Standard Error,EPC Calculated: Comparison Standardized Effect Size 95% CI Lower Bound,EPC Calculated: Comparison Standardized Effect Size 95% CI Upper Bound,EPC Calculated: Comparison  Standardized Effect Size Data Source,Score Difference 1 Detail,Comparison Score Difference 1 Adjusted Indicator,Score Difference 1,Comparison Score Difference 1 Calculated Indicator,Score Difference 1 Standard Deviation,Comparison Score Difference 1 SE Calculated Indicator,Score Difference 1 95% CI Lower Bound,Score Difference 1 95% CI Upper Bound,Comparison Score Difference 1 p value,Score Difference 2 Detail,Comparison Score Difference 2 Adjusted Indicator,Score Difference 2,Comparison Score Difference 2 Calculated Indicator,Score Difference 2 Standard Deviation,Comparison Score Difference 2 SE Calculated Indicator,Score Difference 2 95% CI Lower Bound,Score Difference 2 95% CI Upper Bound,Comparison Score Difference 2 p value,unique_row_identifier,Citation,Study Publication Year,Study Class,Overall ROB Assessment (Study Level),Military Status (Study Level),Race/Ethnicity Reported (Study Level),Trauma Type (Study Level),Trauma Detail (Study Level),Total N Randomized (Study Level),Treatment Focus (Study Level)
bryant2008,31196,"Bryant, 2008",Structured Clinical Interview,CAPS,CAPS,ITT,ANCOVA: baseline CAPS score,LOCF,ANCOVA with post-hoc Tukey comparisons; Hedge's G effect sizes; chi-squared for categorical outcomes,A vs C,0,Difference at endpoint,Hedges' g,0.01,95% CI,-0.48,0.51,,,,,,,,,0.003,0.302,-0.589,0.595,Follow-up,,,,,,,,,,,,,,,,,,,bryant2008_Structured Clinical Interview_CAPS_ITT_A vs C_0,"Bryant RA, Moulds ML, Guthrie RM, et al. A randomized controlled trial of exposure therapy and cognitive restructuring for posttraumatic stress disorder. J Consult Clin Psychol. 2008 Aug;76(4):695-703. doi: 10.1037/a0012616. PMID: 18665697.",2008,Psychotherapy,High,Community,Race data reported,Mixed,"accidents, community/school violence",118,PTSD
bryant2008,31196,"Bryant, 2008",Structured Clinical Interview,CAPS,CAPS,ITT,ANCOVA: baseline CAPS score,LOCF,ANCOVA with post-hoc Tukey comparisons; Hedge's G effect sizes; chi-squared for categorical outcomes,A vs C,26,Difference at endpoint,Hedges' g,0.1,95% CI,-0.4,0.6,,,,,,,,,0.102,0.309,-0.503,0.708,Follow-up,,,,,,,,,,,,,,,,,,,bryant2008_Structured Clinical Interview_CAPS_ITT_A vs C_26,"Bryant RA, Moulds ML, Guthrie RM, et al. A randomized controlled trial of exposure therapy and cognitive restructuring for posttraumatic stress disorder. J Consult Clin Psychol. 2008 Aug;76(4):695-703. doi: 10.1037/a0012616. PMID: 18665697.",2008,Psychotherapy,High,Community,Race data reported,Mixed,"accidents, community/school violence",118,PTSD
bryant2008,31196,"Bryant, 2008",Structured Clinical Interview,CAPS,CAPS,ITT,ANCOVA: baseline CAPS score,LOCF,ANCOVA with post-hoc Tukey comparisons; Hedge's G effect sizes; chi-squared for categorical outcomes,A vs D,0,Difference at endpoint,Hedges' g,0.89,95% CI,0.35,1.42,p<0.05,,,,,,,,0.824,0.305,0.227,1.422,Follow-up,,,,,,,,,,,,,,,,,,,bryant2008_Structured Clinical Interview_CAPS_ITT_A vs D_0,"Bryant RA, Moulds ML, Guthrie RM, et al. A randomized controlled trial of exposure therapy and cognitive restructuring for posttraumatic stress disorder. J Consult Clin Psychol. 2008 Aug;76(4):695-703. doi: 10.1037/a0012616. PMID: 18665697.",2008,Psychotherapy,High,Community,Race data reported,Mixed,"accidents, community/school violence",118,PTSD
bryant2008,31196,"Bryant, 2008",Structured Clinical Interview,CAPS,CAPS,ITT,ANCOVA: baseline CAPS score,LOCF,ANCOVA with post-hoc Tukey comparisons; Hedge's G effect sizes; chi-squared for categorical outcomes,A vs D,26,Difference at endpoint,Hedges' g,0.89,95% CI,0.35,1.42,p<0.05,,,,,,,,0.886,0.325,0.249,1.523,Follow-up,,,,,,,,,,,,,,,,,,,bryant2008_Structured Clinical Interview_CAPS_ITT_A vs D_26,"Bryant RA, Moulds ML, Guthrie RM, et al. A randomized controlled trial of exposure therapy and cognitive restructuring for posttraumatic stress disorder. J Consult Clin Psychol. 2008 Aug;76(4):695-703. doi: 10.1037/a0012616. PMID: 18665697.",2008,Psychotherapy,High,Community,Race data reported,Mixed,"accidents, community/school violence",118,PTSD
bryant2008,31196,"Bryant, 2008",Structured Clinical Interview,CAPS,CAPS,ITT,ANCOVA: baseline CAPS score,LOCF,ANCOVA with post-hoc Tukey comparisons; Hedge's G effect sizes; chi-squared for categorical outcomes,B vs C,0,,,,,,,,,,,,,,,0.018,0.305,-0.58,0.616,Follow-up,,,,,,,,,,,,,,,,,,,bryant2008_Structured Clinical Interview_CAPS_ITT_B vs C_0,"Bryant RA, Moulds ML, Guthrie RM, et al. A randomized controlled trial of exposure therapy and cognitive restructuring for posttraumatic stress disorder. J Consult Clin Psychol. 2008 Aug;76(4):695-703. doi: 10.1037/a0012616. PMID: 18665697.",2008,Psychotherapy,High,Community,Race data reported,Mixed,"accidents, community/school violence",118,PTSD
bryant2008,31196,"Bryant, 2008",Structured Clinical Interview,CAPS,CAPS,ITT,ANCOVA: baseline CAPS score,LOCF,ANCOVA with post-hoc Tukey comparisons; Hedge's G effect sizes; chi-squared for categorical outcomes,B vs C,26,,,,,,,,,,,,,,,0.087,0.309,-0.518,0.693,Follow-up,,,,,,,,,,,,,,,,,,,bryant2008_Structured Clinical Interview_CAPS_ITT_B vs C_26,"Bryant RA, Moulds ML, Guthrie RM, et al. A randomized controlled trial of exposure therapy and cognitive restructuring for posttraumatic stress disorder. J Consult Clin Psychol. 2008 Aug;76(4):695-703. doi: 10.1037/a0012616. PMID: 18665697.",2008,Psychotherapy,High,Community,Race data reported,Mixed,"accidents, community/school violence",118,PTSD
bryant2008,31196,"Bryant, 2008",Structured Clinical Interview,CAPS,CAPS,ITT,ANCOVA: baseline CAPS score,LOCF,ANCOVA with post-hoc Tukey comparisons; Hedge's G effect sizes; chi-squared for categorical outcomes,B vs D,0,Difference at endpoint,Hedges' g,,,,,p<0.05,,,,,,,,0.99,0.314,0.374,1.605,Follow-up,,,,,,,,,,,,,,,,,,,bryant2008_Structured Clinical Interview_CAPS_ITT_B vs D_0,"Bryant RA, Moulds ML, Guthrie RM, et al. A randomized controlled trial of exposure therapy and cognitive restructuring for posttraumatic stress disorder. J Consult Clin Psychol. 2008 Aug;76(4):695-703. doi: 10.1037/a0012616. PMID: 18665697.",2008,Psychotherapy,High,Community,Race data reported,Mixed,"accidents, community/school violence",118,PTSD
bryant2008,31196,"Bryant, 2008",Structured Clinical Interview,CAPS,CAPS,ITT,ANCOVA: baseline CAPS score,LOCF,ANCOVA with post-hoc Tukey comparisons; Hedge's G effect sizes; chi-squared for categorical outcomes,B vs D,26,Difference at endpoint,Hedges' g,,,,,p<0.05,,,,,,,,0.909,0.326,0.271,1.548,Follow-up,,,,,,,,,,,,,,,,,,,bryant2008_Structured Clinical Interview_CAPS_ITT_B vs D_26,"Bryant RA, Moulds ML, Guthrie RM, et al. A randomized controlled trial of exposure therapy and cognitive restructuring for posttraumatic stress disorder. J Consult Clin Psychol. 2008 Aug;76(4):695-703. doi: 10.1037/a0012616. PMID: 18665697.",2008,Psychotherapy,High,Community,Race data reported,Mixed,"accidents, community/school violence",118,PTSD
bryant2008,31196,"Bryant, 2008",Structured Clinical Interview,CAPS,CAPS,ITT,ANCOVA: baseline CAPS score,LOCF,ANCOVA with post-hoc Tukey comparisons; Hedge's G effect sizes; chi-squared for categorical outcomes,C vs D,0,Difference at endpoint,Hedges' g,,,,,p<0.05,,,,,,,,0.776,0.311,0.167,1.385,Follow-up,,,,,,,,,,,,,,,,,,,bryant2008_Structured Clinical Interview_CAPS_ITT_C vs D_0,"Bryant RA, Moulds ML, Guthrie RM, et al. A randomized controlled trial of exposure therapy and cognitive restructuring for posttraumatic stress disorder. J Consult Clin Psychol. 2008 Aug;76(4):695-703. doi: 10.1037/a0012616. PMID: 18665697.",2008,Psychotherapy,High,Community,Race data reported,Mixed,"accidents, community/school violence",118,PTSD
bryant2008,31196,"Bryant, 2008",Structured Clinical Interview,CAPS,CAPS,ITT,ANCOVA: baseline CAPS score,LOCF,ANCOVA with post-hoc Tukey comparisons; Hedge's G effect sizes; chi-squared for categorical outcomes,C vs D,26,Difference at endpoint,Hedges' g,,,,,p<0.05,,,,,,,,0.723,0.319,0.097,1.349,Follow-up,,,,,,,,,,,,,,,,,,,bryant2008_Structured Clinical Interview_CAPS_ITT_C vs D_26,"Bryant RA, Moulds ML, Guthrie RM, et al. A randomized controlled trial of exposure therapy and cognitive restructuring for posttraumatic stress disorder. J Consult Clin Psychol. 2008 Aug;76(4):695-703. doi: 10.1037/a0012616. PMID: 18665697.",2008,Psychotherapy,High,Community,Race data reported,Mixed,"accidents, community/school violence",118,PTSD
bryant2008,31196,"Bryant, 2008",Structured Clinical Interview,CAPS,CAPS,ITT,ANCOVA: baseline CAPS score,LOCF,ANCOVA with post-hoc Tukey comparisons; Hedge's G effect sizes; chi-squared for categorical outcomes,Omnibus,0,Difference at endpoint,main effect,,,,,p<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bryant2008_Structured Clinical Interview_CAPS_ITT_Omnibus_0,"Bryant RA, Moulds ML, Guthrie RM, et al. A randomized controlled trial of exposure therapy and cognitive restructuring for posttraumatic stress disorder. J Consult Clin Psychol. 2008 Aug;76(4):695-703. doi: 10.1037/a0012616. PMID: 18665697.",2008,Psychotherapy,High,Community,Race data reported,Mixed,"accidents, community/school violence",118,PTSD
bryant2008,31196,"Bryant, 2008",Structured Clinical Interview,CAPS,CAPS,ITT,ANCOVA: baseline CAPS score,LOCF,ANCOVA with post-hoc Tukey comparisons; Hedge's G effect sizes; chi-squared for categorical outcomes,Omnibus,26,Difference at endpoint,main effect,,,,,p<0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bryant2008_Structured Clinical Interview_CAPS_ITT_Omnibus_26,"Bryant RA, Moulds ML, Guthrie RM, et al. A randomized controlled trial of exposure therapy and cognitive restructuring for posttraumatic stress disorder. J Consult Clin Psychol. 2008 Aug;76(4):695-703. doi: 10.1037/a0012616. PMID: 18665697.",2008,Psychotherapy,High,Community,Race data reported,Mixed,"accidents, community/school violence",118,PTSD
bryant2011,37395,"Bryant, 2011",Structured Clinical Interview,PSS-I,PSS-I,ITT,None,,ANCOVA and Hedges' G effect sizes for continuous outcomes; chi-squared for categorical outcomes,A vs B,0,Endpoint difference,Hedges' g,0.96,95% CI,0.17,1.75,,,partial eta-squared,0.35,,,,p=0.001,-0.974,0.407,-1.771,-0.177,Follow-up,,,,,,,,,,,,,,,,,,,bryant2011_Structured Clinical Interview_PSS-I_ITT_A vs B_0,"Bryant RA, Ekassawin S, Chakkraband MLS, et al. A randomized controlled effectiveness trial of cognitive behavior therapy for post-traumatic stress disorder in terrorist-affected people in Thailand. World Psychiatry. 2011 Oct;10(3):205-9.  PMID: 21991280.",2011,Psychotherapy,Some Concerns,Community,Not reported,Terrorism/political violence/forced displacement,,28,PTSD
bryant2011,37395,"Bryant, 2011",Structured Clinical Interview,PSS-I,PSS-I,ITT,None,,ANCOVA and Hedges' G effect sizes for continuous outcomes; chi-squared for categorical outcomes,A vs B,12,Endpoint difference,Hedges' g,0.62,95% CI,-0.14,1.39,,,partial eta-squared,0.26,,,,p=0.007,-0.624,0.392,-1.392,0.145,Follow-up,,,,,,,,,,,,,,,,,,,bryant2011_Structured Clinical Interview_PSS-I_ITT_A vs B_12,"Bryant RA, Ekassawin S, Chakkraband MLS, et al. A randomized controlled effectiveness trial of cognitive behavior therapy for post-traumatic stress disorder in terrorist-affected people in Thailand. World Psychiatry. 2011 Oct;10(3):205-9.  PMID: 21991280.",2011,Psychotherapy,Some Concerns,Community,Not reported,Terrorism/political violence/forced displacement,,28,PTSD
bryant2013,40045,"Bryant, 2013",Structured Clinical Interview,CAPS,CAPS-2,Completer,Baseline scores,,ANCOVA with covariate baseline scores and Hedges' g effect sizes for continuous outcomes; chi-squared for dichotomous outcomes.,A vs B,0,Difference at endpoint,Hedges' g,-0.12,95% CI,-0.77,0.54,,Difference at endpoint,partial eta-squared,0.01,,,,p=0.63,0.116,0.285,-0.442,0.674,Follow-up,,,,,,,,,,,,,,,,,,,bryant2013_Structured Clinical Interview_CAPS-2_Completer_A vs B_0,"Bryant RA, Mastrodomenico JA, Hopwood S, et al. Augmenting cognitive behaviour therapy for post-traumatic stress disorder with emotion tolerance training: a randomized controlled trial. Psychol Med. 2013 Oct;43(10):2153-60. doi: 10.1017/S0033291713000068. PMID: 23406821.",2013,Psychotherapy,High,Community,Race data reported,Mixed,"accidents, community/school violence",70,PTSD
bryant2013,40045,"Bryant, 2013",Structured Clinical Interview,CAPS,CAPS-2,Completer,Baseline scores,,ANCOVA with covariate baseline scores and Hedges' g effect sizes for continuous outcomes; chi-squared for dichotomous outcomes.,A vs B,26,Difference at endpoint,Hedges' g,0.26,95% CI,-0.4,0.92,,Difference at endpoint,partial eta-squared,0.13,,,,p=0.05,-0.258,0.374,-0.991,0.474,Follow-up,,,,,,,,,,,,,,,,,,,bryant2013_Structured Clinical Interview_CAPS-2_Completer_A vs B_26,"Bryant RA, Mastrodomenico JA, Hopwood S, et al. Augmenting cognitive behaviour therapy for post-traumatic stress disorder with emotion tolerance training: a randomized controlled trial. Psychol Med. 2013 Oct;43(10):2153-60. doi: 10.1017/S0033291713000068. PMID: 23406821.",2013,Psychotherapy,High,Community,Race data reported,Mixed,"accidents, community/school violence",70,PTSD
bryant2013,40045,"Bryant, 2013",Structured Clinical Interview,CAPS,CAPS-2,ITT,Baseline scores,imputed,ANCOVA with covariate baseline scores and Hedges' g effect sizes for continuous outcomes; chi-squared for dichotomous outcomes.,A vs B,0,Difference at endpoint,Hedges' g,0.29,95% CI,-0.17,0.76,,Difference at endpoint,partial eta-squared,0.01,,,,p=0.39,-0.293,0.31,-0.901,0.316,Follow-up,,,,,,,,,,,,,,,,,,,bryant2013_Structured Clinical Interview_CAPS-2_ITT_A vs B_0,"Bryant RA, Mastrodomenico JA, Hopwood S, et al. Augmenting cognitive behaviour therapy for post-traumatic stress disorder with emotion tolerance training: a randomized controlled trial. Psychol Med. 2013 Oct;43(10):2153-60. doi: 10.1017/S0033291713000068. PMID: 23406821.",2013,Psychotherapy,High,Community,Race data reported,Mixed,"accidents, community/school violence",70,PTSD
bryant2013,40045,"Bryant, 2013",Structured Clinical Interview,CAPS,CAPS-2,ITT,Baseline scores,imputed,ANCOVA with covariate baseline scores and Hedges' g effect sizes for continuous outcomes; chi-squared for dichotomous outcomes.,A vs B,26,Difference at endpoint,Hedges' g,0.43,95% CI,-0.04,0.9,,Difference at endpoint,partial eta-squared,0.3,,,,p=0.00,-0.426,0.348,-1.107,0.256,Follow-up,,,,,,,,,,,,,,,,,,,bryant2013_Structured Clinical Interview_CAPS-2_ITT_A vs B_26,"Bryant RA, Mastrodomenico JA, Hopwood S, et al. Augmenting cognitive behaviour therapy for post-traumatic stress disorder with emotion tolerance training: a randomized controlled trial. Psychol Med. 2013 Oct;43(10):2153-60. doi: 10.1017/S0033291713000068. PMID: 23406821.",2013,Psychotherapy,High,Community,Race data reported,Mixed,"accidents, community/school violence",70,PTSD
bryant2019,51039,"Bryant, 2019",Structured Clinical Interview,CAPS,CAPS,ITT,Comorbid disorders,Models that handle missing data by calculating estimates of trajectories,Hierarchical linear mixed models,A vs B,0,,Cohen's d,0.1,95% CI,-0.7,0.6,p>0.05,,,,,,,,0.065,0.268,-0.459,0.589,Change,,,,,,,,,,,,,,,,,,,bryant2019_Structured Clinical Interview_CAPS_ITT_A vs B_0,"Bryant RA, Kenny L, Rawson N, et al. Efficacy of exposure-based cognitive behaviour therapy for post-traumatic stress disorder in emergency service personnel: a randomised clinical trial. Psychol Med. 2019 Jul;49(9):1565-73. doi: 10.1017/S0033291718002234. PMID: 30149825.",2019,Psychotherapy,Low,Community,Race data reported,Other,"emergency service personnel including police, firefighters, and paramedics; exposure to fatality",100,PTSD
bryant2019,51039,"Bryant, 2019",Structured Clinical Interview,CAPS,CAPS,ITT,Comorbid disorders,Models that handle missing data by calculating estimates of trajectories,Hierarchical linear mixed models,A vs C,0,,Cohen's d,1.7,95% CI,1,2.3,,,,,,,,,-1.355,0.304,-1.95,-0.759,Change,,,,,,,,,,,,,,,,,,,bryant2019_Structured Clinical Interview_CAPS_ITT_A vs C_0,"Bryant RA, Kenny L, Rawson N, et al. Efficacy of exposure-based cognitive behaviour therapy for post-traumatic stress disorder in emergency service personnel: a randomised clinical trial. Psychol Med. 2019 Jul;49(9):1565-73. doi: 10.1017/S0033291718002234. PMID: 30149825.",2019,Psychotherapy,Low,Community,Race data reported,Other,"emergency service personnel including police, firefighters, and paramedics; exposure to fatality",100,PTSD
bryant2019,51039,"Bryant, 2019",Structured Clinical Interview,CAPS,CAPS,ITT,Comorbid disorders,Models that handle missing data by calculating estimates of trajectories,Hierarchical linear mixed models,B vs C,0,,Cohen's d,1.6,95% CI,0.9,2.3,,,,,,,,,-1.407,0.301,-1.996,-0.817,Change,,,,,,,,,,,,,,,,,,,bryant2019_Structured Clinical Interview_CAPS_ITT_B vs C_0,"Bryant RA, Kenny L, Rawson N, et al. Efficacy of exposure-based cognitive behaviour therapy for post-traumatic stress disorder in emergency service personnel: a randomised clinical trial. Psychol Med. 2019 Jul;49(9):1565-73. doi: 10.1017/S0033291718002234. PMID: 30149825.",2019,Psychotherapy,Low,Community,Race data reported,Other,"emergency service personnel including police, firefighters, and paramedics; exposure to fatality",100,PTSD
bryant2019,51039,"Bryant, 2019",Structured Clinical Interview,CAPS,CAPS,ITT,Comorbid disorders,Models that handle missing data by calculating estimates of trajectories,Hierarchical linear mixed models,Omnibus,0,Group x Time interaction,,,,,,p<0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bryant2019_Structured Clinical Interview_CAPS_ITT_Omnibus_0,"Bryant RA, Kenny L, Rawson N, et al. Efficacy of exposure-based cognitive behaviour therapy for post-traumatic stress disorder in emergency service personnel: a randomised clinical trial. Psychol Med. 2019 Jul;49(9):1565-73. doi: 10.1017/S0033291718002234. PMID: 30149825.",2019,Psychotherapy,Low,Community,Race data reported,Other,"emergency service personnel including police, firefighters, and paramedics; exposure to fatality",100,PTSD
bryant2023,1609320,"Bryant, 2023",Structured Clinical Interview,CAPS,CAPS-2,Completer,None,Mixed effects models,Hierarchical linear mixed model; completer sample = participants who completed the 6-month follow-up,A vs B,1,effect size calculated using difference in least square means divided by the pooled SD,Cohen's d,-0.4,95% CI,-0.9,0.1,,,,,,,,,-0.235,0.19,-0.607,0.137,Follow-up,Difference in least squares mean,Unadjusted,-7.0,Reported,,,-16.4,2.3,p=0.14,,,,,,,,,,bryant2023_Structured Clinical Interview_CAPS-2_Completer_A vs B_1,"Bryant RA, Dawson KS, Azevedo S, et al. Augmenting trauma-focused psychotherapy for post-traumatic stress disorder with brief aerobic exercise in Australia: a randomised clinical trial. Lancet Psychiatry. 2023;10(1):21-9. doi: 10.1016/S2215-0366(22)00368-6. PMID: 36436532.",2023,Other mixed,Low,Community,Race data reported,Mixed,Accidents; Community/school violence,130,PTSD
bryant2023,1609320,"Bryant, 2023",Structured Clinical Interview,CAPS,CAPS-2,Completer,None,Mixed effects models,Hierarchical linear mixed model; completer sample = participants who completed the 6-month follow-up,A vs B,26,effect size calculated using difference in least square means divided by the pooled SD,Cohen's d,-0.6,95% CI,-1.1,-0.1,,,,,,,,,-0.378,0.201,-0.772,0.016,Follow-up,Difference in least squares mean,Unadjusted,-12.1,Reported,,,-21.8,-2.4,p=0.02,,,,,,,,,,bryant2023_Structured Clinical Interview_CAPS-2_Completer_A vs B_26,"Bryant RA, Dawson KS, Azevedo S, et al. Augmenting trauma-focused psychotherapy for post-traumatic stress disorder with brief aerobic exercise in Australia: a randomised clinical trial. Lancet Psychiatry. 2023;10(1):21-9. doi: 10.1016/S2215-0366(22)00368-6. PMID: 36436532.",2023,Other mixed,Low,Community,Race data reported,Mixed,Accidents; Community/school violence,130,PTSD
bryant2023,1609320,"Bryant, 2023",Structured Clinical Interview,CAPS,CAPS-2,ITT,Baseline score on the Godin leisure time questionnaire (physical activity level),Mixed effects models,Hierarchical linear mixed model,A vs B,1,effect size calculated using difference in least square means divided by the pooled SD,Cohen's d,-0.3,95% CI,-0.7,0.1,,,,,,,,,-0.25,0.19,-0.626,0.126,Adjusted MD,Difference in least squares mean,Adjusted,-5.7,Reported,,,-14.3,2.8,p=0.19,,,,,,,,,,bryant2023_Structured Clinical Interview_CAPS-2_ITT_A vs B_1,"Bryant RA, Dawson KS, Azevedo S, et al. Augmenting trauma-focused psychotherapy for post-traumatic stress disorder with brief aerobic exercise in Australia: a randomised clinical trial. Lancet Psychiatry. 2023;10(1):21-9. doi: 10.1016/S2215-0366(22)00368-6. PMID: 36436532.",2023,Other mixed,Low,Community,Race data reported,Mixed,Accidents; Community/school violence,130,PTSD
bryant2023,1609320,"Bryant, 2023",Structured Clinical Interview,CAPS,CAPS-2,ITT,Baseline score on the Godin leisure time questionnaire (physical activity level),Mixed effects models,Hierarchical linear mixed model,A vs B,26,effect size calculated using difference in least square means divided by the pooled SD,Cohen's d,-0.6,95% CI,-1.1,-0.1,,,,,,,,,-0.472,0.202,-0.872,-0.071,Adjusted MD,Difference in least squares mean,Adjusted,-11.4,Reported,,,-21.0,-1.9,p=0.02,,,,,,,,,,bryant2023_Structured Clinical Interview_CAPS-2_ITT_A vs B_26,"Bryant RA, Dawson KS, Azevedo S, et al. Augmenting trauma-focused psychotherapy for post-traumatic stress disorder with brief aerobic exercise in Australia: a randomised clinical trial. Lancet Psychiatry. 2023;10(1):21-9. doi: 10.1016/S2215-0366(22)00368-6. PMID: 36436532.",2023,Other mixed,Low,Community,Race data reported,Mixed,Accidents; Community/school violence,130,PTSD
bryant2025,1643672,"Bryant, 2025",Structured Clinical Interview,CAPS,CAPS-5,Completer,None,Complete case analysis,Hierarchical linear models with maximum likelihood estimation,A vs B,0,,Cohen's d,-0.6,95% CI,-1.2,0.0,,,,,,,,,-0.231,0.256,-0.733,0.271,Follow-up,model estimated,Unadjusted,-5.7,Reported,2.750,calculated from CI,-11.2,-0.2,p=0.04,,,,,,,,,,bryant2025_Structured Clinical Interview_CAPS-5_Completer_A vs B_0,"Bryant RA, Dawson KS, Yadav S, Tran J, Choi-Christou J, Rawson N, Tockar J, Stech E, Garber B, Broomfield C, Harrison A, Keyan D, Azevedo S. Augmenting trauma-focused cognitive behavior therapy for post-traumatic stress disorder with memory specificity training: a randomized controlled trial. World Psychiatry. 2025 Feb;24(1):113-119. doi: 10.1002/wps.21280. PMID: 39810665.",2025,Psychotherapy,Low,Community,Race data reported,,,100,PTSD
bryant2025,1643672,"Bryant, 2025",Structured Clinical Interview,CAPS,CAPS-5,Completer,None,Complete case analysis,Hierarchical linear models with maximum likelihood estimation,A vs B,26,,Cohen's d,-0.7,95% CI,-1.3,0.0,,,,,,,,,-0.266,0.256,-0.769,0.236,Follow-up,model estimated,Unadjusted,-6.3,Reported,3.120,calculated from CI,-12.7,0.1,p=0.05,,,,,,,,,,bryant2025_Structured Clinical Interview_CAPS-5_Completer_A vs B_26,"Bryant RA, Dawson KS, Yadav S, Tran J, Choi-Christou J, Rawson N, Tockar J, Stech E, Garber B, Broomfield C, Harrison A, Keyan D, Azevedo S. Augmenting trauma-focused cognitive behavior therapy for post-traumatic stress disorder with memory specificity training: a randomized controlled trial. World Psychiatry. 2025 Feb;24(1):113-119. doi: 10.1002/wps.21280. PMID: 39810665.",2025,Psychotherapy,Low,Community,Race data reported,,,100,PTSD
bryant2025,1643672,"Bryant, 2025",Structured Clinical Interview,CAPS,CAPS-5,ITT,None,Mixed effects models,Hierarchical linear models with maximum likelihood estimation,A vs B,0,,Cohen's d,-0.6,95% CI,-1.0,-0.1,,,,,,,,,-0.292,0.216,-0.715,0.13,Follow-up,model estimated,Unadjusted,-6.3,Reported,2.364,calculated from CI,-11.0,-1.6,p=0.01,,,,,,,,,,bryant2025_Structured Clinical Interview_CAPS-5_ITT_A vs B_0,"Bryant RA, Dawson KS, Yadav S, Tran J, Choi-Christou J, Rawson N, Tockar J, Stech E, Garber B, Broomfield C, Harrison A, Keyan D, Azevedo S. Augmenting trauma-focused cognitive behavior therapy for post-traumatic stress disorder with memory specificity training: a randomized controlled trial. World Psychiatry. 2025 Feb;24(1):113-119. doi: 10.1002/wps.21280. PMID: 39810665.",2025,Psychotherapy,Low,Community,Race data reported,,,100,PTSD
bryant2025,1643672,"Bryant, 2025",Structured Clinical Interview,CAPS,CAPS-5,ITT,None,Missing assumed at random,Hierarchical linear models with maximum likelihood estimation,A vs B,26,,Cohen's d,-0.9,95% CI,-1.6,-0.1,,,,,,,,,-0.321,0.257,-0.825,0.182,Follow-up,model estimated,Unadjusted,-9.2,Reported,2.975,calculated from CI,-15.1,-3.2,p=0.003,,,,,,,,,,bryant2025_Structured Clinical Interview_CAPS-5_ITT_A vs B_26,"Bryant RA, Dawson KS, Yadav S, Tran J, Choi-Christou J, Rawson N, Tockar J, Stech E, Garber B, Broomfield C, Harrison A, Keyan D, Azevedo S. Augmenting trauma-focused cognitive behavior therapy for post-traumatic stress disorder with memory specificity training: a randomized controlled trial. World Psychiatry. 2025 Feb;24(1):113-119. doi: 10.1002/wps.21280. PMID: 39810665.",2025,Psychotherapy,Low,Community,Race data reported,,,100,PTSD
buhmann2016,46863,"Buhmann, 2016",Self report,HTQ,HTQ,ITT,"Pretreatment score, country of origin/language",Imputed using full information maximum likelihood,Linear regression,A vs B,0,,,,,,,,,,,,,,,0,0.193,-0.379,0.379,Follow-up,,,,,,,,,,,,,,,,,,,buhmann2016_Self report_HTQ_ITT_A vs B_0,"Buhmann CB, Nordentoft M, Ekstrom M, et al. The effect of flexible cognitive-behavioural therapy and medical treatment, including antidepressants on post-traumatic stress disorder and depression in traumatised refugees: pragmatic randomised controlled clinical trial. Br J Psychiatry. 2016 Mar;208(3):252-9. doi: 10.1192/bjp.bp.114.150961. PMID: 26541687.",2016,Psychotherapy & pharmacotherapy,High,Community,Not reported,Terrorism/political violence/forced displacement,,280,PTSD
buhmann2016,46863,"Buhmann, 2016",Self report,HTQ,HTQ,ITT,"Pretreatment score, country of origin/language",Imputed using full information maximum likelihood,Linear regression,A vs C,0,,,,,,,,,,,,,,,0,0.185,-0.363,0.363,Follow-up,,,,,,,,,,,,,,,,,,,buhmann2016_Self report_HTQ_ITT_A vs C_0,"Buhmann CB, Nordentoft M, Ekstrom M, et al. The effect of flexible cognitive-behavioural therapy and medical treatment, including antidepressants on post-traumatic stress disorder and depression in traumatised refugees: pragmatic randomised controlled clinical trial. Br J Psychiatry. 2016 Mar;208(3):252-9. doi: 10.1192/bjp.bp.114.150961. PMID: 26541687.",2016,Psychotherapy & pharmacotherapy,High,Community,Not reported,Terrorism/political violence/forced displacement,,280,PTSD
