Record ID,Survey Identifier,Survey Timestamp,Author First Name,Author Last Name,CEDEP Program,Specify Other Program,Date,Scientific Work Product Type,Specify Other Scientific Work Product Type,Conference Abstract Type,Other Conference Abstract Type,Name of the conference/meeting or publication the work product was accepted to:,Title of work product,Keyword(s),Keyword(s) 1,Keyword(s) 2,Co-author #1,Co-author #2,Co-author #3,Co-author #4,Co-author #5,Co-author #6,Co-author #7,Co-author #8,Co-author #9,Co-author #10,Abstract/Publication Body,Poster,Was your oral presentation a plenary or keynote session?,Slide Deck,Roundtable Materials,Roundtable Materials 1,Roundtable Materials 2,Do you have other presentation materials?,Specify Other Presentation Materials,Upload Other Presentation Materials,Do you have other presentation materials? 1,Specify Other Presentation Materials 1,Upload Other Presentation Materials 1,Complete?
62,,07/28/2023 04:15:39 PM,Lindsey,Ferraro,FED,,07/20/2023 12:00:00 AM,Publication,,,,CDC Morbidity and Mortality Weekly Report,"Notes from the Field: An Outbreak of Shiga Toxin-Producing Escherichia coli O157:H7 Associated with a Farming Camp - Tennessee, 2022",STEC,Outbreak,Goat,DJ Irving,Jack Marr,Kelly Orejuela,Erin Murray,Mugdha Golwalkar,Julie Viruez,Robin Rasnic,Katie Garman,John Dunn,,MMWR_STEC_FarmingCamp.pdf,,,,,,,false,,,,,,Complete
63,,08/01/2023 09:05:52 AM,Miranda,Smith,SSIP,,06/26/2023 12:00:00 AM,Conference Abstract,,Oral presentation,,CSTE,In-House Tableau Training Program,Tableau,Training,Workforce-Development,,,,,,,,,,,Abstract Submission_01.05.2023.pdf,,false,Paper_18571_presentation_1590_0.pdf,,,,false,,,,,,Complete
64,,09/22/2023 10:21:55 AM,Michelle,Cascio,SSIP,,09/10/2023 12:00:00 AM,Invited oral presentation (national external meeting),,,,REDCap Con 2023,Fundamentals: Improving the Survey Participant Experience,REDCap,Survey,User Interface,,,,,,,,,,,,,false,Fundamentals_Improving the Survey Participant Experience.pdf,,,,false,,,,,,Complete
65,,09/22/2023 10:23:10 AM,Michelle,Cascio,SSIP,,09/10/2023 12:00:00 AM,Invited oral presentation (national external meeting),,,,REDCap Con 2023,Complex Projects Using Base REDCap,REDCap,creative use,workaround,,,,,,,,,,,,,false,Complex projects using base REDCap.pdf,,,,false,,,,,,Complete
66,,11/09/2023 07:56:46 AM,Laurie,Maurer,HIV,,11/02/2023 12:00:00 AM,Publication,,,,AIDS,Characterizing residential mobility among people living with HIV in Tennessee and its impact on HIV care outcomes,Residential mobility,Retention,Viral suppression,,,,,,,,,,,characterizing_residential_mobility_among_people_AIDS_2023.pdf,,,,,,,false,,,,,,Complete
67,,12/11/2023 10:52:37 AM,Dilani,Goonewardene,Wb/Zoo,,10/18/2023 12:00:00 AM,Invited oral presentation (national external meeting),,,,Annual TN Emerging Infections Program Scientific Presentation Day,Healthcare-Associated Legionellosis Investigations: Lessons and Opportunities,legionellosis,healthcare-associated,,Jane Yackley,,,,,,,,,,,,false,EIP - Healthcare-Associated Legionellosis Investigations- Lessons and Opportunities_JY.pdf,,,,false,,,,,,Complete
68,,01/11/2024 01:50:33 PM,Kelly,Orejuela,FED,,01/29/2023 12:00:00 AM,Invited oral presentation (national external meeting),,,,InFORM 2024,False Positive Shigella Cases at a Long-Term Care Facility Identified by a Urine Culture-Independent Test,Enteric,Shigella,Outbreak,Jack Marr,Mugdha Golwalkar,Marcy McMillian,Katie Garman,,,,,,,,,false,False Positive Shigella Cases at a Long-Term Care FINAL.pptx,,,,false,,,,,,Complete
69,,01/12/2024 01:20:28 PM,Paul,Petersen,EP,,09/21/2023 12:00:00 AM,Publication,,,,Health Security,Reimagining Incident Management Systems for Public Health Responses,ICS,Response,Public Health,,,,,,,,,,,Reimaging Icident Management Systems for Public Health Responses_HSJ_V21_Supp1_Sept 2023.pdf,,,,,,,false,,,,,,Complete
70,,01/12/2024 01:25:53 PM,Paul,Petersen,EP,,08/01/2023 12:00:00 AM,Publication,,,,Journal of Emergency Management,Unresolved mental health trauma: The languishing of public safety and public health professionals,Mental health,public health,responders,,,,,,,,,,,Unresolved mental health trauma_ The languishing of public safety and public health professionals.pdf,,,,,,,true,2024 Preparedness Summit Presentation Abstract Accepted,Broken_An Arduous Road for Responder Safety and Mental Health.docx,false,,,Complete
71,,01/17/2024 08:46:17 AM,Allison,Foster,FED,,01/21/2024 12:00:00 AM,Conference Abstract,,Poster presentation,,2024 InFORM Conference,"Identification of Spatiotemporal Clusters of Yersiniosis in Tennessee, 2010-2020",,,,Marcy McMillian,Katie Garman,Kelly Orejuela,John Dunn,,,,,,,InFORM Draft Abstract_FINAL.pdf,InFORM 2024 Poster Yersinia.pdf,,,,,,false,,,,,,Complete
72,,01/18/2024 03:44:02 PM,Lindsey,Ferraro,SI,,01/21/2024 12:00:00 AM,Conference Abstract,,Oral presentation,,InFORM,"Analysis of Foodborne and Enteric National Notifiable Disease Reporting Mechanisms - Tennessee, 2022",reportable conditions,DMI,,Katie Garman,Mary-Margaret Fill,,,,,,,,,InFORM Redundant Data_Draft2.docx,,false,InFORM 2024 Presentation.pptx,,,,false,,,,,,Complete
73,,01/19/2024 09:11:39 AM,Kelly,Orejuela,FED,,01/22/2024 12:00:00 AM,Conference Abstract,,Poster presentation,,InFORM 2024,"Visualizing Trends in Historical Salmonella Serotypes, Allele Codes, and Reoccurring, Emerging, and Persisting (REP) Strains in Tennessee Using Whole Genome Sequencing Data, 2014 - 2021",Salmonella,Tableau,,"Jack Marr, MPH","Mugdha Golwalkar, MPH","Katie Garman, MPH",",  John R. Dunn, DVM, PhD EMBA",,,,,,,InFORM2024 - Salmonella Serotype Allele Code and REP Code Dashboards JRD.docx,InFORM Salmonella Allele Code Poster.pdf,,,,,,false,,,,,,Complete
74,,01/19/2024 03:37:24 PM,Jack,Marr,FED,,01/21/2024 12:00:00 AM,Conference Abstract,,Oral presentation,,InForm,Data Visualization of National Antimicrobial Resistance Monitoring System for Enteric Bacteria Tennessee 2010-2019,Foodborne,AMR,Data Visualization,Samir Hanna,Mugdha Golwalkar,Katie Garman,John Dunn,,,,,,,NARMS InForm 2024 Abstract FINAL.docx,,false,2023 Inform JMarr_Data Visualization of National Antimicrobial Resistance Monitoring System for Enteric Bacteria Tennessee 2010-2019 V2.pptx,,,,false,,,,,,Complete
75,,01/19/2024 03:54:56 PM,Danny,Ripley,FED,,01/23/2024 12:00:00 AM,Invited oral presentation (national external meeting),,,,2024 InFORM,Environmental Sampling During Foodborne and Enteric Disease Outbreak Investigations:  A Tennessee Perspective,Environmental,Sampling,Assessment,,,,,,,,,,,,,false,InFORM 2024 DC TN ENV Sampling.pptx,,,,false,,,,,,Complete
76,,01/25/2024 08:29:54 AM,Claire,Umstead,FED,,01/21/2024 12:00:00 AM,Conference Abstract,,Poster presentation,,InFORM (Integrated Foodborne Outbreak Response and Management),"Evaluation of Tennessee's Cholera and Vibrio Surveillance System for Simplicity, Sensitivity, Timeliness, and Data Quality",Vibrio,Surveillance System Evaluation,COVIS,"Samir Hanna, MD, MSPH","Katie Garman, MPH","Mary-Margaret Fill, MD, MPH",,,,,,,,COVIS_Surveillance Eval_InFORM 2024.pdf,COVIS Surv Sys Eval Poster (InFORM size).pdf,,,,,,false,,,,,,Complete
77,,01/26/2024 12:52:52 PM,Mugdha,Golwalkar,FED,,01/20/2024 12:00:00 AM,Invited oral presentation (national external meeting),,,,InFORM,Complaint-Based Outbreaks: Identification and Initial Response,Enterics,Environmental Health,Outbreak investigation,,,,,,,,,,,,,false,2024 InFORM MN_TNSunday Session_mg.pptx,,,,false,,,,,,Complete
78,,01/26/2024 12:56:58 PM,Mugdha,Golwalkar,FED,,01/21/2024 12:00:00 AM,Conference Abstract,,Poster presentation,,InFORM,"Evaluation of Foodborne Diseases Centers for Outbreak Response Enhancement (FoodCORE)  Interview Team Response Success in Tennessee, 2018-2023",Enterics,Case interviewing,,DJ Irving,Katie Garman,,,,,,,,,InFORM2024_FoodCORE Response Evaluation_FINAL.docx,2024 InFORM FoodCORE Eval Poster.pptx,,,,,,false,,,,,,Complete
79,,01/26/2024 01:03:15 PM,Mugdha,Golwalkar,FED,,01/23/2024 12:00:00 AM,Conference Abstract,,Oral presentation,,InFORM,Developing a Coordinated Process for Requesting Third-Party Delivery Application Data During Foodborne Outbreak Investigations,Outbreak investigation,Epidemiological Methods,Case-Control Studies,,,,,,,,,,,InFORM2024_Third Party Delivery Apps Abstract_FINAL.pdf,,false,InForm 2024 TPD_Final.pptx,,,,false,,,,,,Complete
80,,01/31/2024 08:12:58 AM,Emily,Kack,FED,,01/22/2024 12:00:00 AM,Conference Abstract,,Poster presentation,,inFORM 2024,Tennessee's Integrated Food Safety Center Of Excellence: A Partnership Between Public Health and Academia---A Decade of Progress,,,,Siobhan Dodds,Katie Garman,John Dunn,,,,,,,,TN IFS CoE Inform Abstract FINAL.docx,TN CoE InFORM Poster (2).pdf,,,,,,false,,,,,,Complete
