id,Title,Authors,Keywords,Published Year,Journal,DOI,States,Cities,Geography Keywords,Citation
251,The Utility of the Social Vulnerability Index as a Proxy for Social Disparities Following Total Knee Arthroplasty,"Dubin, J. A.; Bains, S. S.; Hameed, D.; Mona¡rrez, R.; Moore, M. C.; Mont, M. A.; Nace, J.; Delanois, R. E.","svi, social, patients, vulnerability, health, index, data, care, risk, factors, status, age, results, disparities, socioeconomic, patient, odds, conclusion, black, based, included, low, result, background",2024,Journal of Arthroplasty,10.1016/j.arth.2024.01.049,Maryland,NA ,NA,"Dubin, J. A.; Bains, S. S.; Hameed, D.; Mona¡rrez, R.; Moore, M. C.; Mont, M. A.; Nace, J.; Delanois, R. E. (2024). The Utility of the Social Vulnerability Index as a Proxy for Social Disparities Following Total Knee Arthroplasty. Journal of Arthroplasty, 39(8), S33-S38. doi:10.1016/j.arth.2024.01.049"
252,The Utility of Neighborhood Social Vulnerability Indices in Predicting Non-Home Discharge Disposition Following Revision Total Joint Arthroplasty: A Comparison Study,"Shimizu, M. R.; Buddhiraju, A.; Kwon, O. J.; Kerluku, J.; Huang, Z.; Kwon, Y. M.","social, patients, vulnerability, health, index, level, study, risk, outcomes, factors, status, age, association, results, compared, disparities, socioeconomic, regression, analysis, patient, odds, conclusion, population, included, low, result, significant, background",2024,Journal of Arthroplasty,10.1016/j.arth.2024.10.118,NA,NA ,NA,"Shimizu, M. R.; Buddhiraju, A.; Kwon, O. J.; Kerluku, J.; Huang, Z.; Kwon, Y. M. (2024). The Utility of Neighborhood Social Vulnerability Indices in Predicting Non-Home Discharge Disposition Following Revision Total Joint Arthroplasty: A Comparison Study. Journal of Arthroplasty. doi:10.1016/j.arth.2024.10.118"
253,Association of Geographic Social Vulnerability With Race-Based Differences in the Utilization of Total Hip Arthroplasty Surgeries for Medicare Beneficiaries,"Cruse, J. J.; Schloemann, D. T.; Danielson, E. C.; Ricciardi, B. F.; Franklin, P. D.; Balkissoon, R.; Thirukumaran, C. P.","svi, social, vulnerability, index, level, data, care, status, age, rates, association, results, vulnerable, compared, disparities, socioeconomic, regression, conclusion, black, lower, access, low, result, white, background",2025,Journal of Arthroplasty,10.1016/j.arth.2024.11.053,NA,NA ,NA,"Cruse, J. J.; Schloemann, D. T.; Danielson, E. C.; Ricciardi, B. F.; Franklin, P. D.; Balkissoon, R.; Thirukumaran, C. P. (2025). Association of Geographic Social Vulnerability With Race-Based Differences in the Utilization of Total Hip Arthroplasty Surgeries for Medicare Beneficiaries. Journal of Arthroplasty. doi:10.1016/j.arth.2024.11.053"
254,Emergent Presentation Of Abdominal Aortic Aneurysms Is Associated With Worse Social Vulnerability In Florida,"Mirzaie, A.","svi, social, patients, vulnerability, index, level, data, outcomes, factors, age, rates, association, vulnerable, counties, disparities, regression, patient, conclusion, black, lower, hispanic, included, low, result, white, significant, background",2025,Annals of Vascular Surgery,10.1016/j.avsg.2024.09.017,Florida,NA ,NA,"Mirzaie, A. (2025). Emergent Presentation Of Abdominal Aortic Aneurysms Is Associated With Worse Social Vulnerability In Florida. Annals of Vascular Surgery, Conference: The Florida Vascular Society's 37th Scientific Sessions Meeting. Waldorf Astoria Orlando, Orlando United States. 110, 553-554. doi:https://dx.doi.org/10.1016/j.avsg.2024.09.017"
255,Can the CDC's Social Vulnerability Index Be Used to Predict Clinical Outcomes in Patients with Cervical Cancer Undergoing Brachytherapy?,"Small, C.; McAlarnen, L. A.; Tischer, K.; Sona, M.; Ortiz, S.; Hopp, E. E.; Erickson, B.; Bedi, M.","svi, social, patients, vulnerability, index, level, study, outcomes, cancer, status, disease, age, vulnerable, compared, socioeconomic, analysis, census, patient, conclusion, race, based, included, low, related, result, significant",2023,Brachytherapy,10.1016/j.brachy.2023.06.218,Wisconsin,NA ,NA,"Small, C.; McAlarnen, L. A.; Tischer, K.; Sona, M.; Ortiz, S.; Hopp, E. E.; Erickson, B.; Bedi, M. (2023). PO117: Can the CDC's Social Vulnerability Index Be Used to Predict Clinical Outcomes in Patients with Cervical Cancer Undergoing Brachytherapy?. Brachytherapy, 22(5 Supplement), S125-S126. doi:https://dx.doi.org/10.1016/j.brachy.2023.06.218"
256,Colonoscopy screening and surveillance disparities during the COVID-19 pandemic,"Randle, H. J.; Gorin, A.; Manem, N.; Feustel, P. J.; Antonikowski, A.; Tadros, M.",COVID-19[Epidemiology]; COVID-19; Cohort Studies; Colonoscopy; Colorectal Neoplasms[Diagnosis]; Colorectal Neoplasms[Epidemiology]; Colorectal Neoplasms[Prevention & Control]; Colorectal Neoplasms; Early Detection of Cancer[Methods]; Humans; Mass Screening[Methods]; Pandemics; Retrospective Studies,2022,Cancer Epidemiology,10.1016/j.canep.2022.102212,NA,NA,Community,"Randle, H. J., Gorin, A., Manem, N., Feustel, P. J., Antonikowski, A., & Tadros, M. (2022). Colonoscopy screening and surveillance disparities during the COVID-19 pandemic. Cancer Epidemiology, 80, 102212. https://doi.org/10.1016/j.canep.2022.102212"
257,"Colon cancer epidemiology, race and socioeconomic status: Comparing trends in counties served by an urban hospital in Newark, NJ with overall NJ-state and nation-wide patterns","Selvakumar, T.; Mu, S. Z.; Prasath, V.; Arjani, S.; Chokshi, R. J.; Kra, J.","svi, social, vulnerability, health, index, level, study, data, care, risk, mortality, factors, cancer, status, age, rates, association, counties, compared, disparities, county, socioeconomic, census, patient, odds, conclusion, race, black, population, access, hispanic, adjusted, result, white, significant",2023,Cancer Epidemiology,10.1016/j.canep.2023.102412,New Jersey,NA ,NA,"Selvakumar, T.; Mu, S. Z.; Prasath, V.; Arjani, S.; Chokshi, R. J.; Kra, J. (2023). Colon cancer epidemiology, race and socioeconomic status: Comparing trends in counties served by an urban hospital in Newark, NJ with overall NJ-state and nation-wide patterns. Cancer Epidemiology, 86(no pagination). doi:https://dx.doi.org/10.1016/j.canep.2023.102412"
258,"Demographic, clinical, and social characteristics of anal cancer among patients stratified by age (<50 and >50 years) in Alabama between 2012 and 2018","Junkins, A.; Chu, D. I.; Burkholder, G. A.; Wiener, H. W.; George, J.; Kempf, M. C.; Shrestha, S.","social, patients, vulnerability, study, risk, factors, cancer, status, age, rates, association, results, compared, disparities, regression, patient, odds, conclusion, race, black, increased, population, result, white, background",2024,Cancer Epidemiology,10.1016/j.canep.2024.102612,Alabama,NA ,NA,"Junkins, A.; Chu, D. I.; Burkholder, G. A.; Wiener, H. W.; George, J.; Kempf, M. C.; Shrestha, S. (2024). Demographic, clinical, and social characteristics of anal cancer among patients stratified by age (<50 and >50 years) in Alabama between 2012 and 2018. Cancer Epidemiology, 92. doi:10.1016/j.canep.2024.102612"
259,Examining concordance with the guidelines of the national comprehensive cancer network for the treatment of endometrial cancer in Puerto Rico,"Paga¡n-Santana, Y.; Castaa±eda-Avila, M.; Ra­os-Motta, R.; Santos-Reyes, L.; Ortiz-Ortiz, K. J.","patients, health, study, data, care, risk, outcomes, mortality, factors, cancer, age, rates, association, results, socioeconomic, regression, patient, conclusion, based, lower, low, result, significant, background",2024,Cancer Epidemiology,10.1016/j.canep.2024.102664,NA,NA ,NA,"Pagan-Santana, Y.; Castaeda-Avila, M.; Ra­os-Motta, R.; Santos-Reyes, L.; Ortiz-Ortiz, K. J. (2024). Examining concordance with the guidelines of the national comprehensive cancer network for the treatment of endometrial cancer in Puerto Rico. Cancer Epidemiology, 93. doi:10.1016/j.canep.2024.102664"
260,"Novel County-Level Non-Communicable Disease Risk (NCDR) Groups are Associated with Contemporary Cardiovascular Mortality Related to Heart Failure in the United States, 2016-18","Youmas, Q.; McCabe, M.; Yancy, C. W.; Petito, L.; Kershaw, K. N.; Allen, N. B.; Khan, S. S.",age; cardiovascular mortality; conference abstract; controlled study; demography; disease control; heart failure; high risk population; human; non communicable disease; social status; United States,2020,Journal of Cardiac Failure,10.1016/j.cardfail.2020.09.235,NA,NA,County Community,"Youmas, Q., McCabe, M., Yancy, C. W., Petito, L., Kershaw, K. N., Allen, N. B., & Khan, S. S. (2020). Novel County-Level Non-Communicable Disease Risk (NCDR) Groups are Associated with Contemporary Cardiovascular Mortality Related to Heart Failure in the United States, 2016-18. Journal of Cardiac Failure, 26(10), S80-S81. https://doi.org/10.1016/j.cardfail.2020.09.235"
261,Social Vulnerability And Location Of Death In Heart Failure In The United States,"Pham, R.","svi, social, patients, vulnerability, health, index, level, data, care, risk, mortality, association, counties, county, socioeconomic, patient, conclusion, low, result, background",2023,Journal of Cardiac Failure,10.1016/j.cardfail.2022.10.255,NA,NA ,NA,"Pham, R. (2023). Social Vulnerability And Location Of Death In Heart Failure In The United States. Journal of Cardiac Failure, 29(4), 651. doi:https://dx.doi.org/10.1016/j.cardfail.2022.10.255"
262,Association Between Social Vulnerability Index And Admission Urgency For Transcatheter Aortic Valve Replacement Among Commercially Insured Patients,"Bolakale-Rufai, I. K.; Shinnerl, A.; Knapp, S. M.; Torabi, A.; Johnson, A.; Mohammed, S.; Brewer, L. C.; Mazimba, S.; Addison, D.; Breathett, K.","svi, social, patients, vulnerability, index, level, study, data, care, outcomes, factors, disease, age, county, analysis, census, patient, odds, conclusion, based, included, low, result, significant",2024,Journal of Cardiac Failure,10.1016/j.cardfail.2023.10.344,NA,NA ,NA,"Bolakale-Rufai, I. K.; Shinnerl, A.; Knapp, S. M.; Torabi, A.; Johnson, A.; Mohammed, S.; Brewer, L. C.; Mazimba, S.; Addison, D.; Breathett, K. (2024). Association Between Social Vulnerability Index And Admission Urgency For Transcatheter Aortic Valve Replacement Among Commercially Insured Patients. Journal of Cardiac Failure, 30(1), 261-262. doi:https://dx.doi.org/10.1016/j.cardfail.2023.10.344"
263,Combining genomic data and infection estimates to characterize the complex dynamics of SARS-CoV-2 Omicron variants in the US,"Lopes, R.; Pham, K.; Klaassen, F.; Chitwood, M. H.; Hahn, A. M.; Redmond, S.; Swartwood, N. A.; Salomon, J. A.; Menzies, N. A.; Cohen, T.; Grubaugh, N. D.","social, vulnerability, level, factors, rates, population",2024,Cell Reports,10.1016/j.celrep.2024.114451,NA,NA ,NA,"Lopes, R.; Pham, K.; Klaassen, F.; Chitwood, M. H.; Hahn, A. M.; Redmond, S.; Swartwood, N. A.; Salomon, J. A.; Menzies, N. A.; Cohen, T.; Grubaugh, N. D. (2024). Combining genomic data and infection estimates to characterize the complex dynamics of SARS-CoV-2 Omicron variants in the US. Cell Reports, 43(7). doi:10.1016/j.celrep.2024.114451"
264,Ecologic Comparison of Social Vulnerability and Asthma-Related Emergency Medical Services Rates among Children,"Shapiro, M.; Johnson, C.; Keddie, A.; Amerson, N.; Shen, S. A.; Geiger, S.","svi, social, vulnerability, health, index, level, study, data, care, status, disease, age, rates, association, counties, county, socioeconomic, regression, analysis, conclusion, increased, adjusted, related, result, significant",2023,Chest,10.1016/j.chest.2023.07.3355,Illinois,NA ,NA,"Shapiro, M.; Johnson, C.; Keddie, A.; Amerson, N.; Shen, S. A.; Geiger, S. (2023). Ecologic Comparison of Social Vulnerability and Asthma-Related Emergency Medical Services Rates among Children. Chest, 164(4 Supplement), A5179. doi:https://dx.doi.org/10.1016/j.chest.2023.07.3355"
265,Exploring the Relationship between Social Determinants of Health and Recovery Outcomes in Patients Hospitalized with Covid-19 Pneumonia,"Pan, D. I.; Graham, J. M.; Schenck, E. J.; Weidman, K.; Lief, L.","social, patients, vulnerability, health, index, study, care, outcomes, status, age, covid, rates, association, compared, regression, patient, odds, conclusion, increased, based, included, low, result, significant",2023,Chest,10.1016/j.chest.2023.07.608,NA,NA ,NA,"Pan, D. I.; Graham, J. M.; Schenck, E. J.; Weidman, K.; Lief, L. (2023). Exploring the Relationship between Social Determinants of Health and Recovery Outcomes in Patients Hospitalized with Covid-19 Pneumonia. Chest, 164(4 Supplement), A815. doi:https://dx.doi.org/10.1016/j.chest.2023.07.608"
266,Association of Social Determinants of Health and Resilience in Chronic Obstructive Pulmonary Disease,"Ghosh, A. J.; Moll, M.; Panda, S.; Cho, M.; Glatt, S.; Hersh, C. P.","svi, social, vulnerability, health, index, study, data, risk, factors, status, disease, age, compared, socioeconomic, conclusion, lower, low, result",2024,Chest,10.1016/j.chest.2024.06.2944,NA,NA ,NA,"Ghosh, A. J.; Moll, M.; Panda, S.; Cho, M.; Glatt, S.; Hersh, C. P. (2024). Association of Social Determinants of Health and Resilience in Chronic Obstructive Pulmonary Disease. Chest, 166(4 Supplement), A4962-A4963. doi:https://dx.doi.org/10.1016/j.chest.2024.06.2944"
267,Impact of the Social Vulnerability Index on Pulmonary Embolism Mortality,"Ibrahim, R.; Gomez Tirambulo, C. V.; Wig, R.; Kim, R. Y.; Benn, B. S.; Low, S. W.",social vulnerability index; pulmonary embolism; lung; mortality,2023,CHEST Pulmonary,10.1016/j.chpulm.2023.100006,NA,NA ,NA,"Ibrahim, R.; Gomez Tirambulo, C. V.; Wig, R.; Kim, R. Y.; Benn, B. S.; Low, S. W. (2023). Impact of the Social Vulnerability Index on Pulmonary Embolism Mortality. CHEST Pulmonary, 1(1). doi:10.1016/j.chpulm.2023.100006"
268,COVID-19 spread prediction using socio-demographic and mobility-related data,"Qiao, M.; Huang, B.","level, study, factors, disease, covid, association, results, regression, related, result",2023,Cities,10.1016/j.cities.2023.104360,NA,NA ,NA,"Qiao, M.; Huang, B. (2023). COVID-19 spread prediction using socio-demographic and mobility-related data. Cities, 138. doi:10.1016/j.cities.2023.104360"
269,The long-run effect of historical redlining practices on social vulnerability in U.S. cities,"Lu, Y.; Lin, Y.; Howard, N.; Brown, C. P.; Gong, X.","svi, social, vulnerability, index, level, study, data, factors, status, age, results, census, low, result, significant",2025,Cities,10.1016/j.cities.2024.105590,NA,NA ,NA,"Lu, Y.; Lin, Y.; Howard, N.; Brown, C. P.; Gong, X. (2025). The long-run effect of historical redlining practices on social vulnerability in U.S. cities. Cities, 157. doi:10.1016/j.cities.2024.105590"
270,Augmenting the Social Vulnerability Index using an agent-based simulation of Hurricane Harvey,"Brower, A. E.; Ramesh, B.; Islam, K. A.; Mortveit, H. S.; Hoops, S.; Vullikanti, A.; Marathe, M. V.; Zaitchik, B.; Gohlke, J. M.; Swarup, S.","social, vulnerability, index, data, age, rates, based, population",2023,"Computers, Environment and Urban Systems",10.1016/j.compenvurbsys.2023.102020,NA,NA ,NA,"Brower, A. E.; Ramesh, B.; Islam, K. A.; Mortveit, H. S.; Hoops, S.; Vullikanti, A.; Marathe, M. V.; Zaitchik, B.; Gohlke, J. M.; Swarup, S. (2023). Augmenting the Social Vulnerability Index using an agent-based simulation of Hurricane Harvey. Computers, Environment and Urban Systems, 105. doi:10.1016/j.compenvurbsys.2023.102020"
271,Family medicine provision of online medication abortion in three US states during COVID-19,"Godfrey, E. M.; Thayer, E. K.; Fiastro, A. E.; Aiken, A. R. A.; Gomperts, R.","Abortifacient Agents[Therapeutic Use]; Abortion, Induced[Psychology]; Abortion, Induced[Statistics & Numerical Data]; Adolescent; Adult; COVID-19[Prevention & Control]; COVID-19; Delivery of Health Care[Methods]; Drug Prescriptions; Family Practice[Methods]; Female; Gestational Age; Humans; Internet; Middle Aged; Motivation; New Jersey; New York; Pregnancy; SARS-CoV-2; Social Stigma; Socioeconomic Factors; Washington;",2021,Contraception,10.1016/j.contraception.2021.04.026,"New Jersey, New York, Washington, DC",NA,State Urban,"Godfrey, E. M., Thayer, E. K., Fiastro, A. E., Aiken, A. R. A., & Gomperts, R. (2021). Family medicine provision of online medication abortion in three US states during COVID-19. Contraception, 104(1), 54-60. https://doi.org/10.1016/j.contraception.2021.04.026"
272,"Farther from Care, More Pills Shipped: County-Level Association of Number of Abortion Medication Shipments through Online Abortion Service and Distance to Nearest Abortion Facility, 2020-2022","Fiastro, A. E.; Thayer, E. K.; Gomperts, R.; Myers, C.; Godfrey, E. M.","social, vulnerability, health, index, level, study, data, care, age, association, counties, county, socioeconomic, patient, conclusion, increased, population, access, result",2023,Contraception,10.1016/j.contraception.2023.110178,NA,NA ,NA,"Fiastro, A. E.; Thayer, E. K.; Gomperts, R.; Myers, C.; Godfrey, E. M. (2023). Farther from Care, More Pills Shipped: County-Level Association of Number of Abortion Medication Shipments through Online Abortion Service and Distance to Nearest Abortion Facility, 2020-2022. Contraception, Conference: Society of Family Planning Annual Meeting. Seattle Australia. 127(no pagination). doi:https://dx.doi.org/10.1016/j.contraception.2023.110178"
273,Neighborhood-level Social Vulnerability and Prevalence of Cardiovascular Risk Factors and Coronary Heart Disease,"Bevan, G.; Pandey, A.; Griggs, S.; Dalton, J. E.; Zidar, D.; Patel, S.; Khan, S. U.; Nasir, K.; Rajagopalan, S.; Al-Kindi, S.","svi, social, vulnerability, health, index, level, risk, outcomes, factors, status, disease, age, association, socioeconomic, regression, census, increased, low, significant",2023,Current Problems in Cardiology,10.1016/j.cpcardiol.2022.101182,NA,NA ,NA,"Bevan, G.; Pandey, A.; Griggs, S.; Dalton, J. E.; Zidar, D.; Patel, S.; Khan, S. U.; Nasir, K.; Rajagopalan, S.; Al-Kindi, S. (2023). Neighborhood-level Social Vulnerability and Prevalence of Cardiovascular Risk Factors and Coronary Heart Disease. Current Problems in Cardiology, 48(8) (no pagination). doi:https://dx.doi.org/10.1016/j.cpcardiol.2022.101182"
274,Neighborhood Walkability and Cardiovascular Risk in the United States,"Makhlouf, M. H. E.; Motairek, I.; Chen, Z.; Nasir, K.; Deo, S. V.; Rajagopalan, S.; Al-Kindi, S. G.","social, vulnerability, health, index, level, data, risk, factors, disease, age, rates, association, socioeconomic, regression, analysis, census, race, increased, lower, population, low, significant",2023,Current Problems in Cardiology,10.1016/j.cpcardiol.2022.101533,NA,NA ,NA,"Makhlouf, M. H. E.; Motairek, I.; Chen, Z.; Nasir, K.; Deo, S. V.; Rajagopalan, S.; Al-Kindi, S. G. (2023). Neighborhood Walkability and Cardiovascular Risk in the United States. Current Problems in Cardiology, 48(3) (no pagination). doi:https://dx.doi.org/10.1016/j.cpcardiol.2022.101533"
275,Association Between Social Vulnerability Index and Mortality Following Acute Myocardial Infarction in the US Counties,"Shaik, A.; Chobufo, M. D.; Gonuguntla, K.; Patel, N.; Sattar, Y.; Thyagaturu, H.; Ludhwani, D.; Gulati, M.","svi, social, vulnerability, health, index, study, data, care, outcomes, mortality, disease, age, association, counties, compared, disparities, regression, analysis, lower, adjusted, low, related",2023,Current Problems in Cardiology,10.1016/j.cpcardiol.2023.101854,NA,NA ,NA,"Shaik, A.; Chobufo, M. D.; Gonuguntla, K.; Patel, N.; Sattar, Y.; Thyagaturu, H.; Ludhwani, D.; Gulati, M. (2023). Association Between Social Vulnerability Index and Mortality Following Acute Myocardial Infarction in the US Counties. Current Problems in Cardiology, 48(10) (no pagination). doi:https://dx.doi.org/10.1016/j.cpcardiol.2023.101854"
276,"Exploring the complex relationships between health behaviors, health outcomes, social vulnerability, regional cultures, and oral health","Pronk, N. P.; Woodard, C.; Rindal, D. B.; Arena, R.","svi, social, vulnerability, health, index, level, study, data, care, outcomes, factors, disease, age, association, results, county, conclusion, based, access, adjusted, related, result, significant",2024,Current Problems in Cardiology,10.1016/j.cpcardiol.2024.102835,NA,NA ,NA,"Pronk, N. P.; Woodard, C.; Rindal, D. B.; Arena, R. (2024). Exploring the complex relationships between health behaviors, health outcomes, social vulnerability, regional cultures, and oral health. Current Problems in Cardiology, 49(12) (no pagination). doi:https://dx.doi.org/10.1016/j.cpcardiol.2024.102835"
277,"County-level social vulnerability and nonfatal drug overdose emergency department visits and hospitalizations, January 2018-December 2020","Stokes, E. K.; Pickens, C. M.; Wilt, G.; Liu, S.; David, F.","svi, social, vulnerability, health, index, level, study, data, risk, factors, rates, association, counties, disparities, county, regression, conclusion, increased, based, adjusted, low, related, result, background",2023,Drug and Alcohol Dependence,10.1016/j.drugalcdep.2023.109889,NA,NA ,NA,"Stokes, E. K.; Pickens, C. M.; Wilt, G.; Liu, S.; David, F. (2023). County-level social vulnerability and nonfatal drug overdose emergency department visits and hospitalizations, January 2018-December 2020. Drug and Alcohol Dependence, 247(no pagination). doi:https://dx.doi.org/10.1016/j.drugalcdep.2023.109889"
278,Protective Role of Lower U.S. Neighborhood Acculturation for Early Initiation of Alcohol in Latino/a/X Youth,"Gonzalez, M. R.; Unger, J. B.; Cardenas-Iniguez, C.; Brown, S.; Tapert, S. F.","social, vulnerability, health, index, study, data, risk, status, age, compared, census, odds, conclusion, lower, population, adjusted, low, result, significant, background",2024,Drug and Alcohol Dependence,10.1016/j.drugalcdep.2024.111235,NA,NA ,NA,"Gonzalez, M. R.; Unger, J. B.; Cardenas-Iniguez, C.; Brown, S.; Tapert, S. F. (2024). Protective Role of Lower U.S. Neighborhood Acculturation for Early Initiation of Alcohol in Latino/a/X Youth. Drug and Alcohol Dependence, Conference: 24th Annual NHSN Conference. New Orleans United States. 261(Supplement) (no pagination). doi:https://dx.doi.org/10.1016/j.drugalcdep.2024.111235"
279,Elevated COVID19 mortality risk in detroit area hospitals among patients from census tracts with extreme socioeconomic vulnerability,"Sandhu, A.; Korzeniewski, S. J.; Polistico, J.; Pinnamaneni, H.; Reddy, S. N.; Oudeif, A.; Meyers, J.; Sidhu, N.; Levy, P.; Samavati, L.; Badr, M. S.; Sobel, J. D.; Sherwin, R.; Chopra, T.",socioeconomic vulnerability; COVID-19; hospitals; detroit,2021,EClinicalMedicine,10.1016/j.eclinm.2021.100814,Michigan,Detroit,Tract,"Sandhu, A., Korzeniewski, S. J., Polistico, J., Pinnamaneni, H., Reddy, S. N., Oudeif, A., Meyers, J., Sidhu, N., Levy, P., Samavati, L., Badr, M. S., Sobel, J. D., Sherwin, R., & Chopra, T. (2021). Elevated COVID19 mortality risk in Detroit area hospitals among patients from census tracts with extreme socioeconomic vulnerability. EClinicalMedicine, 34, 100814. https://doi.org/10.1016/j.eclinm.2021.100814"
