"agency_acronym","agency_name","active_agency_name","policy_area","data_coordinator_appointed","data_inventory_or_inventory","open_data_plan_submitted","agency_open_data_publishing","agency_open_data_plan","current_reporting_period"
"ODAV","Oregon Department of Aviation","AVIATION, DEPT OF","TRANSPORTATION AND ECONOMIC DEVELOPMENT","COMPLETED","COMPLETED","COMPLETED","PLANNING","The Oregon Department of Aviation (ODAV) has a mission to provide infrastructure, financial resources, and expertise to ensure a safe and efficient air transportation system.

The dataset captured in ODAVâ€™s data inventory includes data in the program areas of Aircraft Registration, Operations and the Aviation System Action Program (ASAP).

ODAV has established data sets to publish next biennium (2023-25). ODAV is currently in the planning phase and has plans to publish these data sets in July of 2023.","2023"
"ODE","Oregon Department of Education","EDUCATION, DEPT OF","EDUCATION","COMPLETED","COMPLETED","COMPLETED","PLANNING","The Oregon Department of Education (ODE) oversees the education of over 560,000 students in Oregonâ€™s public K-12 education system. This includes than 1,200 public K-12 schools organized into 197 School Districts and 19 Education Service Districts. Over 100 of these schools are public charter schools. These schools and districts employ over 63,000 teachers, administrators, and other school and district staff.  While ODE isnâ€™t in the classroom directly providing services, we foster equity and excellence for every learner through collaboration with educators, partners, and communities.

ODE collects and maintains data on public school students, staff and schools in order to meet state and federal reporting and evaluation requirements for public education.  ODE has completed an inventory of 61 datasets collected through our Consolidated Collections system.  ODE is working on an inventory of other datasets that the agency holds.  Many of these datasets contain information that is protected from disclosure by state and federal privacy laws, and can only be published in aggregate form.

ODE is still developing the list of data sets to publish, but the priority for publication on data.oregon.gov includes institution-level information that is not covered by federal or state privacy laws. Our plan is to have at least one of these datasets published by January 1, 2023, with more published before the end of the biennium.","2023"
"ODF","Oregon Department of Forestry","FORESTRY, DEPT OF","NATURAL RESOURCES","COMPLETED","COMPLETED","COMPLETED","PLANNING","The mission of the Oregon Department of Forestry is to serve the people of Oregon by protecting, managing, and promoting stewardship of Oregon's forests to enhance environmental, economic, and community sustainability. 

ODF has identified 20 data sets to be published. These include fire protection/prevention information, forest activity tracking, timber sales and associated activity tracking, recreational use permits, land use agreements with private and federal landowners, forest monitoring and enforcement activities. 

ODF will begin cataloging our current externally accessible datasets in the current biennium with the intent to publish the data on data.oregon.gov by the end of the biennium. Once this is complete ODF will catalog the higher priority data sets.","2023"
"ODFW","Oregon Department of Fish and Wildlife","FISH & WILDLIFE, DEPT OF","NATURAL RESOURCES","COMPLETED","PARTIAL","COMPLETED","PLANNING","The Oregon Department of Fish and Wildlifeâ€™s (ODFW) mission is â€œto protect and enhance Oregonâ€™s fish and wildlife and their habitats for use and enjoyment by present and future generations.â€ The agency is responsible for the administration and enforcement of wildlife and commercial fishing laws; licenses and permits; hunting, angling, commercial fishing, and trapping regulations; and wildlife protective measures. The agency consists of two main program areas, Administration and Operations. The Administration Program area includes Human Resources, Information Systems, Information and Education, and Administrative Services. The Operations Program has three main divisions (Fish, Wildlife, and Habitat), as well as two regional sectors (East and West). ODFW staff operate out of 24 district and field offices, 35 hatchery facilities, and 22 wildlife areas.

ODFW is currently in the planning phase of the Open Data effort. The dataset inventory for the agencyâ€™s Administration Program area divisions was completed in spring 2022. The agency will complete/finalize the dataset inventory for the Operations Program and regional sectors and plan for future data publication between now and 2024.","2023"
"ODOE","Oregon Department of Energy","ENERGY, DEPT OF","NATURAL RESOURCES","COMPLETED","COMPLETED","COMPLETED","PLANNING","The Oregon Department of Energy helps Oregonians make informed decisions and maintain a resilient and affordable energy system. We advance solutions to shape an equitable clean energy transition, protect the environment and public health, and responsibly balance energy needs and impacts for current and future generations.  We have identified three datasets maintained by our agency to be published on data.oregon.gov during the next biennium- our CREP database, Schools database, and Wildfire Recovery Assistance database.
CREP (Community Renewable Energy Grant Program) aims to support the planning and construction of community renewable energy projects in Oregon. The Oregon Department of Energy selected 21 recipients for a total of $12 million in funding in the first round. Notable projects from this first round include: construction of two microgrid systems that pair renewable solar and battery storage to provide energy and resilience benefits to the Tribal buildings of the Confederated Tribes of Coos, Lower Umpqua and Siuslaw Indians; â€œresilience hubsâ€ in the cities of Joseph, Wallowa, and Enterprise â€“ each hub will pair renewable energy generation with battery storage and electric vehicle charging; and the construction of a 107.8-kilowatt solar project with battery storage at a local elementary school in the Jackson County school district. The dataset contains information associated with 68 grant applications to the program after the first round with additional rounds of funding available through 2024. We plan to update this dataset annually.
The Schools Database tracks energy usage data, energy audit measure data, electric vehicles data and electric chargersâ€™ data for Public Purpose Charge Schools Program and other Schools Programs administered by ODOE.  There are 111 eligible School Districts with approximately 825 schools within the Public Purpose Charge Schools Program that report data at least annually but can be multiple times throughout the year.   The energy usage data is monthly data for all eligible schools reported annually and the energy audits and energy measures are entered as they are analyzed by Audit Firms throughout the year.  Final costs for completed energy measures are reported as projects are completed.  The number of energy measures entered and installed each year varies between 50 and 300 measures.  Once published we will likely update this dataset on an annual basis.
The Wildfire Recovery Assistance Database contains information regarding applications for energy efficient rebuilding of residential and commercial structure destroyed by the 2020 wildfires. Over 500 requests have been reviewed for the program with over 2 million dollars requested for recovery, and nearly 1.2 million dollars already paid out to recipients. The database contains data on assistance requests, recipients, and payment status. We will publish new datasets from this program annually.","2023"
"ODOT","Oregon Department of Transportation","TRANSPORTATION, DEPT OF","TRANSPORTATION AND ECONOMIC DEVELOPMENT","COMPLETED","EXCEPTION GRANTED","COMPLETED","PLANNING","TRANSPORTATION, DEPT OF The Oregon Department of Transportation exercises leadership and vision in promoting, developing and managing a statewide network of transportation systems and facilities. These systems and facilities provide access to Oregon for the Stateâ€™s citizens and visitors, provides efficient movement of commerce, goods and services, ensures the safety of transportation systems users, and enhances Oregonâ€™s competitive position in national and international markets. ODOT understands its role in stewarding the valuable data assets it collects and manages and enabling the state and its residents to benefit from their use.  

ODOT has undertaken the following activities in support of completing a data inventory and facilitating data publication on the open data portal:     

â€¢ Developed an evolving data taxonomy that allows potential users to easily identify data by subject areas rather than by organizational structure or system (both of which change more frequently than subject areas).     
â€¢ Interviewed business lines regarding their most requested and high value data and data products.     
â€¢ Developed with Ms. Helmsâ€™ assistance a draft inventory sample, as the detailed data inventory ODOT is developing for its own use does not align directly with needs for the enterprise inventory.     
â€¢ Developed an application and user interface for ODOTâ€™s data inventory, which will be used to validate data needed both for the agency and enterprise inventories.     
â€¢ Has begun, in concert with EIS staff, an open data pilot project to aid in development of ODOTâ€™s publishing process.  
â€¢ Hired a dedicated Data Librarian to act as the ODOT Open Data Coordinator.

Through the course of these actions ODOT has determined that, due to the number of distinct program areas, vast data collections, the time needed for inventory validation, and roll-up for agency submission, the agency will submit a single complete (as of that date) data inventory on December 15, 2023, rather than providing quarterly increments. 
In addition to these activities, ODOT over the remainder of the 2022-2024 Open Data Plan period will:     

â€¢ Identify data the agency already publishes and assessing whether to migrate to or provide links in the Open Data Portal     
â€¢ Develop ODOTâ€™s open data publishing and update processes, which includes transferring ownership of the current assets in the Open Data Portal to the Open Data Coordinator
â€¢ Develop and communicate agency open data publishing guidance or a policy","2023"
"ODVA","Oregon Department of Veterans Affairs","VETERANS AFFAIRS, DEPT OF","TRANSPORTATION AND ECONOMIC DEVELOPMENT","COMPLETED","EXCEPTION GRANTED","COMPLETED","PLANNING","The Oregon Department of Veteransâ€™ Affairs works to serve Oregonâ€™s military veterans, their families, and dependents through a series of services, outreach programs, grants, educational opportunities, and by supporting Oregonâ€™s VA home loan program. The ODVA is responsible for veteran advocacy, state programs, access to federal benefits and policy on behalf of Oregon veterans. Through these wide-ranging responsibilities, the ODVA produces and utilizes a number of different datasets with varying levels of data.

The ODVA is conducting an initial inventory to identify datasets and their prioritization for publishing. At this time initial steps are being taken to identify data owners, coordinate discussions around data curation, and the creation of an approval process for data publishing. Our goal for the next calendar year is to complete this initial identification and curation process so that publication of datasets may begin.","2023"
"OED","Oregon Employment Department","EMPLOYMENT DEPT","TRANSPORTATION AND ECONOMIC DEVELOPMENT","COMPLETED","COMPLETED","COMPLETED","PLANNING","Oregon Employment Department Open Data Plan

The Oregon Employment Department (OED) supports economic stability for Oregonians and communities during times of unemployment through the payment of unemployment benefits; serves businesses by recruiting and referring the best qualified applicants to jobs, and provides resources to diverse job seekers in support of their employment needs; develops and distributes quality workforce and economic information to promote informed decision making; and provides easily accessible paid leave benefits that help Oregon employers and workers maintain quality of life, economic stability, and peace of mind.

The 52 datasets captured within the OED inventory encapsulate the data created as each program area carries out their daily work. The Workforce and Economic Research Division of OED maintains QualityInfo.org, which houses diverse economic and workforce information. Twelve of the highest priority datasets are currently published to QualityInfo.org. The agency plan is to mature the Qualityinfo.org data offerings against the 5 star model for open data, and begin publishing to data.oregon.gov next biennium. Publication will include 1-3 datasets that are accessed most frequently, and include a link to Qualityinfo.org.","2023"
"OEM","Department of Emergency Management","EMERGENCY MANAGEMENT, DEPT OF","PUBLIC SAFETY","COMPLETED","PENDING","PENDING","PENDING",,"2023"
"OFVO","Oregon Film and Video Office","OREGON FILM","TRANSPORTATION AND ECONOMIC DEVELOPMENT","COMPLETED","COMPLETED","COMPLETED","MAINTENANCE","REVISION #2 - 2023:

Oregon Film & Video Office (OFVO) has aÂ mission to promote, support and advance the film, video, interactive, animation and creative content industries within the state by fostering connections between storytellers, productions, businesses and public sectors to strengthen and diversify this industryâ€™s profile and reputation locally, nationally and internationally. OFVO manages the state media incentive programs: the Oregon Production Investment Fund (OPIF) and the Greenlight Oregon Labor Rebate program (GOLR). Within the OPIF program there are two sub-programs focused on local production (â€œLocalâ€ OPIF or L-OPIF) and regional production work (â€œRegionalâ€ OPIF or R-OPIF). In addition, in conjunction with the Department of Revenue, OFVO manages an annual Tax Credit Auction that auctions off discounted state tax credits every year to fund the OPIF program.

OFVO currently publishes and maintains FOUR datasets. Those are - 1) the OPIF Tax Credit Auction Results, 2) OPIF Reimbursements (which includes L-OPIF Reimbursements and R-OPIF Reimbursements), 3) GOLR Reimbursements and 4) payments made through the Creative Opportunity Program. The first dataset details the purchasers of the tax credits, the amounts paid and the tax credit amounts issued to each purchaser. The remaining four datasets detail the payments made, to whom and for what amount, for each media incentive program as well as the outcomes of those payments. These datasets are updated in the 3rd and 4th quarter of every year.","2023"
"OMB","Oregon Medical Board","MEDICAL BRD, OR","HEALTH","COMPLETED","COMPLETED","COMPLETED","PLANNING","""The Oregon Medical Board (OMB) protects the health, safety, and wellbeing of Oregon citizens by regulating the practice of medicine in a manner that promotes access to quality care. The OMB licenses Medical Doctors (MD), Doctors of Osteopathic Medicine (DO), Podiatric Physicians (DPM), Physician Assistants (PA), and Acupuncturists (LAc). In addition to its licensing functions, the OMB conducts investigations, imposes disciplinary action, and supports rehabilitation, education, and research to further its legislative mandate to protect the citizens of Oregon. The OMB is also responsible for establishing the scope of practice for Emergency Medical Services (EMS) Providers.

The OMB has completed an initial inventory of datasets summarizing the data created by agency divisions in carrying out core business functions. The OMB has identified data related to licenses issued by the agency as the most valuable for publication. This dataset includes license and practice details such as type, status, issue and expiration dates, limitation, specialty, practice location, and public order status. The OMB will be in a planning phase in the upcoming biennium, focusing on preparing the licenses issued dataset for publication on data.oregon.gov in the subsequent biennium. Planning activities will include assessing privacy protections, cleaning the data, and testing. The OMB will also be evaluating existing and new datasets as part of a business suite system modernization project currently underway.""","2023"
"OGEC","Oregon Government Ethics Commission","GOVERNMENT ETHICS CMSN","PUBLIC SAFETY","COMPLETED","COMPLETED","COMPLETED","PUBLISHING","Agency Mission 

The Oregon Government Ethics Commission (OGEC) will impartially and effectively administer and enforce Oregon's government ethics laws for the benefit of Oregon's citizens.  The Commission will emphasize education in achieving its mission.  

Agency Function 

Comprised of a nine-member citizen commission and nine staff members, OGEC is charged with enforcing Oregon Government Ethics law, Oregon Revised Statute (ORS) Chapter 244, Oregon lobbying regulations, ORS 171.725 to 171.785 and 171.992, and the executive session provisions of Oregon Public Meetings law, ORS 192.660 and 192.685. ORS Chapter 244 relates to financial conflicts of interest, prohibited use of position or office for personal financial gain, nepotism, and gifts to public officials. Additionally, ORS Chapter 244 requires the filing of annual statements of economic interest by certain public officials and candidates. The lobbying regulations in ORS 171.725 to 171.785 require lobbyists and their employers or clients to register with OGEC and file quarterly reports of their lobbying expenditures. Finally, ORS 192.660 relates to the criteria a governing body must use when convening an executive session. OGEC enforces these laws through a complaint and investigation process. In addition to enforcement, OGEC provides verbal and written advice to public officials, issues advisory opinions, and provides training for public officials and lobbyists.  

Datasets and Open Data Phase 

OGEC is currently in the publishing open data phase as the agency plans to publish data within this current biennium (2021-2023). OGEC plans to publish the following multiple datasets: lobbyist registrations, lobbyist expenditures, client-employer registrations, client-employer expenditures, SEI Filers, complaints-correspondence, cases, advice, trainings, assessed penalties, filing penalties, and lobbyist required training.  The lobbyist and client-employer datasets will focus on the data collected by lobbyists and their clients when they register to lobby in Oregon, their expenditure reports (money spent for the purpose of lobbying), and required trainings. The complaints-correspondence and cases datasets will report on the data, such as jurisdiction, issue, location, etc., that is obtained on the complaints filed with OGEC. The advice and trainings datasets will report on the types of advice requested, jurisdictions, and the trainings requested and completed. The penalties datasets will report on the types of penalties assessed by OGEC, the amounts, the reasons for penalties, the jurisdictions, and the collection rate. OGEC plans to publish the datasets before the end of the current biennium.","2023"
"OHA","Oregon Health Authority","OREGON HEALTH AUTHORITY","HEALTH","COMPLETED","COMPLETED","COMPLETED","PLANNING","The Oregon Health Authority (OHA) is the organization at the forefront of lowering and containing costs, improving quality, and increasing access to health care to improve the lifelong health of Oregonians. OHA is responsible for most state health care programs, including Public Health and the Oregon Health Plan. This gives the state greater purchasing and market power to begin tackling issues with costs, quality, lack of preventive care and health care access. Without an accurate and comprehensive view of all agency data and information assets, OHA cannot effectively take data-driven actionable steps to effect statewide change for the health, independence, and care of Oregonâ€™s citizens. 

OHA has set the strategic goal of eliminating health inequities by 2030 and is guided by the following Health Equity definition:

Oregon will have established a health system that creates health equity when all people can reach their full health potential and well-being and are not disadvantaged by their race, ethnicity, language, disability, age, gender, gender identity, sexual orientation, social class, intersections among these communities or identities, or other socially determined circumstances.

Together, the Oregon Health Authority (OHA) and the Oregon Department of Human Services (ODHS) provide critical services to Oregonians services including health care, food assistance, programs for people with disabilities and many others. Due to the complex and interrelated nature our work, OHA and ODHS are partnering to provide one joint inventory of agency datasets and are coordinating on efforts to inventory, model, and map data while planning for enterprise data management and data governance. 

OHA and ODHS are in the PLANNING phase of the Open Data project. We do not anticipate publishing any datasets during the current biennium (beyond those that are already published) due to the preparation and resourcing required to identify and prepare data for publication. The agency is only now beginning its inventory, mapping, modeling, management, and governance planning. Due to the quantity of data systems, number of distinct program areas, and number of data collections, much work remains to identify all datasets and answer Open Data project questions related to each.","2023"
"OHCS","Oregon Housing and Community Services","HOUSING & COMM SRVCS, DEPT OF","TRANSPORTATION AND ECONOMIC DEVELOPMENT","COMPLETED","EXCEPTION GRANTED","COMPLETED","PLANNING","Oregon Housing and Community Services provides resources to increase access to stable housing. Our goal is to ensure people have access to homeownership opportunities, provide funds to build and preserve affordable housing, and help stabilize individuals experiencing homelessness by offering services and housing support. We primarily offer funding streams to partners rather than direct services to clients. Due to the nature of our business, we often collect data from our partners for reporting and accountability purposes. Additionally, we offer some direct services like rental assistance and loan products where we are the sole proprietor of those data. The datasets identified in OHCS' data inventory highlight the data created by partners and programs we need to operate on a day-to-day basis.

OHCS is almost complete with its data inventory and should be sending that over to the CDO soon. We plan on reviewing the inventory with management at the agency to determine which datasets we would be able to share in the open data project and it what format as most of our data contain PII and will need to be aggregated or anonymized. OHCS has identified several datasets that can be shared without additional work to redact information. One such dataset we hope to pilot in the current biennium is the Oregon Affordable Housing Inventory. This dataset contains information such as location details, affordability expiration dates by funding source, unit details such as population served, income level served, and number of units with rental assistance, and other housing portfolio data. Additionally, OHCS's Research team is working on creating a data lake to house all data across the agency and to connect data across programs to better understand client outcomes. Our Homeless Services Section is also working on a data lake to house data from their client management system.  This data lake will also connect to the Research team data lake.  We plan of piloting Microsoft Azure within the next year and hope to have the data lake operational in 1-2 years.","2023"
"OLCC","Oregon Liquor & Cannabis Commission","LIQUOR & CANNABIS COM, OR","PUBLIC SAFETY","COMPLETED","COMPLETED","COMPLETED","PUBLISHING","Our Mission
OLCC's mission is to support businesses, public safety, and community livability through education and the enforcement of liquor and marijuana laws.

In support of that mission, we issue licenses to companies and organizations that sell liquor and cannabis products and issue permits to the individuals that work for those companies and organizations. As part of the permitting process, we certify server education providers. We also sell the liquor to as a means of limiting access to minors. The monies we collect from the sales and licensing are allocated to the general fund amongst the cities and counties of Oregon for mental health alcoholism & drug services and other revenue sharing.

Open Data Phase
Since we are early in the biennium, I plan to move from Planning to Publishing by the end of the biennium.
I plan to have Liquor Sales data and Revenue Distribution data published. For both data sets, I can modify existing queries, but will need to plan the granularity of the data, draft metadata and a data dictionary, publish the dataset on data.oregon.gov,  and automate dataset updates/publication.

I will begin planning for the license and permit data publication when our new systems start coming online next year.","2023"
"OMCB","Oregon Mortuary and Cemetery Board","MORTUARY & CEMETERY, ST BRD","HEALTH","COMPLETED","PENDING","PENDING","PENDING",,"2023"
"OMD","Oregon Military Department","MILITARY, DEPT OF","PUBLIC SAFETY","COMPLETED","EXCEPTION GRANTED","PENDING","PENDING",,"2023"
"OPRD","Oregon Parks & Recreation Department","PARKS & RECREATION, DEPT OF","NATURAL RESOURCES","COMPLETED","PENDING","PENDING","PENDING",,"2023"
"ORC","Racing Commission","RACING CMSN","PUBLIC SAFETY","COMPLETED","COMPLETED","PENDING","PENDING",,"2023"
"OREA","Oregon Real Estate Agency","REAL ESTATE AGY","TRANSPORTATION AND ECONOMIC DEVELOPMENT","COMPLETED","COMPLETED","PENDING","PENDING",,"2023"
"OSBN","Oregon State Board of Nursing","NURSING, BRD OF","HEALTH","COMPLETED","COMPLETED","PENDING","PENDING",,"2023"
"OSP","Oregon State Police","POLICE, OREGON STATE","PUBLIC SAFETY","COMPLETED","COMPLETED","COMPLETED","MAINTENANCE","OSP Open Data Plan (2023-25)

Comprised of over 80 public safety programs, the Oregon State Police (OSP) is a multi-dimensional organization charged with protecting the people, wildlife, and natural resources in Oregon.  To accomplish this charge, OSP enforces the traffic laws on the stateâ€™s roadways, investigates and solves crime, conducts post-mortem examinations and forensic analysis, and provides background checks and law enforcement data.  We regulate gaming and the handling of hazardous materials, and enforce fish, wildlife and natural resource laws.  These programs operate across the state and are interconnected with local, state, regional, and federal organizations.  The datasets identified in OSPâ€™s inventory relate to the activities undertaken by the divisions and programs of the Department in support of its public safety mission.  

As part of the Departmentâ€™s efforts to comply with the State of Oregonâ€™s open data mandate (ORS 276A.350-374) and make its data as findable, accessible, interoperable, and reusable (FAIR) to the public as possible, OSP completed an initial inventory of its core programs and systems.  For open data purposes, OSP considered the datasets with a â€œHighâ€ priority level as they represent the Departmentâ€™s data with the highest level of readiness, value, and publishability.  An evaluation of OSPâ€™s high priority datasets identified several that are already published in a machine-readable format available to the public.  These datasets include Oregonâ€™s Uniform Crime Reporting Offense Data, Hate Crime Data, Arrest Data, and Police Employee Data.  Outside of these datasets, OSP had several other high priority datasets that are shared publicly via a dashboard or report (e.g., citations and warnings, dispatch events, etc.).  Under normal circumstances, OSP would identify these datasets as strong candidates to be published via the data.oregon.gov portal.  Unfortunately, with several of OSPâ€™s major systems undergoing largescale upgrades, the Department does not have the capacity to commit to publishing these (or any other) datasets via the data.oregon.gov portal this biennium (2023-25).  However, OSP will be developing a plan to mature its high priority datasets toward reaching a 5-star open data maturity rating in future biennia and will reevaluate its capacity after these upgrades are completed.","2023"
"OTLB","Occupational Therapy Licensing Board","OCCUP THERAPY LICENSING BRD","HEALTH","COMPLETED","COMPLETED","COMPLETED","MAINTENANCE","Board Mission:  To protect the public by supervising occupational therapy practice; and to assure safe and ethical delivery of occupational therapy services.

Board responsibilities:

Develops policy and sets standards of practice
Reviews applications and issues licenses to qualified applicants
Investigates complaints and takes appropriate disciplinary action when violations are found to have occurred
Monitors and enforces Oregon Revised Statutes and Administrative Rules pertaining to the practice of occupational therapy in the State of Oregon

The Board is committed to maintaining inventory of information assets and managing data sets.  The Board will ensure both the Executive Director and Administrative Specialist will engage in best practices; remain knowledgeable about Board data, its origins, and is available to answer questions about Board data and/or route questions to the appropriate parties.  The Executive Director and Administrative Specialist will ensure transparency of information that is not protected from disclosure, by making appropriate data available for public consumption, in a manner that will not jeopardize the privacy or security of agency employees, clients or partners.","2023"
"OVMEB","Oregon Veterinary Medical Examining Board","VETERINARY MEDICAL EXAM BRD","HEALTH","COMPLETED","PENDING","PENDING","PENDING",,"2023"
"OWEB","Watershed Enhancement Board","WATERSHED ENH BRD","NATURAL RESOURCES","COMPLETED","COMPLETED","COMPLETED","PUBLISHING","The Oregon Watershed Enhancement Board (OWEB) is a state agency that provides grants to help Oregonians take care of local streams, rivers, wetlands, and natural areas. OWEB grant-making is led by an 18-member board that makes informed decisions on the allocation of grant funds to support local watershed restoration efforts. Grants are awarded to applicants after a technical review process. OWEBâ€™s staff (44 budgeted positions in OWEBâ€™s 23-25 budget) administer the grant funds.  

OWEB grant recipients include hundreds of local partner organizations, including watershed councils, tribes, local governments, land trusts, schools and universities, and non-profit organizations.  These grant recipients work within their communities to accomplish watershed restoration and habitat improvements on the ground.  They are external users of many of OWEBâ€™s data management systems.  

OWEB maintains core datasets including the Online Grant Management System (OGMS) with information on funding and financial data; Application Review and Management (ARM) with information on grant offerings, applications and evaluations; the Oregon Watershed Restoration Inventory (OWRI) with information submitted by restoration practitioners; the Pacific Coastal Salmon Recovery Fund (PCSRF) database to comply with federal reporting requirements; and several geospatial datasets. 

In the 2021-23 biennium, OWEB used an IT Prioritization process to stage priority tasks and track progress across divisions. OWEBâ€™s Open Data Inventory was completed in March 2022. All Level 1 and Level 2 OWEB datasets are currently published, with redaction where appropriate. In the 2023-25 biennium, OWEB plans to continue work on training and communication about the agencyâ€™s Open Datasets. OWEB anticipates identifying training needs for staff as well as for external customers, and working through cross-section teams to determine how to meet these training needs.","2023"
"OWRD","Oregon Water Resources Department","WATER RESOURCES, DEPT OF","NATURAL RESOURCES","COMPLETED","COMPLETED","COMPLETED","PLANNING","""The Oregon Water Resources Department (WRD) addresses Oregonâ€™s water supply needs by practicing and promoting responsible water management. WRD provides decisions on water right-related applications and transactions, distributes water in the field in accordance with the water rights of record, collects and analyzes groundwater and surface water resources data, conducts well construction and dam safety inspections, and helps individuals, businesses, and communities identify solutions to their water supply needs. The datasets captured within the WRD inventory represent the data created as each division and program area carries out their daily activities. 

WRD has inventoried about 89 total datasets as of June 1, 2022, with 38 datasets prioritized for publication. WRD has identified data related to the dam inventory and critical groundwater area allocations as the most ready and valuable resources to publish this biennium. Publication will likely be preceded by some minor structural improvements and evaluation of compliance with retention schedules. Publication of these datasets will begin after July 2022 and should encompass 2-3 datasets on data.oregon.gov by June 2024. WRD will continue to re-evaluate and make updates to the dataset inventory during this time.""","2023"
"OYA","Oregon Youth Authority","YOUTH AUTHORITY, OR","PUBLIC SAFETY","COMPLETED","COMPLETED","COMPLETED","PLANNING","As part of Oregonâ€™s juvenile justice system, The Oregon Youth Authority holds youth accountable and provides them with opportunities for reformation, either on parole or probation in the community, or inside secure facilities.  OYA is responsible for youth ages 12 to 24 who commit crimes before age 18. OYA serves youth who are unsuccessful at the county level, who need more services than the county can provide, or who commit very serious crimes.

County Juvenile Departments and the Oregon Youth Authority share a centralized information system to record information for youth involved in the juvenile justice system (The Juvenile Justice Information System-JJIS).  Because of the nature of the Juvenile Justice system, most records must be de-identified and protected from public release.  However, OYA intends to work with our County Partners to develop data sources that can be made more readily available to the public, while also protecting youth and family confidentiality.  We are currently exploring two potential data sources: National Court Archive Data and improved Annual Report availability for further analysis.

National Court Archive Data:  Annually, juvenile court processing information is used in developing national estimates of juvenile court activities for publication, which is funded by the Office of Juvenile Justice and Delinquency Prevention.  The National Juvenile Court Data Archive (Archive) houses the automated records of cases handled by courts with juvenile jurisdiction. The Archive was established by the Office of Juvenile Justice and Delinquency Prevention, within the U.S. Department of Justice, to promote access to automated juvenile court data sets for juvenile justice research and policymaking efforts. During the 2022-2024 biennium, OYA intends to explore whether this dataset could be made available to the public, or if portions could be provided after youth records have been de-identified.

Annual Reports: OYA currently produces a number of annual reports that summarize data for youth and cases involved in various stages of Oregonâ€™s Juvenile Justice system (Oregon Youth Authority : JJIS Annual Reports : JJIS : State of Oregon).  These reports cover a variety of topics including referrals to the juvenile justice system, secure detention placements, court dispositions, disparities in case processing, etc.  The intent of these reports is to aid in the overall planning, development, and evaluation of programs designed to reduce juvenile crime.  During the 2022-2024 biennium, OYA will explore with our county partners whether de-identified versions of these reports can be made available to the public in alternative formats.  Currently, these reports are only available as a PDF document, which limits interpretation and trend analyses.","2023"
"PERS","Public Employees Retirement System","PUBLIC EMPS RETIREMENT SYS","ADMINISTRATION AND BUSINESS SERVICES","COMPLETED","COMPLETED","PENDING","PENDING",,"2023"
"PRB","Psychiatric Security Review Board","PSYCHIATRIC SECURITY REV BRD","HEALTH","COMPLETED","COMPLETED","COMPLETED","PLANNING","The Psychiatric Security Review Board (PSRB) protects the public by working with partnering agencies to ensure persons under its jurisdiction receive the necessary services and support to reduce the risk of future dangerous behavior using recognized principles of risk assessment, victimsâ€™ interest, and person-centered care. The PSRB has jurisdiction over the following individuals:

-	Adults who have been found by the court to be â€œguilty except for insanityâ€ (GEI).
-	Adults who have been found by the court to be an â€œextremely dangerous person with mental illnessâ€.
-	Juveniles who have been found by the court to be â€œresponsible except for insanityâ€ (REI). 

The PSRB oversees the restoration of firearm privileges for individuals who lost their firearm privileges due to mental health determination in the state of Oregon and petition the Board for relief. The PSRB also oversees the Sex Offender Reclassification/Relief program, which allows those with sex offenses in their history to petition the Board to move to a lower classification registration level or be relieved of their obligation to report if currently at the lowest level.

The datasets captured within the PSRBâ€™s Data Inventory contain detailed information regarding the persons under the jurisdiction of the Board contained within the PSRBâ€™s four Microsoft Access databases.

The PSRB is in the PLANNING phase of the Open Data project and anticipates posting their statistical data on data.oregon.gov during the next biennium.","2023"
"PUC","Public Utility Commission","PUBLIC UTILITY CMSN","NATURAL RESOURCES","COMPLETED","EXCEPTION GRANTED","COMPLETED","PLANNING","The Oregon Public Utility Commission (PUC) is responsible for rate regulation of Oregon's investor-owned electric utilities (Portland General Electric, Pacific Power, and Idaho Power), natural gas utilities (Avista, Cascade Natural, and NW Natural), telephone service providers (landline only), as well as select water companies. The PUC also enforces electric and natural gas safety standards and handles utility-related dispute resolution on behalf of Oregon residents. In the event of an emergency, the PUC is part of the Oregon Emergency Response System to coordinate and manage state resources.  

Our mission is to ensure Oregon utility customers have access to safe, reliable, and fairly priced utility services that advance state policy and promote the public interest. We evaluate differing viewpoints and visions of the public interest to arrive at balanced, independent decisions that are supported by fact and law. The datasets held by the PUC relate to different aspects of utility operations and evaluation of utility operations, including financial, technical, and safety related information. 

Currently, the PUC will shortly commence implementation of this project. Implementation has been delayed due to a critical software update project that is ongoing. Most PUC datasets are already publicly available on our website. PUC division leads will coordinate cataloging all existing datasets in and inventory process. 

According to our updated open data plan we will do the following: 

The Open Data Coordinator will convene a representative group from across the agency that deal with discrete data categories that the public will have interest in, including: 

The utility program â€“ specifically including representatives of our regulatory program, rates program, and safety program â€“ all of which have unique data sets of interest to the public. 

The consumers division â€“ which deals directly with the public 

The business office â€“ which has important administrative functions and may have some information of public interest and; 

The administrative hearings division â€“ which manages all data related to Commission decisions and case records. 

The Open Data Coordinator will educate the team on the project, working with them to identify key data sets applicable to the project, make judgements as to what should be included as part of the project, and then work with them to build the inventory. 

After the inventory is complete, we plan to meet with DAS for review and discussion of next steps. 

We plan to complete the inventory of data sets: November 22nd, 2023","2023"
