name,datatype,defaulttask,attributetype,n,dimension,year,year2,url,url-wiki,url-extra,src,description,featured,category
Poker Hand,Multivariate,Classification,"Categorical, Integer",1025010,11,2007,,http://archive.ics.uci.edu/ml/datasets/Poker+Hand,,,UCI Machine Learning Repository,,0,other
Post-Operative Patient,Multivariate,Classification,"Categorical, Integer",90,8,1993,,http://archive.ics.uci.edu/ml/datasets/Post-Operative+Patient,,,UCI Machine Learning Repository,,0,other
Predict keywords activities in a online social media,"Multivariate, Sequential, Time-Series",,"Integer, Real",51,35,2013,,http://archive.ics.uci.edu/ml/datasets/Predict+keywords+activities+in+a+online+social+media,,,UCI Machine Learning Repository,,0,other
Primary Tumor,Multivariate,Classification,Categorical,339,17,1988,,http://archive.ics.uci.edu/ml/datasets/Primary+Tumor,,,UCI Machine Learning Repository,,0,other
QSAR biodegradation,Multivariate,Classification,"Integer, Real",1055,41,2013,,http://archive.ics.uci.edu/ml/datasets/QSAR+biodegradation,,,UCI Machine Learning Repository,,0,other
QtyT40I10D100K,Sequential,,Integer,3960456,4,2012,,http://archive.ics.uci.edu/ml/datasets/QtyT40I10D100K,,,UCI Machine Learning Repository,,0,other
Qualitative_Bankruptcy,Multivariate,Classification,,175,7,2014,,http://archive.ics.uci.edu/ml/datasets/Qualitative_Bankruptcy,,,UCI Machine Learning Repository,,0,other
Record Linkage Comparison Patterns,Multivariate,Classification,Real,5749132,12,2011,,http://archive.ics.uci.edu/ml/datasets/Record+Linkage+Comparison+Patterns,,,UCI Machine Learning Repository,,0,other
Relative location of CT slices on axial axis,Domain-Theory,Regression,Real,53500,386,2011,,http://archive.ics.uci.edu/ml/datasets/Relative+location+of+CT+slices+on+axial+axis,,,UCI Machine Learning Repository,,0,other
Restaurant & consumer data,Multivariate,,,138,47,2012,,http://archive.ics.uci.edu/ml/datasets/Restaurant+%26+consumer+data,,,UCI Machine Learning Repository,,0,other
Reuter 50 50,"Multivariate, Text, Domain-Theory","Classification, Clustering",Real,2500,10000,2011,,http://archive.ics.uci.edu/ml/datasets/Reuter_50_50,,,UCI Machine Learning Repository,,0,other
Reuters Text Categorization Collection,Text,Classification,Categorical,21578,5,1997,,http://archive.ics.uci.edu/ml/datasets/Reuters-21578+Text+Categorization+Collection,,,UCI Machine Learning Repository,,0,other
Robot Execution Failures,"Multivariate, Time-Series",Classification,Integer,463,90,1999,,http://archive.ics.uci.edu/ml/datasets/Robot+Execution+Failures,,,UCI Machine Learning Repository,,0,other
SECOM,Multivariate,"Classification, Causal-Discovery",Real,1567,591,2008,,http://archive.ics.uci.edu/ml/datasets/SECOM,,,UCI Machine Learning Repository,,0,other
Seeds,Multivariate,"Classification, Clustering",Real,210,7,2012,,http://archive.ics.uci.edu/ml/datasets/seeds,,,UCI Machine Learning Repository,,0,other
Seismic bumps,Multivariate,Classification,Real,2584,19,2013,,http://archive.ics.uci.edu/ml/datasets/seismic-bumps,,,UCI Machine Learning Repository,,0,other
Semeion Handwritten Digit,Multivariate,Classification,Integer,1593,256,2008,,http://archive.ics.uci.edu/ml/datasets/Semeion+Handwritten+Digit,,,UCI Machine Learning Repository,,0,other
Knowledge Modeling Data (Students' Knowledge Levels on DC Electrical Machines),Multivariate,Classification,Real,403,5,2013,,http://archive.ics.uci.edu/ml/datasets/ser+Knowledge+Modeling+Data+%28Students%27+Knowledge+Levels+on+DC+Electrical+Machines%29,,,UCI Machine Learning Repository,,0,other
Servo,Multivariate,Regression,"Categorical, Integer",167,4,1993,,http://archive.ics.uci.edu/ml/datasets/Servo,,,UCI Machine Learning Repository,,0,other
Shuttle Landing Control,Multivariate,Classification,Categorical,15,6,1988,,http://archive.ics.uci.edu/ml/datasets/Shuttle+Landing+Control,,,UCI Machine Learning Repository,,0,other
SkillCraft1 Master Table Dataset,Multivariate,Regression,"Integer, Real",3395,20,2013,,http://archive.ics.uci.edu/ml/datasets/SkillCraft1+Master+Table+Dataset,,,UCI Machine Learning Repository,,0,other
Skin Segmentation,Univariate,Classification,Real,245057,4,2012,,http://archive.ics.uci.edu/ml/datasets/Skin+Segmentation,,,UCI Machine Learning Repository,,0,other
SML2010,"Multivariate, Sequential, Time-Series, Text",Regression,Real,4137,24,2014,,http://archive.ics.uci.edu/ml/datasets/SML2010,,,UCI Machine Learning Repository,,0,other
Solar Flare,Multivariate,Regression,Categorical,1389,10,1989,,http://archive.ics.uci.edu/ml/datasets/Solar+Flare,,,UCI Machine Learning Repository,,0,other
Soybean (Large),Multivariate,Classification,Categorical,307,35,1988,,http://archive.ics.uci.edu/ml/datasets/Soybean+%28Large%29,,,UCI Machine Learning Repository,,0,other
Soybean (Small),Multivariate,Classification,Categorical,47,35,1987,,http://archive.ics.uci.edu/ml/datasets/Soybean+%28Small%29,,,UCI Machine Learning Repository,,0,other
Spambase,Multivariate,Classification,"Integer, Real",4601,57,1999,,http://archive.ics.uci.edu/ml/datasets/Spambase,,,UCI Machine Learning Repository,,0,other
SPECT Heart,Multivariate,Classification,Categorical,267,22,2001,,http://archive.ics.uci.edu/ml/datasets/SPECT+Heart,,,UCI Machine Learning Repository,,0,other
SPECTF Heart,Multivariate,Classification,Integer,267,44,2001,,http://archive.ics.uci.edu/ml/datasets/SPECTF+Heart,,,UCI Machine Learning Repository,,0,other
Spoken Arabic Digit,"Multivariate, Time-Series",Classification,Real,8800,13,2010,,http://archive.ics.uci.edu/ml/datasets/Spoken+Arabic+Digit,,,UCI Machine Learning Repository,,0,other
Sponge,Multivariate,Clustering,"Categorical, Integer",76,45,,,http://archive.ics.uci.edu/ml/datasets/Sponge,,,UCI Machine Learning Repository,,0,other
Statlog (Australian Credit Approval),Multivariate,Classification,"Categorical, Integer, Real",690,14,,,http://archive.ics.uci.edu/ml/datasets/Statlog+%28Australian+Credit+Approval%29,,,UCI Machine Learning Repository,,0,other
Statlog (German Credit Data),Multivariate,Classification,"Categorical, Integer",1000,20,1994,,http://archive.ics.uci.edu/ml/datasets/Statlog+%28German+Credit+Data%29,,,UCI Machine Learning Repository,,0,other
Statlog (Heart),Multivariate,Classification,"Categorical, Real",270,13,,,http://archive.ics.uci.edu/ml/datasets/Statlog+%28Heart%29,,,UCI Machine Learning Repository,,0,other
Statlog (Image Segmentation),Multivariate,Classification,Real,2310,19,1990,,http://archive.ics.uci.edu/ml/datasets/Statlog+%28Image+Segmentation%29,,,UCI Machine Learning Repository,,0,other
Statlog (Landsat Satellite),Multivariate,Classification,Integer,6435,36,1993,,http://archive.ics.uci.edu/ml/datasets/Statlog+%28Landsat+Satellite%29,,,UCI Machine Learning Repository,,0,other
Statlog (Shuttle),Multivariate,Classification,Integer,58000,9,,,http://archive.ics.uci.edu/ml/datasets/Statlog+%28Shuttle%29,,,UCI Machine Learning Repository,,0,other
Statlog (Vehicle Silhouettes),Multivariate,Classification,Integer,946,18,,,http://archive.ics.uci.edu/ml/datasets/Statlog+%28Vehicle+Silhouettes%29,,,UCI Machine Learning Repository,,0,other
Steel Plates Faults,Multivariate,Classification,"Integer, Real",1941,27,2010,,http://archive.ics.uci.edu/ml/datasets/Steel+Plates+Faults,,,UCI Machine Learning Repository,,0,other
SUSY,,Classification,Real,5000000,18,2014,,http://archive.ics.uci.edu/ml/datasets/SUSY,,,UCI Machine Learning Repository,,0,other
Syskill and Webert Web Page Ratings,"Multivariate, Text",Classification,Categorical,332,5,1998,,http://archive.ics.uci.edu/ml/datasets/Syskill+and+Webert+Web+Page+Ratings,,,UCI Machine Learning Repository,,0,other
Teaching Assistant Evaluation,Multivariate,Classification,"Categorical, Integer",151,5,1997,,http://archive.ics.uci.edu/ml/datasets/Teaching+Assistant+Evaluation,,,UCI Machine Learning Repository,,0,other
Thoracic Surgery Data,Multivariate,Classification,"Integer, Real",470,17,2013,,http://archive.ics.uci.edu/ml/datasets/Thoracic+Surgery+Data,,,UCI Machine Learning Repository,,0,other
Thyroid Disease,"Multivariate, Domain-Theory",Classification,"Categorical, Real",7200,21,1987,,http://archive.ics.uci.edu/ml/datasets/Thyroid+Disease,,,UCI Machine Learning Repository,,0,other
Tic-Tac-Toe Endgame,Multivariate,Classification,Categorical,958,9,1991,,http://archive.ics.uci.edu/ml/datasets/Tic-Tac-Toe+Endgame,,,UCI Machine Learning Repository,,0,other
Trains,Multivariate,Classification,Categorical,10,32,1994,,http://archive.ics.uci.edu/ml/datasets/Trains,,,UCI Machine Learning Repository,,0,other
Turkiye Student Evaluation,Multivariate,"Classification, Clustering",,5820,33,2013,,http://archive.ics.uci.edu/ml/datasets/Turkiye+Student+Evaluation,,,UCI Machine Learning Repository,,0,other
University,Multivariate,Classification,"Categorical, Integer",285,17,1988,,http://archive.ics.uci.edu/ml/datasets/University,,,UCI Machine Learning Repository,,0,other
URL Reputation,"Multivariate, Time-Series",Classification,"Integer, Real",2396130,3231961,2009,,http://archive.ics.uci.edu/ml/datasets/URL+Reputation,,,UCI Machine Learning Repository,,0,other
User Knowledge Modeling,Multivariate,"Classification, Clustering",Integer,403,5,2013,,http://archive.ics.uci.edu/ml/datasets/User+Knowledge+Modeling,,,UCI Machine Learning Repository,,0,other
"USPTO Algorithm Challenge, run by NASA-Harvard Tournament Lab and TopCoder Problem: Pat",Domain-Theory,Classification,Integer,306,5,2013,,http://archive.ics.uci.edu/ml/datasets/USPTO+Algorithm+Challenge%2C+run+by+NASA-Harvard+Tournament+Lab+and+TopCoder++++Problem%3A+Pat,,,UCI Machine Learning Repository,,0,other
Vertebral Column,Multivariate,Classification,Real,310,6,2011,,http://archive.ics.uci.edu/ml/datasets/Vertebral+Column,,,UCI Machine Learning Repository,,0,other
Vicon Physical Action Data Set,Time-Series,Classification,Real,3000,27,2011,,http://archive.ics.uci.edu/ml/datasets/Vicon+Physical+Action+Data+Set,,,UCI Machine Learning Repository,,0,other
Wall-Following Robot Navigation Data,"Multivariate, Sequential",Classification,Real,5456,24,2010,,http://archive.ics.uci.edu/ml/datasets/Wall-Following+Robot+Navigation+Data,,,UCI Machine Learning Repository,,0,other
Water Treatment Plant,Multivariate,Clustering,"Integer, Real",527,38,1993,,http://archive.ics.uci.edu/ml/datasets/Water+Treatment+Plant,,,UCI Machine Learning Repository,,0,other
Waveform Database Generator (Version 1),"Multivariate, Data-Generator",Classification,Real,5000,21,1988,,http://archive.ics.uci.edu/ml/datasets/Waveform+Database+Generator+%28Version+1%29,,,UCI Machine Learning Repository,,0,other
Waveform Database Generator (Version 2),"Multivariate, Data-Generator",Classification,Real,5000,40,1988,,http://archive.ics.uci.edu/ml/datasets/Waveform+Database+Generator+%28Version+2%29,,,UCI Machine Learning Repository,,0,other
Wearable Computing: Classification of Body Postures and Movements (PUC-Rio),Sequential,Classification,"Integer, Real",165632,18,2013,,http://archive.ics.uci.edu/ml/datasets/Wearable+Computing%3A+Classification+of+Body+Postures+and+Movements+%28PUC-Rio%29,,,UCI Machine Learning Repository,,0,other
Weight Lifting Exercises monitored with Inertial Measurement Units,Multivariate,Classification,Real,39242,152,2013,,http://archive.ics.uci.edu/ml/datasets/Weight+Lifting+Exercises+monitored+with+Inertial+Measurement+Units,,,UCI Machine Learning Repository,,0,other
Wine,Multivariate,Classification,"Integer, Real",178,13,1991,,http://archive.ics.uci.edu/ml/datasets/Wine,,,UCI Machine Learning Repository,,0,other
Wine Quality,Multivariate,"Classification, Regression",Real,4898,12,2009,,http://archive.ics.uci.edu/ml/datasets/Wine+Quality,,,UCI Machine Learning Repository,,0,other
Yacht Hydrodynamics,Multivariate,Regression,Real,308,7,2013,,http://archive.ics.uci.edu/ml/datasets/Yacht+Hydrodynamics,,,UCI Machine Learning Repository,,0,other
YearPredictionMSD,Multivariate,Regression,Real,515345,90,2011,,http://archive.ics.uci.edu/ml/datasets/YearPredictionMSD,,,UCI Machine Learning Repository,,0,other
Yeast,Multivariate,Classification,Real,1484,8,1996,,http://archive.ics.uci.edu/ml/datasets/Yeast,,,UCI Machine Learning Repository,,0,other
YouTube Comedy Slam Preference Data,Text,Classification,,1138562,3,2012,,http://archive.ics.uci.edu/ml/datasets/YouTube+Comedy+Slam+Preference+Data,,,UCI Machine Learning Repository,,0,other
YouTube Multiview Video Games Dataset,"Multivariate, Text","Classification, Clustering","Integer, Real",120000,1000000,2013,,http://archive.ics.uci.edu/ml/datasets/YouTube+Multiview+Video+Games+Dataset,,,UCI Machine Learning Repository,,0,other
Zoo,Multivariate,Classification,"Categorical, Integer",101,17,1990,,http://archive.ics.uci.edu/ml/datasets/Zoo,,,UCI Machine Learning Repository,,0,other
1000 Genomes,,,,1700,3000000000,2014,,http://aws.amazon.com/datasets/4383,,,Amazon,"The deceptively named 1000 Genomes Project in fact aims to collect the genomes of 2,600 people from diverse global populations. They are up to 1,700 so far.",1,genomics
1790 U.S. Census,,,,3929214,6,1790,,http://www.census.gov/history/www/through_the_decades/fast_facts/1790_fast_facts.html,,,U.S. Census Bureau,"The first U.S. Census asked 6 questions. By 1940, it had grown to 50. Over the 20th century, improvements in statistical sampling meant that, for many questions, the Census Bureau could get good estimates by asking just a small subset of residents. In 2010 the questionnaire was pared back to 10 questions.",1,demographics
1800 U.S. Census,,,,5308483,6,1800,,http://www.census.gov/history/www/through_the_decades/fast_facts/1800_fast_facts.html,,,U.S. Census Bureau,"The first U.S. Census asked 6 questions. By 1940, it had grown to 50. Over the 20th century, improvements in statistical sampling meant that, for many questions, the Census Bureau could get good estimates by asking just a small subset of residents. In 2010 the questionnaire was pared back to 10 questions.",1,demographics
1810 U.S. Census,,,,7239881,7,1810,,http://www.census.gov/history/www/through_the_decades/fast_facts/1810_fast_facts.html,,,U.S. Census Bureau,"The first U.S. Census asked 6 questions. By 1940, it had grown to 50. Over the 20th century, improvements in statistical sampling meant that, for many questions, the Census Bureau could get good estimates by asking just a small subset of residents. In 2010 the questionnaire was pared back to 10 questions.",1,demographics
1820 U.S. Census,,,,9638453,7,1820,,http://www.census.gov/history/www/through_the_decades/fast_facts/1820_fast_facts.html,,,U.S. Census Bureau,"The first U.S. Census asked 6 questions. By 1940, it had grown to 50. Over the 20th century, improvements in statistical sampling meant that, for many questions, the Census Bureau could get good estimates by asking just a small subset of residents. In 2010 the questionnaire was pared back to 10 questions.",1,demographics
1830 U.S. Census,,,,12860702,12,1830,,http://www.census.gov/history/www/through_the_decades/fast_facts/1830_fast_facts.html,,,U.S. Census Bureau,"The first U.S. Census asked 6 questions. By 1940, it had grown to 50. Over the 20th century, improvements in statistical sampling meant that, for many questions, the Census Bureau could get good estimates by asking just a small subset of residents. In 2010 the questionnaire was pared back to 10 questions.",1,demographics
1840 U.S. Census,,,,17063353,12,1840,,http://www.census.gov/history/www/through_the_decades/fast_facts/1840_fast_facts.html,,,U.S. Census Bureau,"The first U.S. Census asked 6 questions. By 1940, it had grown to 50. Over the 20th century, improvements in statistical sampling meant that, for many questions, the Census Bureau could get good estimates by asking just a small subset of residents. In 2010 the questionnaire was pared back to 10 questions.",1,demographics
1850 U.S. Census,,,,23191876,13,1850,,http://www.census.gov/history/www/through_the_decades/fast_facts/1850_fast_facts.html,,,U.S. Census Bureau,"The first U.S. Census asked 6 questions. By 1940, it had grown to 50. Over the 20th century, improvements in statistical sampling meant that, for many questions, the Census Bureau could get good estimates by asking just a small subset of residents. In 2010 the questionnaire was pared back to 10 questions.",1,demographics
1860 U.S. Census,,,,31443321,14,1860,,http://www.census.gov/history/www/through_the_decades/fast_facts/1860_fast_facts.html,,,U.S. Census Bureau,"The first U.S. Census asked 6 questions. By 1940, it had grown to 50. Over the 20th century, improvements in statistical sampling meant that, for many questions, the Census Bureau could get good estimates by asking just a small subset of residents. In 2010 the questionnaire was pared back to 10 questions.",1,demographics
1870 U.S. Census,,,,38558371,20,1870,,http://www.census.gov/history/www/through_the_decades/fast_facts/1870_fast_facts.html,,,U.S. Census Bureau,"The first U.S. Census asked 6 questions. By 1940, it had grown to 50. Over the 20th century, improvements in statistical sampling meant that, for many questions, the Census Bureau could get good estimates by asking just a small subset of residents. In 2010 the questionnaire was pared back to 10 questions.",1,demographics
1880 U.S. Census,,,,50189209,26,1880,,http://www.census.gov/history/www/through_the_decades/fast_facts/1880_fast_facts.html,,,U.S. Census Bureau,"The first U.S. Census asked 6 questions. By 1940, it had grown to 50. Over the 20th century, improvements in statistical sampling meant that, for many questions, the Census Bureau could get good estimates by asking just a small subset of residents. In 2010 the questionnaire was pared back to 10 questions.",1,demographics
1890 U.S. Census,,,,62979766,30,1890,,http://www.census.gov/history/www/through_the_decades/fast_facts/1890_fast_facts.html,,,U.S. Census Bureau,"The first U.S. Census asked 6 questions. By 1940, it had grown to 50. Over the 20th century, improvements in statistical sampling meant that, for many questions, the Census Bureau could get good estimates by asking just a small subset of residents. In 2010 the questionnaire was pared back to 10 questions.",1,demographics
1900 U.S. Census,,,,76212168,28,1900,,http://www.census.gov/history/www/through_the_decades/fast_facts/1900_fast_facts.html,,,U.S. Census Bureau,"The first U.S. Census asked 6 questions. By 1940, it had grown to 50. Over the 20th century, improvements in statistical sampling meant that, for many questions, the Census Bureau could get good estimates by asking just a small subset of residents. In 2010 the questionnaire was pared back to 10 questions.",1,demographics
1910 U.S. Census,,,,92228496,32,1910,,http://www.census.gov/history/www/through_the_decades/fast_facts/1910_fast_facts.html,,,U.S. Census Bureau,"The first U.S. Census asked 6 questions. By 1940, it had grown to 50. Over the 20th century, improvements in statistical sampling meant that, for many questions, the Census Bureau could get good estimates by asking just a small subset of residents. In 2010 the questionnaire was pared back to 10 questions.",1,demographics
1920 U.S. Census,,,,106021537,34,1920,,http://www.census.gov/history/www/through_the_decades/fast_facts/1920_fast_facts.html,,,U.S. Census Bureau,"The first U.S. Census asked 6 questions. By 1940, it had grown to 50. Over the 20th century, improvements in statistical sampling meant that, for many questions, the Census Bureau could get good estimates by asking just a small subset of residents. In 2010 the questionnaire was pared back to 10 questions.",1,demographics
1930 U.S. Census,,,,123202624,34,1930,,http://www.census.gov/history/www/through_the_decades/fast_facts/1930_fast_facts.html,,,U.S. Census Bureau,"The first U.S. Census asked 6 questions. By 1940, it had grown to 50. Over the 20th century, improvements in statistical sampling meant that, for many questions, the Census Bureau could get good estimates by asking just a small subset of residents. In 2010 the questionnaire was pared back to 10 questions.",1,demographics
1940 U.S. Census,,,,132164569,50,1940,,http://www.census.gov/history/www/through_the_decades/fast_facts/1940_fast_facts.html,,http://1940census.archives.gov/questions-asked/,U.S. Census Bureau,"The first U.S. Census asked 6 questions. By 1940, it had grown to 50. Over the 20th century, improvements in statistical sampling meant that, for many questions, the Census Bureau could get good estimates by asking just a small subset of residents. In 2010 the questionnaire was pared back to 10 questions.",1,demographics
1950 U.S. Census,,,,151325798,38,1950,,http://www.census.gov/history/www/through_the_decades/fast_facts/1950_fast_facts.html,,http://www.census.gov/history/www/through_the_decades/overview/1950.html,U.S. Census Bureau,"The first U.S. Census asked 6 questions. By 1940, it had grown to 50. Over the 20th century, improvements in statistical sampling meant that, for many questions, the Census Bureau could get good estimates by asking just a small subset of residents. In 2010 the questionnaire was pared back to 10 questions.",1,demographics
1960 U.S. Census,,,,179323175,46,1960,,http://www.census.gov/history/www/through_the_decades/fast_facts/1960_fast_facts.html,,https://usa.ipums.org/usa/voliii/items1960.shtml,U.S. Census Bureau,"The first U.S. Census asked 6 questions. By 1940, it had grown to 50. Over the 20th century, improvements in statistical sampling meant that, for many questions, the Census Bureau could get good estimates by asking just a small subset of residents. In 2010 the questionnaire was pared back to 10 questions.",1,demographics
1970 U.S. Census,,,,203302031,30,1970,,http://www.census.gov/history/www/through_the_decades/fast_facts/1970_fast_facts.html,,https://usa.ipums.org/usa/voliii/items1970.shtml,U.S. Census Bureau,"The first U.S. Census asked 6 questions. By 1940, it had grown to 50. Over the 20th century, improvements in statistical sampling meant that, for many questions, the Census Bureau could get good estimates by asking just a small subset of residents. In 2010 the questionnaire was pared back to 10 questions.",1,demographics
1980 U.S. Census,,,,226542199,52,1980,,http://www.census.gov/history/www/through_the_decades/fast_facts/1980_fast_facts.html,,,U.S. Census Bureau,"The first U.S. Census asked 6 questions. By 1940, it had grown to 50. Over the 20th century, improvements in statistical sampling meant that, for many questions, the Census Bureau could get good estimates by asking just a small subset of residents. In 2010 the questionnaire was pared back to 10 questions.",1,demographics
1990 U.S. Census,,,,248709873,58,1990,,http://www.census.gov/history/www/through_the_decades/fast_facts/1990_fast_facts.html,,,U.S. Census Bureau,"The first U.S. Census asked 6 questions. By 1940, it had grown to 50. Over the 20th century, improvements in statistical sampling meant that, for many questions, the Census Bureau could get good estimates by asking just a small subset of residents. In 2010 the questionnaire was pared back to 10 questions.",1,demographics
2000 U.S. Census,,,,281421906,52,2000,,http://www.census.gov/history/www/through_the_decades/fast_facts/2000_fast_facts.html,,,U.S. Census Bureau,"The first U.S. Census asked 6 questions. By 1940, it had grown to 50. Over the 20th century, improvements in statistical sampling meant that, for many questions, the Census Bureau could get good estimates by asking just a small subset of residents. In 2010 the questionnaire was pared back to 10 questions.",1,demographics
2010 U.S. Census,,,,308745538,10,2010,,http://www.census.gov/history/www/through_the_decades/fast_facts/2010_fast_facts.html,,,U.S. Census Bureau,"The first U.S. Census asked 6 questions. By 1940, it had grown to 50. Over the 20th century, improvements in statistical sampling meant that, for many questions, the Census Bureau could get good estimates by asking just a small subset of residents. In 2010 the questionnaire was pared back to 10 questions.",1,demographics
An event,,,,1,4,,,,,,,"Shown here for scale, an event in our universe has three coordinates in space plus one in time.",1,other
Bacteriophage MS2 RNA genome,,,,1,3569,1976,,http://dx.doi.org/10.1038%2F260500a0,http://en.wikipedia.org/wiki/Genome#Sequencing_and_mapping,,,"This RNA virus was the first genome ever sequenced, by Walter Fiers at the University of Ghent.",1,genomics
Cavendish's data on density of earth,,,,29,1,1797,,http://wps.aw.com/wps/media/objects/15/15719/projects/ch8_famous/cavendish.html,,,,"Using an apparatus devised by John Michell, Henry Cavendish measured the attraction between masses, thereby ""weighing the world"" and indirectly measuring the gravitational constant. Cavendish expressed his results in terms of the density of earth relative to that of water.",1,physics
E. coli genome,,,,1,4600000,1997,,http://www.sciencemag.org/content/277/5331/1453,http://en.wikipedia.org/wiki/Escherichia_coli#Genomics,,,The bacterium E. coli is one of our oldest friends: It typically colonizes newborns within 40 hours.,1,genomics
Fisher's Iris data,,,,150,5,1936,,http://bl.ocks.org/mbostock/4063663,http://en.wikipedia.org/wiki/Iris_flower_data_set,,,"In a famous early multivariate data set, Sir Ronald Fisher recorded the species plus four quantitative features (sepal length, sepal width, petal length, and petal width) of Iris flowers. Fisher then developed a model by which a linear combination of the four measured features could predict the species.",1,genomics
Haemophilus influenzae genome,,,,1,1830140,1995,,http://www.sciencemag.org/content/269/5223/496.abstract,http://en.wikipedia.org/wiki/Haemophilus_influenzae#Sequencing,http://en.wikipedia.org/wiki/Genome#Sequencing_and_mapping,,"This bacterium, once mistakenly blamed for influenza, was sequenced by Craig Venter's team at the Institute for Genomic Research.",1,genomics
Hipparcos star data set,,,,117955,77,1989,1993,http://www.rssd.esa.int/index.php?project=HIPPARCOS&page=multisearch2,http://en.wikipedia.org/wiki/Hipparcos,http://heasarc.gsfc.nasa.gov/W3Browse/all/hipparcos.html,ESA,"From 1989 to 1993, the Hipparcos satellite conducted high-precision astrometry, measuring the motions of celestial objects through parallax. The data published in 1997 cataloged more than 118,200 stars.",1,physics
Human genome,,,,1,3000000000,2007,,http://huref.jcvi.org/,,http://www.plosbiology.org/article/info:doi/10.1371/journal.pbio.0050254,,"Essentially complete human genomes were released in 2000 by the Human Genome Project and Celera Genomics. For the sake of privacy, they were composites of genome donors. In 2007, Craig Venter became the first individual to publish his own genome.",1,genomics
Michelson's light data,,,,100,1,1879,,http://wps.aw.com/wps/media/objects/15/15719/projects/ch8_famous/michelson.html,,,,"Inspired by the methods of Leon Foucault, Albert Michelson took ever-more-precise measurements of the speed of light. Later he attempted to measure the change in the speed of light as Earth moved at an unknown rate through the hypothesized cosmic ether - and was surprised to find that there was none.",1,physics
MNIST handwritten digits,,,,70000,400,2012,,http://yann.lecun.com/exdb/mnist/,http://research.microsoft.com/apps/pubs/default.aspx?id=204699,http://www.kaggle.com/c/digit-recognizer/data,,"Derived from earlier National Institute of Standards and Technology data by a trio from NYU, Google, and Microsoft, these images of handwritten numerals are used to train handwriting-recognition models.",1,other
Netflix Prize data,,,,480189,17770,2006,,http://en.wikipedia.org/wiki/Netflix_prize,http://en.wikipedia.org/wiki/Netflix_prize,,Netflix,"Netflix released a massive trove of anonymous users' movie ratings and offered $1 million to anyone who could improve its recommendation algorithm by at least 10 percent. The prize was ultimately claimed in 2009 by a team of seven. Netflix never ended up using the improved algorithm, because the shift from DVD rentals to online streaming dramatically changed viewer behavior: Their picks became less aspirational, more about instant gratification.",1,other
Phage Phi-X174 genome,,,,1,5386,1977,,http://dx.doi.org/10.1038%2F265687a0,http://en.wikipedia.org/wiki/Genome#Sequencing_and_mapping,,,Fred Sanger completed the first DNA genome sequence.,1,genomics
Saccharomyces cerevisiae,,,,1,12156677,1995,,http://dx.doi.org/10.1126%2Fscience.274.5287.546,http://en.wikipedia.org/wiki/Genome#Sequencing_and_mapping,,,This oft-used yeast became the first eukaryote to be sequenced when an international team published its genome in the journal Science.,1,genomics
Titanic passenger manifest,,,,2224,11,1912,,http://www.kaggle.com/c/titanic-gettingStarted,,,Kaggle,"Of the 2,224 passengers aboard the Titanic, 1,502 survived: 75 percent of the women and 19 percent of the men. The set is still used for machine learning today.",1,demographics
Tycho Brahe's Mars data,,,,929,3,1582,1600,http://www.pafko.com/tycho/observe.html,,,,"Over the course of 18 years, Brahe collected data of unprecedented quality and extent on the motions of Mars and other celestial bodies. His assistant Johannes Kepler (suspected by some of poisoning Brahe) later used Brahe's work to derive his laws of planetary motion.",1,physics
Walmart store sales,,,,536634,13,2010,2013,http://www.kaggle.com/c/walmart-recruiting-store-sales-forecasting,,,Kaggle,This particular set of sales data was released by Walmart for a predictive data science competition on the machine learning site Kaggle.,1,other
