Date,What data are you requesting?,Which state agency maintains this data?,Other - Which state agency maintains this data?,How would you categorize this data?,Other - How would you categorize this data?,How do you plan on using this data?,Other - How do you plan on using this data?,Provide any additional information about how you plan to use the data that may help us respond to your request.,Is this data spatial (e.g. maps) or tabular (e.g. tables or spreadsheets)?,What type of spatial data are you looking for?,Other - What type of spatial data are you looking for?,Response (if available)
01/07/2025,"RSV, influenza, and COVID-19 case data linked with RSV, influenza, and COVID vaccine immunization status. With group-level demographic data.",Department of Public Health,,Health and human services,,For research (e.g. to find data for academic or public policy research),,"We plan to build a dashboard, similar to what is already available on DPH website for weekly viral surveillance and uptake of vaccines, however, the dashboard would contain real-time vaccine effectiveness estimates.",Tabular (e.g. tables or spreadsheets),,,Request forwarded to agency
01/09/2025,Wholesaler THC-Infused Beverages Sales Reporting,Department of Consumer Protection,,Tax and revenue,,For personal use (e.g. to find data about my community or other topics of personal interest),,"This is a lack of available data nationally about how many of these products are sold, this tax data could fill that gap 

https://www.thebeveragejournal.com/ct-dcp-wholesaler-thc-infused-beverages-sales-reporting/",Not sure,,,The Department of Consumer Protection is in the process of collecting this data now and plan to publish it as open data once the data collection is complete.
01/22/2025,US citizenship date for [redacted],I don't know.,,Demographics,,For personal use (e.g. to find,,,Not sure,,,I'm writing in response to your request to the CT Open Data Portal for citizenship information for [redacted]. The Connecticut State Library can help you with your request. Please reach out to their reference desk by emailing csl.isref@ct.gov. The History and Genealogy unit will be able to provide support.
01/27/2025,Job classes by name,Office of the Comptroller,,Government,,For work (e.g. using data on th,,Keeping our employee directory up to date with data connecting the job class codes to the actual classes.,Tabular (e.g. tables or spreadsheets),,,"I'm writing to follow up on your question about job class information on the Open Data Portal. 

The State Employee Payroll Data Calendar Year 2015 through Present dataset published by the Comptroller's Office includes a column called Job Cd Desc that represents the job code. Would this dataset help you update your employee directory with the job classes? 

Let me know if this helps or if you need something else. Thanks!"
01/28/2025,New businesses registered in Wolcott for all of 2024,Office of the Secretary of the,,Business,,For work (e.g. using data on th,,,Not sure,,,"I'm writing in response to your request for data on businesses registered in Wolcott in 2024. This information is available in the Connecticut Business Registry - Business Master dataset, which can be filtered by town and registration date. This support article (https://support.socrata.com/hc/en-us/articles/202950808-Creating-a-Filtered-View) walks through how to filter a dataset. I exported a filtered version of the dataset that includes all businesses registered in Wolcott in 2024 and am attaching it here."
02/04/2025,"Hi, I'm looking for dataset related to connecituct traffic and accident analysis. I can see there are dashboards in https://data.ct.gov/Transportation/Vehicle-Crash-Data-Repository/tusz-n3pv/about_data  but I could not find the dataset related to it. Could you please provide me with the dataset. I am doing a project for academic purpose.",I don't know.,,Public safety,,For research (e.g. to find data,,,Tabular (e.g. tables or spreads,,,I'm writing in response to your request for data on traffic and accidents. UConn maintains the CT Crash Data Repository here: https://www.ctcrash.uconn.edu/. This tool allows users to query and export data for research. The data is from the Department of Public Safety and the CT Department of Transportation. You should be able to access the data on the UConn website.
02/11/2025,Comparison of Personal and Business income tax collected by Town vs. State aid back to municipalities for 2023-2024,Department of Revenue Services,,Tax and revenue,,For personal use (e.g. to find,,,Tabular (e.g. tables or spreads,,,"I'm writing in response to your request for tax data on the Open Data Portal. Data on income tax and state aid to municipalities are linked to below: 
Income tax by town: https://data.ct.gov/Tax-and-Revenue/Connecticut-Personal-Income-Tax-Summary/9mb8-59r7/about_data
State aid to municipalities: https://data.ct.gov/Local-Government/Estimates-of-Statutory-Aid-to-Municipalities/sdcm-adr4/about_data
Let me know if you have any other questions."
02/11/2025,Long term care facilities and their costs,I don't know.,,Other,,For personal use (e.g. to find,,Trying to update costs of skilled nursing home care,Tabular (e.g. tables or spreads,,,I'm writing in response to your request for data on long term care facilities on the CT Open Data Portal. The dataset Nursing Facility Private Pay Rates (https://data.ct.gov/Health-and-Human-Services/Nursing-Facility-Private-Pay-Rates/dj6a-6mcc/about_data) provides a list of licensed nursing facilities in the state and their costs. I hope this helps address your question. Let me know if there's anything else I can do.
02/12/2025,establishments in oxford ct. parcel subject transfer act,I don't know.,,Other,,For work (e.g. using data on th,,,Tabular (e.g. tables or spreads,,,"To look up if a property was involved in the Property Transfer Program, you can search the DEEP document portal at this link: https://filings.deep.ct.gov/DEEPDocumentSearchPortal/."
02/13/2025,I'm looking for data on the collection of the $1 dollar per can tax on the infused beverages.,Department of Consumer Protecti,,Tax and revenue,,For work (e.g. using data on th,,,Tabular (e.g. tables or spreads,,,"I'm writing in response to your request on the CT Open Data Portal for data on the tax on THC infused beverages.

The Department of Consumer Protection publishes a dataset on THC Beverage Sales at this link: https://data.ct.gov/Business/THC-Beverage-Sales/ujsp-7e48/about_data
Let me know if you have any other questions. Thanks!"
02/20/2025,"for property taxes. need database of sales in connecticut download or transfer tax for 2023 and 2024 where do i find it can you download to me. deadline or show me where to find thet sales and assessment data for greenwich, waterbury, stamford",I don't know.,,Other,,For research (e.g. to find data,,,Tabular (e.g. tables or spreads,,,"I'm writing in response to your request for sales and assessment data for Greenwich, Waterbury, and Stamford. 

Assessment data for all Connecticut towns is available in the 2024 Connecticut Parcel and CAMA dataset at this link: https://data.ct.gov/Local-Government/2024-Connecticut-Parcel-and-CAMA-Data/pqrn-qghw/about_data

Real estate sales data is available from grand list year 2001-2022 at this link: https://data.ct.gov/Housing-and-Development/Real-Estate-Sales-2001-2022-GL/5mzw-sjtu/about_data. The grand list years cover October 1 through September 30 of each year, so sales from 2022 GL year are from 10/1/2022 through 9/30/2023.

Let me know if you have any other questions. Thanks!"
02/27/2025,CTTransit Dash Shuttle Usage,Department of Transportation,,Transportation,,For personal use (e.g. to find,,,Tabular (e.g. tables or spreads,,,Request forwarded to agency
03/14/2025,"Death record of [redacted], Bridgeport",I don't know.,,Other,,Other,Family history,,Not sure,,,"I'm writing in response to your request for death records for [redacted].

I reviewed the Connecticut Vital Records - Index of Deaths, 1897-2001 dataset on the CT Open Data Portal and found a record for [redacted].

If you would like to obtain a death certificate, the State Vital Records Office has more information at this link: https://portal.ct.gov/dph/vital-records/death-certificates.

Let me know if you have any other questions. Thank you!"
03/18/2025,1982 Well Completion Reports,Department of Consumer Protecti,,Environment and natural resourc,,For work (e.g. using data on th,,"Water Supply Wells in the Town of Wilton, Connecticut",Tabular (e.g. tables or spreads,,,"I'm writing in response to your request for well completion reports for Wilton from 1982. The Department of Consumer Protection hosts Statewide Well Drilling Reports, 1970 - Present at this link: http://s3-dcp-01.s3-website-us-east-1.amazonaws.com/?prefix=data#data/
The folder for reports for Wilton in 1982 is at this link: http://s3-dcp-01.s3-website-us-east-1.amazonaws.com/?prefix=data#data/Wilton/Wilton%201982/1982/
Let me know if you need any additional information. Thanks!"
03/26/2025,"Town of Plymouth, Principal Employers, 2024",Department of Labor,,Other,Using for Annual Audit,Other,Town's Annual Audit,"The Audit requires a listing of the top 15 Employers of the Town. Ranking of largest to smallest employees per  employer.

(860) 965-8634",Tabular (e.g. tables or spreads,,,Request forwarded to agency
04/04/2025,"Current and up-to-date number of confirmed, positive Covid, flu and RSV cases town-by-town. Massachusetts has a nice setup on their site to narrow down cases by city and town. Thank you",Department of Public Health,,Health and human services,,For research (e.g. to find data,,,Tabular (e.g. tables or spreads,,,No contact information provided
04/10/2025,Either total passenger vehicle registrations or percentage of electric vehicles by city.,Department of Motor Vehicles,,Transportation,,For work (e.g. using data on th,,We would like to maintain a running tally of electric vehicles as a percent of vehicles on our community sustainability dashboard.,Tabular (e.g. tables or spreads,,,"I'm writing in response to your request for data on electric vehicle registrations by city in Connecticut. The Department of Motor Vehicles publishes data on EV registrations in a dataset on the CT Open Data Portal here: Electric Vehicle Registration Data (https://data.ct.gov/Transportation/Electric-Vehicle-Registration-Data/y7ky-5wcz/about_data). This dataset includes customer city as well as vehicle information.

Let me know if you have any questions. Hope this helps!"
04/12/2025,Marriage certificates,I don't know.,,Other,,For personal use (e.g. to find,,I would like information on my family. Parents. Grandparents,Not sure,,,I'm writing in response to your request to the CT Open Data Portal for marriage certificates for your genealogical research. The Connecticut State Library can help you with your request. Please reach out to their reference desk by emailing csl.isref@ct.gov. The History and Genealogy unit will be able to provide support.
04/14/2025,"I am a PhD student from Brown University, and I am working on my thesis about caregiver support and eldercare. To understand who are using the state Paid Family and Medical Leave (PFML) program to care for older adults with serious illness, I would like to request data on PFML claims (especially for caring spouse and parents) from 2021 to 2024, specifically: 

1.	Number of claims approved for caregiving, and caregiving for child, spouse, parents, and all other family members separately, by year 
2.	Total amount of benefits ($) paid for caregiving claims, and for caregiving claims for child, spouse, parents, and all other family members separately, by year 
3.	The average number of weeks approved for caregiving claims, and caregiving claims for child, spouse, parents, and all other family members separately, by year 

If you have any of the demographic information, I would like the above three tables to be further broken down by sex, age, race, income, or firm size of applicants.",I don't know.,,Health and human services,,For research (e.g. to find data,,"I plan to write a paper about who are using the paid family and medical leave benefits, how the benefits are used, and whether the utilization is associated with sociodemographic characteristics of applicants or associated with the benefit designs. I sincerely appreciate your time and please let me know if you need any clarifications.",Tabular (e.g. tables or spreads,,,"I'm writing in response to your request for data on PFML claims. Please contact the CT Paid Leave Authority directly with your request. John Simonetti is the person to contact for your request, and you can reach him at john.simonetti@ct.gov."
04/17/2025,Obituary for [redacted],I don't know.,,Health and human services,,For personal use (e.g. to find,,To complete information on our family tree,Not sure,,,I'm writing in response to your request to the CT Open Data Portal for an obituary for your genealogical research. The Connecticut State Library can help you with your request. Please reach out to their reference desk by emailing csl.isref@ct.gov. The History and Genealogy unit will be able to provide support.
05/12/2025,List of names and addresses of Connecticut new car dealership locations,Department of Motor Vehicles,,Business,,For work (e.g. using data on the Portal as part of my professional work),,To send out an individual mailing to  all registered or operating Connecticut new car dealerships,Tabular (e.g. tables or spreads,,,I�m following up regarding your request for a list of new car dealerships. A list of new car dealerships can be found here: https://portal.ct.gov/dmv/commercial-and-industry-services/get-regulated-business-license/search-for-business-license?language=en_US. Please note that a license starting with N is new dealership and starting with a U is a used dealership.
05/15/2025,1833 pension request for a Private in the 18th Volunteer Regiment of Connecticut during the American revolution.,I don't know.,,Education,,For personal use (e.g. to find data about my community or other topics of personal interest),,I am researching an 1833 letter in my posession.,Not sure,,,I'm writing in response to your request to the CT Open Data Portal for an historical information for your research. The Connecticut State Library can help you with your request. Please reach out to their reference desk by emailing csl.isref@ct.gov. The History and Genealogy unit will be able to provide support.
05/24/2025,Marriage certificate,I don't know.,,Other,,Other,genealogy,,Not sure,,,I'm writing in response to your request to the CT Open Data Portal for marriage certificates. The Connecticut State Library can help you with your request. Please reach out to their reference desk by emailing csl.isref@ct.gov. The History and Genealogy unit will be able to provide support.
07/09/2025,Local businesses across towns,Secretary of State,,Business,,For work (e.g. using data on the Portal as part of my professional work),,"We want to use this data to reach out to local businesses (restaurant, gym, retail etc.) for marketing purposes and to help them out.",Tabular (e.g. tables or spreadsheets),,,I�m following up regarding your request on the Open Data Portal for data on local businesses around different towns. You can find the list of local businesses on this site: https://data.ct.gov/Business/Connecticut-Business-Registry-Business-Master/n7gp-d28j/about_data
07/25/2025,Access to the map(s) of the cemetery / burial ground sections reserved for veterans of color.,Other,CT St Library & Museum,Other,"Black Civil War Veterans [ 1,699 count, Lists, Indices, Tables, Maps, Data ase, Graphic digital imaging.",Other,"For Research, Education, history and genealogical purposes",To gather civil war information for men of color.,Spatial (e.g. maps),Statewide,,I'm writing in response to your request to the CT Open Data Portal for map(s) of the cemtary/burial ground for veterns of color. The Connecticut State Library can help you with your request. Please reach out to their reference desk by emailing csl.isref@ct.gov. The History and Genealogy unit will be able to provide support.
08/13/2025,Connecticut state business records for a specific business,Secretary of State,,Business,,For personal use (e.g. to find data about my community or other topics of personal interest),,To check compliance,Tabular (e.g. tables or spreadsheets),,,I�m following up regarding you request on Open Data Portal for Connecticut state business records for [specific business]. You can find the business records by searching for [specific business] on this site: https://service.ct.gov/business/s/onlinebusinesssearch?language=en_US.
04/25/2025,"Historical Statewide Parcel data like the Connecticut CAMA and Parcel Layer or the Connecticut State Parcel Layer 2023, but for as many years as possible. In particular, I'm interested in historical ownership to create a longitudinal dataset on ownership and value.",I don't know.,,Housing and development,,For research (e.g. to find data for academic or public policy research),,,Tabular (e.g. tables or spreadsheets),,,Request forwarded to agency
04/29/2025,"Hi,

I am a PhD student at the University of Pittsburgh. Our research lab focuses on labor market economics and the future of work. As part of our research, we are analyzing unemployment trends across different industries, time periods, and counties. 

Therefore, I would like to obtain the historical unemployment claim data broken down by county and by industry (ideally using NAICS codes) �  I noticed that the website offers claim data broken down by industry and claim data broken down by county (town), but it does not provide claim data broken down simultaneously by both county and industry.

I would appreciate your advice on where these series can be downloaded and whether a regularly updated API is available for automated long-term access.",Department of Labor,,Local government,,For research (e.g. to find data for academic or public policy research),,"We plan to use in our research, which focus on analyzing unemployment trends across different industries, time periods, and counties.",Tabular (e.g. tables or spreadsheets),,,Request forwarded to agency
04/30/2025,"Numbers and ages of those know to use, deal, manufacture, distribute, and overdose on opioid in Somers, CT. Knowledge and information will come from local poice, fire/EMS, town clerk (in re deaths), and the state department of Health.",Department of Emergency Services and Public Protection,,Demographics,,For work (e.g. using data on the Portal as part of my professional work),,"To help us understand rates and frequency of occurrance in order to better implement our programs, establish convenient days/times, etc.",Tabular (e.g. tables or spreadsheets),,,Request forwarded to agency
05/15/2025,Registered apprentices by occupational trade.,Department of Labor,,Other,,Other,,Apprenticeships and training.,Tabular (e.g. tables or spreadsheets),,,Request forwarded to agency
05/20/2025,Childhood blood lead level data for all years from 1999-2015 at the town level.,Department of Public Health,,Boundaries,,For research (e.g. to find data for academic or public policy research),,Epidemiology study.,Tabular (e.g. tables or spreadsheets),,,Request forwarded to agency
05/22/2025,I'm seeking childhood BLL data from 1999-2014 at >=5 ug/dl at the township (municipality) level.,Department of Public Health,,Other,township level,For research (e.g. to find data for academic or public policy research),,,Tabular (e.g. tables or spreadsheets),,,Request forwarded to agency
06/04/2025,"Chronic absenteeism rates by school, broken down by totals and student demographics (race, gender, economically disadvantage status), from 2010/2011 school year to present.",Department of Education,,Education,,For research (e.g. to find data for academic or public policy research),,Seeking to answer how menstrual product provisioning effects student attendance.,Tabular (e.g. tables or spreadsheets),,,Request forwarded to agency
06/13/2025,"I am requesting the number of board-certified PAs whose primary specialty is Emergency Medicine, practicing in Connecticut.",Department of Public Health,,Demographics,,For research (e.g. to find data for academic or public policy research),,"I am conducting an IRB-exempt research study examining the use of Point-of-Care Ultrasound (POCUS) among PAs in Connecticut Emergency Departments. 

The goal of this study is to better understand how PAs in emergency medicine use POCUS in clinical practice. Our aim is to address the current gap in the literature regarding POCUS use by PAs and to contribute to the development of evidence-based guidelines and policies to support POCUS education and implementation. 

To calculate an accurate survey response rate and describe the study population, I need an aggregate head-count of PAs credentialed specifically to emergency-department cost centers at CT hospitals.

Requested extract:
Metric: Number of PAs whose primary cost center is the Emergency Department
Breakout: Each acute-care hospital (or health-system) in Connecticut
Time frame: Most recent full calendar year (CY 2024) or latest reporting quarter",Tabular (e.g. tables or spreadsheets),,,Request forwarded to agency
06/25/2025,Percentage of resident in the 06608 area that use Medicaid,Department of Social Services,,Health and human services,,For school (e.g. for school projects),,Windshield survey project at the University of Bridgeport,Not sure,,,Request forwarded to agency
07/24/2025,"Municipal Fiscal Indicators: Pension Funding Information For Defined Benefit Pension Plans and Municipal Fiscal Indicators: OPEB Funding Information

You have both of these but only data sets through 2022. Can you add 2023 and 2024 for each?",Office of Policy and Management,,Local government,,For work (e.g. using data on the Portal as part of my professional work),,"I am collecting municipal data for a number of states, and I would like to add more recent CT municipal pension and OPEB data to what I already have.",Tabular (e.g. tables or spreadsheets),,,Request forwarded to agency
