Report Year,Agency Name,Data Set Title,Data Set Description,Update Frequency,Planned Release Date,Date Status,Agency Comment
2014,Department of Education (DOE),Daily School-wide Attendance,Daily school-wide attendance for all schools,Daily,12/31/2018,,
2014,Department of Education (DOE),Attendance by School and Year,"Attendance data reflect what has been reported via our Period Attendance Reporting (PAR) process. As additional data is reported, it will be reflected in subsequent postings. Monthly data can change as new data is reported, and overall register numbers are expected to decrease each year once audited numbers are finalized. CBOs not included. Register statistics are unaudited and unofficial",Annually,12/31/2018,,
2014,Department of Education (DOE),School Bus Delays and Breakdowns,"List of school bus delay for the day. The Office of Pupil Transportation (OPT) provides service to over 600,000 NYC students attending both public and non-public schools located within the five boroughs and neighboring counties in New York, New Jersey and Connecticut",Daily,12/31/2018,,
2014,Department of Education (DOE),Bus Route Status,"Bus Route Status for the day. Information coming from the Bus Route Status System 2.0. The Office of Pupil Transportation (OPT) provides service to over 600,000 NYC students attending both public and non-public schools located within the five boroughs and neighboring counties in New York, New Jersey and Connecticut",Daily,12/31/2018,,
2014,Department of Education (DOE),School Facilities Summary,"School Facilities Summary includes: Architectural, Mechanical, and Electrical survey details, capacity and utilization data, capacity plan, active capital projects",Annually,12/31/2018,,
2014,Department of Education (DOE),Annual Arts in School Reports Raw Data,"The Annual Arts in Schools Report includes data about arts teachers, arts budgeting, space for the arts, partnerships with arts and cultural organizations, and parent involvement for elementary, middle, and high schools. These reports help school administrators, parents, and students understand how their schools are progressing towards offering universal arts education to all students",Annually,12/31/2018,,
2014,Department of Education (DOE),Audited Register Data,Official audited register by school,Annually,12/31/2018,,
2014,Department of Education (DOE),Location Information Report,"Report of all DOE School Information including Principal and Superintendent names, Cluster, Network, addresses & phone numbers",Daily,12/31/2018,,
2014,Department of Education (DOE),"Regents Exams results, by School","Regents results by School for all subjects, by Year",Annually,12/31/2018,,
2014,Department of Education (DOE),School Budget Overviews,Report that shows individual school budget allocation by year. Fair Student Funding Details feature also available,Annually,12/31/2018,,
2014,Department of Education (DOE),School Allocation Memorandums (SAM),"School Allocation Memorandums (SAM) by category. Categories: Fair Student Funding, Children First Network Support, Externally Restricted Funds, Internally Restricted Funds, Other Special Education Funds, Budget and Technical Adjustments",Annually,12/31/2018,,
2014,Department of Environmental Protection (DEP),Recreational Boating Permits,The data tables provides a number of permits issued by type of boat and by basin,Annually,09/30/2014,,
2014,Department of Environmental Protection (DEP),Land Acquisition Statistics,"The data tables provides annual statics on how much land we own, acquired, and total protected lands in the water shed",Annually,09/30/2014,,
2014,Department of Environmental Protection (DEP),CCR Annual Report,The data tables published as part of the Annual NYC Drinking Water Supply and Quality Report,Annually,09/30/2014,,
2014,Department of Environmental Protection (DEP),Water Quality,Weekly /YTD Water quality data,Weekly,09/30/2014,,
2014,Department of Environmental Protection (DEP),Monthly Operating Efficiency,Average monthly performance data for 14 NYC WWTPs.,Monthly,09/30/2014,,
2014,Department of Environmental Protection (DEP),Customer Service Module,"The DEP Customer Service dataset will contain information about the different types of complaints received /processed on a regular basis. The dataset will include complaint information such as complaint type, caller information, location, status, or resolution code.",Daily,09/30/2014,,
2014,Department of Environmental Protection (DEP),LIMS and SAS databases,Water Quality data for watershed streams and reservoirs,Annually,09/30/2014,,
2014,Department of Environmental Protection (DEP),Wastewater Treatment Plant Performance Data,The data tables provides a monthly roll up of key parameters at Wastewater treatment plants including SPEDES permit requirements,Monthly,09/30/2014,,
2014,Department of Environmental Protection (DEP),Work Order Management Module,Work orders associated with a CSR complaints,Daily,12/01/2014,,
2014,Department of Environmental Protection (DEP),Sewer Connection Permit,Sewer Connection Permit,Daily,12/01/2014,,
2014,Department of Environmental Protection (DEP),Sewer Plug Permit,Sewer Plug Permit,Daily,12/01/2014,,
2014,Department of Environmental Protection (DEP),Water Service Plug Permit,Water Service Plug Permit,Daily,12/01/2014,,
2014,Department of Environmental Protection (DEP),CATS Permits,Contains information on current boiler and industrial operation permits in New York City registered with  DEP,Daily,12/31/2014,,
2014,Department of Environmental Protection (DEP),LCR 90th percentile dataset,At-the-tap LCR compliance and free residential 1st draw 90th percentile data.,Quarterly,03/01/2015,,
2014,Department of Environmental Protection (DEP),Daily Source Water Turbidity Data,The data table summarizes the daily source water turbidity data for DEL18DT,Monthly,03/01/2015,,
2014,Department of Environmental Protection (DEP),Lead Kit Requests,This is a running list of 311 requests for lead testing kits which are logged in Hansen.,Quarterly,03/01/2015,,
2014,Department of Environmental Protection (DEP),Water Quality complaints,This is a running list of all water quality complaint types logged in Hansen.,Monthly,03/01/2015,,
2014,Department of Environmental Protection (DEP),Distribution Sites LCR Monitoring Results,"Monthly results from the distribution sites for orthophosphate, pH, temperature, conductivity and monthly alkalinity, calcium, lead and copper - Bi annually updated",Annually,03/01/2015,,
2014,Department of Environmental Protection (DEP),Entry Point LCR Monitoring Results,"Daily results from the entry points for orthophosphate, pH, temperature, conductivity and monthly alkalinity, calcium, lead and copper - Bi annually updated",Annually,03/01/2015,,
2014,Department of Environmental Protection (DEP),Summary of DBP Quarterly Report,The data tables summarizes the disinfection by-product results for TTHM and HAA5 from distribution sites and calculated compliance values for each quarter,Quarterly,03/01/2015,,
2014,Department of Environmental Protection (DEP),Summary of Turbidity of Distribution Samples,The data tables summarizes the turbidity values found at sites in distribution each month,Monthly,03/01/2015,,
2014,Department of Environmental Protection (DEP),Compliance Coliform Samples,This list contains information on the analytical results of samples collected for compliance with the Total Coliform Rule,Monthly,03/01/2015,,
2014,Department of Environmental Protection (DEP),Summary of Fluoride Levels of Distribution Samples,The data tables summarizes the fluoride values found at sites in distribution each month,Monthly,03/01/2015,,
2014,Department of Environmental Protection (DEP),Summary of FCR of Distribution Samples,The data tables summarizes the chlorine residual values found at sites in distribution each month,Monthly,03/01/2015,,
2014,Department of Environmental Protection (DEP),Source Water Fecal Coliform Data,The data table summarizes the daily source water fecal coliform data and SWTR compliance (% samples >20 FC/100 mL over previous 6 months) for DEL18DT,Monthly,03/01/2015,,
2014,Department of Environmental Protection (DEP),ARTSACP7,Contains information on asbestos abatement  projects taking place in New York City,Daily,12/31/2017,,
2014,Department of Environmental Protection (DEP),Private Sewer Construction Permit,Private Sewer Construction Permit,Daily,12/31/2018,,
2014,Department of Environmental Protection (DEP),Manhole Permit,Manhole Permit,Daily,12/31/2018,,
2014,Department of Environmental Protection (DEP),Private Water Main Construction Permit,Private Water Main Construction Permit,Daily,12/31/2018,,
2014,Department of Environmental Protection (DEP),Seepage Basins Permit,Seepage Basins Permit,Daily,12/31/2018,,
2014,Department of Environmental Protection (DEP),Catch Basin Permit,"The DEP Application and Permit data will contain information about the different types of applications approved and permits issued on a regular basis. The Data will include application information such as development details, location, results, and status information.",Daily,12/31/2018,,
2014,Department of Finance (DOF),Scofftow,"Information on vehicles towed or booted, and potentially auctioned as a result of parking ticket non-payment enforcement",TBD,12/31/2018,,
2014,Department of Finance (DOF),Payments,"Payments received for DOF Parking Tickets, Property and Business Taxes, DEP Water Charges, ECB, DOH, DCA Violations",TBD,12/31/2018,,
2015,Department of Correction (DOC),Inmate deaths,Non-natural deaths of inmates in custody,Monthly,03/31/2016,Updated,
2014,Department of Finance (DOF),CPRR Remittances,"Payments received via web pages for various agencies such as DOF Parking Tickets and Property Taxes, DCAS Rents, DOHMH Dog Licenses, HPD Heat and Hot Water Repairs, DSNY Abandoned Vehicle Towing, FDNY Inspections, DOB Electrical Permits, ECB violations",TBD,12/31/2018,,
2014,Department of Finance (DOF),CPRR Receivables,"Amounts owed for various agencies such as DOF Parking and Property Taxes, DCAS Rents, DSNY Abandoned Vehicle Towing, FDNY Inspections, DOB Electrical Permits, ECB violations, SAPO Street Activity Permits.",TBD,12/31/2018,,
2014,Department of Finance (DOF),Personal Property - Remarks Record,This dataset contains remarks information (if any) for recorded documents.,Monthly,12/31/2018,,
2014,Department of Finance (DOF),Banking Corporation Tax Issuer Allocation Percentage Reports,IAP for all corporations subject to the tax for 1997 - Current.,Annually,12/31/2018,,
2014,Department of Finance (DOF),General Corporation Tax Issuer Allocation Percentage Reports,IAP for all corporations subject to the tax for 1998 - Current.,Annually,12/31/2018,,
2014,Department of Finance (DOF),Cigarette tax enforcement data,"Amount billed and collected from vendors or untaxed cigarettes, including number of NYC customers for each vendor.",Monthly,12/31/2018,,
2014,Department of Finance (DOF),Public Improvement lien (mechanics liens) docket,Details about claims of non-payment for labor or materials provided to a government contractor or subcontractor.,Monthly,12/31/2018,,
2014,Department of Finance (DOF),Real Property Income and Expense Form non-compliance lists,Properties required to file RPIE-2010 which did not do so.,Annually,12/31/2018,,
2014,Department of Finance (DOF),Property tax rates by tax class,Table of tax rates by year,Annually,12/31/2018,,
2014,Department of Finance (DOF),Properties that received Revised Notice of Value,Original and revised assessment figures for each parcel of property related to a particular mailing.  (Register as an Excel spread sheet),Semi-annually,12/31/2018,,
2014,Department of Finance (DOF),Property Abatements,Benefits which reduce property tax liability and related details.  Abatement detail files (mainframe files),Quarterly,12/31/2018,,
2014,Department of Finance (DOF),Tax lien sale lists,Properties with tax and/or water liens that are potentially eligible to be included in the next lien sale.,Monthly,12/31/2018,,
2014,Department of Finance (DOF),Vending machine operators,Mainframe file,Semi-annually,12/31/2018,,
2014,Department of Finance (DOF),Stamping agents,Mainframe file,Semi-annually,12/31/2018,,
2014,Department of Finance (DOF),Licensed cigarette wholesale dealers,Mainframe file,Semi-annually,12/31/2018,,
2014,Department of Finance (DOF),Open Balance Detail,Mainframe text file.,Quarterly,12/31/2018,,
2014,Department of Finance (DOF),Annualized Calendar Sales Update,Sales data for the calendar year,Annually,12/31/2018,,
2014,Department of Finance (DOF),Exemption Classification Codes,Table of codes and the corresponding description,Semi-annually,12/31/2018,,
2014,Department of Finance (DOF),Refund list - real property tax,"Details about refund checks for overpaid Property Tax accounts, with amounts broken down by specific charge. Available for calendars year’s 2011-Current.",Monthly,12/31/2018,,
2014,Department of Health and Mental Hygiene (DOHMH),Air Quality,Dataset contains information on New York City air quality surveillance data,Annually,07/31/2014,,
2014,Department of Health and Mental Hygiene (DOHMH),HIV Testing Locations,Location and facility information for places in New York City that provide HIV testing.,Annually,09/30/2014,,
2014,Department of Health and Mental Hygiene (DOHMH),Restaurant Inspection Data,Results from Department's restaurant inspections,Daily,09/30/2014,,
2014,Department of Health and Mental Hygiene (DOHMH),HIV Condom Distribution Sites,Location and facility information for businesses and providers who distribute the New York City condom.,Annually,12/31/2014,,
2014,Department of Health and Mental Hygiene (DOHMH),Reportable Disease Surveillance Data,"Dataset contains information on cases of reportable diseases (not including STDs, Tuberculosis or HIV) in New York City.",Annually,03/31/2015,,
2014,Department of Health and Mental Hygiene (DOHMH),Rodent Inspection,Dataset contains information on rat inspections,Annually,04/01/2015,,
2014,Department of Health and Mental Hygiene (DOHMH),Pool Inspections,Dataset contains information on inspections of pools,Annually,06/01/2015,,
2014,Department of Health and Mental Hygiene (DOHMH),Beach Water Quality,Dataset contains information on beach water quality,Annually,06/01/2015,,
2014,Department of Health and Mental Hygiene (DOHMH),Sexually Transmitted Diseases Surveillance Data,Dataset contains information on cases of reportable Sexually Transmitted Diseases in New York City.,Annually,06/30/2015,,
2014,Department of Health and Mental Hygiene (DOHMH),Tuberculosis Surveillance Data,Dataset contains information on Tuberculosis cases reported in New York City.,Annually,06/30/2015,,
2014,Department of Health and Mental Hygiene (DOHMH),Mobile Vending Permitting,Dataset contains information on mobile food vending permits and inspections,Annually,12/31/2015,,
2014,Department of Health and Mental Hygiene (DOHMH),Birth Data,Live births in New York City by jurisdiction.,Annually,12/31/2015,,
2014,Department of Health and Mental Hygiene (DOHMH),Death/Mortality Data,The cause of mortality by jurisdiction in New York City since 2001.,Annually,12/31/2015,,
2014,Department of Health and Mental Hygiene (DOHMH),Child Care Inspections,Dataset contains information on center-based child care and summer camp sites and inspections related to the sites,Annually,06/01/2016,,
2015,Department of Correction (DOC),Population Capacity,Population as a percentage of capacity,Monthly,03/31/2016,Updated,
2014,Department of Health and Mental Hygiene (DOHMH),Radiation Producing Equipment,Dataset contains information on Department inspections of radiation-producing equipment,Annually,12/31/2018,,
2014,Department of Social Services (DSS) - Department of Homeless Services (DHS),Daily Report,The Daily Report dataset includes the daily number of families and individuals residing in the Department of Homeless Services (DHS) shelter system and the daily number of families applying to the DHS shelter system,Daily,08/23/2014,,
2014,Department of Social Services (DSS) - Department of Homeless Services (DHS),Local Law 37 report,The DHS Local Law 37 report provides aggregate information on individuals and families that utilize DHS services including data on length of stay and shelter applications,Monthly,12/31/2014,,
2014,Department of Social Services (DSS) - Department of Homeless Services (DHS),"Local Law 19, Section 612 Report","The DHS Local Law 19, Section 612 report provides aggregate data on outreach services, permanent housing placements and shelter length of stay",Quarterly,12/31/2014,,
2014,Department of Social Services (DSS) - Department of Homeless Services (DHS),Data Dashboard,The DHS Data Dashboard provides aggregate information on individuals and families by case type; the ethnicity of shelter clients; the number of shelter entrants by borough; the number of shelter exits; how many school aged children are in shelter; the placements of chronically street homeless individuals; and prevention enrollments,Quarterly,12/31/2015,,
2014,Department of Housing Preservation and Development (HPD),Additional Housing Development Information,Additional descriptive data for housing development projects not prescribed by Local Law 44 of 2013,Semi-Annually,01/01/2018,,
2014,Office of Technology and Innovation (OTI),Public Pay Telephone locations and Wi-Fi pilot usage. (PPT complaints included in 311/Siebel data,Details on Public Pay Telephone locations and Wi-Fi pilot usage.,Weekly,07/15/2014,,
2014,Office of Technology and Innovation (OTI),Cable Complaints,Details on complaints made to DoITT’s cable franchising center,Quarterly,06/01/2017,,
2014,Office of Technology and Innovation (OTI),MTF/Pole top Reservations,Pole tops reserved as part of DoITT's Mobile Telecommunications Franchises (MTF) agreements.,Annually,05/01/2018,,
2014,Department of Investigation (DOI),Mayor's Management Report Performance Statistics,This dataset contains information provided to the Mayor's Office for inclusion in the Mayor's Management Report,Annually,10/01/2014,,
2014,Department of Parks and Recreation (DPR),Work orders; Asset Inventory; Maintenance Schedules,"Work order - Work orders generated for both general maintenance, and those used to address issues discovered during inspections; Inventory - inventory maintained on-hand at Parks storehouses; Maintenance Schedules - schedules used to assign field crews",Quarterly,12/29/2017,,
2014,Department of Parks and Recreation (DPR),Street Tree Inventory and related information,Comprehensive data on Street Trees under Parks Department jurisdiction,Quarterly,12/29/2017,,
2014,Department of Parks and Recreation (DPR),Inspection Information; Found Conditions,Inspection Info - ratings for inspections of all city parks; Found Conditions - issues discovered during inspections which require attention by staff,Quarterly,12/29/2017,,
2014,Department of Probation (DOP),Probationer re-arrests,Adult Probationer Rearrest Rate (monthly average) (%),Monthly,04/01/2016,,
2014,Department of Probation (DOP),Citywide adult probationer arrests,Adult Probationers Arrested Citywide as a Percentage of the NYPD arrest report (monthly average),Monthly,04/01/2016,,
2014,Department of Probation (DOP),Juvenile probationer re-arrests,Juvenile Probationer Rearrest Rate (monthly average) (%),Monthly,04/01/2016,,
2014,Department of Probation (DOP),Citywide juvenile probationer re-arrests,Juvenile Probationers arrested citywide as a percentage of the NYPD arrest report (monthly average),Monthly,04/01/2016,,
2014,Department of Records and Information Services (DORIS),Government Publications Listing,Documents submitted to the Department of Records and Information Services in compliance with Section 1133 of the New York City Charter,Monthly,12/31/2014,,
2014,Department of Sanitation (DSNY),Derelict Vehicle Dispositions,"Gives disposition (disposal, tow, other) of derelict vehicles reported to DSNY",Monthly,01/01/2015,,
2014,Department of Sanitation (DSNY),Events and clean-up costs,"Names, locations and dates of events permitted by Street Activity Permit Office and the DSNY cost of clean-up efforts billed to event organizers",Monthly,07/01/2015,,
2014,Department of Sanitation (DSNY),Resource Plans,"Planned number of personnel to be assigned to Cleaning and Collection functions, by Sanitation District, date, and function",Quarterly,07/01/2015,,
2014,Department of Sanitation (DSNY),Resource Utilization,"Actual number of personnel assigned to Cleaning and Collection functions, by Sanitation District, date, and function. Also number of personnel not available by category and personnel detached to/attached from other districts",Quarterly,07/01/2015,,
2014,Department of Sanitation (DSNY),Litter Basket Inventory,Tracks locations and type of Litter Baskets,Quarterly,01/01/2016,,
2014,Department of Sanitation (DSNY),Lot Cleaning Dispositions,"Dispositions of Lots for which cleaning requests were received, with DSNY clean-up cost where applicable",Monthly,01/01/2016,,
2014,Department of Sanitation (DSNY),Inspections,"Tracks location, date and outcome of inspections of permitted, privately operated Municipal Solid Waste disposal locations",Monthly,10/01/2016,,
2014,Department of Small Business Services (SBS),NYC Business Solutions Business Courses,Schedule of business education courses provided by NYC Business Solutions,Weekly,06/01/2015,,
2014,Department of Small Business Services (SBS),Courses/Training Provider Listing,Listing of vocational training courses eligible for Individual Training Grants,Weekly,06/02/2015,,
2014,Department of Small Business Services (SBS),Workforce1 Job Listing,Listing of job openings registered through Workforce1 Center,Weekly,06/03/2015,,
2014,Department of Transportation (DOT),Street Weekly Resurfacing Schedule - Manhattan,Manhattan Milling and Paving Schedule,Weekly,08/01/2014,,
2014,Department of Transportation (DOT),Street Weekly Resurfacing Schedule - Bronx,Bronx Milling and Paving Schedule,Weekly,08/01/2014,,
2014,Department of Transportation (DOT),Street Weekly Resurfacing Schedule - Brooklyn,Brooklyn Milling and Paving Schedule,Weekly,08/01/2014,,
2014,Department of Transportation (DOT),Street Weekly Resurfacing Schedule  Queens,Queens Milling and Paving Schedule,Weekly,08/01/2014,,
2014,Department of Transportation (DOT),Bike Routes,Locations of bike lanes and routes throughout the City,Annually,08/01/2014,,
2014,Department of Transportation (DOT),Citywide Low Bridges,Contains the locations with low vertical clearances on the limited access highway system.,Annually,08/01/2014,,
2014,Department of Transportation (DOT),Street Weekly Resurfacing Schedule Staten Island (Staten Island milling and paving),Staten Island Milling and Paving Schedule,Weekly,08/01/2014,,
2014,Department of Transportation (DOT),New York City Bridge Traffic Volumes,"Summarizes vehicular volumes, classification data and trends for the 47 bridges. that cross over water as well as 9 bridges and tunnels operated by the MTA and the 6 bridges and tunnels operated by PANYNJ",Annually,08/01/2014,,
2014,Department of Transportation (DOT),NYC Protected Streets,"List of Protected Streets for segments and intersections, current and future.",Daily,08/01/2014,,
2014,Department of Transportation (DOT),Sidewalk Weekly Construction Schedule,"Sidewalk schedule to install, maintain and repair sidewalks, curbs and pedestrian ramps.",Weekly,08/01/2014,,
2014,Department of Transportation (DOT),Concrete/Hardware Weekly Repair Schedule,"Concrete schedule for installation maintenance or repair of concrete structures (center medians, curbs, sidewalks and other concrete infrastructures)",Weekly,08/01/2014,,
2014,Department of Transportation (DOT),NYC DOT Annual Bridge & Tunnels Condition Report - Bridge Inventory,"The NYC DOT Bridge & Tunnels Annual Condition Report - Part IV Bridge Inventory lists all City-owned (non-toll) bridge and tunnel structures owned, operated and maintained by the NYC Department of Transportation.",Annually,08/01/2014,,
2014,Department of Transportation (DOT),NYC DOT 10 Year  Capital Projects Plan,Data related to proposed capital projects in DOT’s 10 year Capital Plan,Annually,08/01/2014,,
2014,Department of Transportation (DOT),Street Assessment,Current ratings of the conditions of streets throughout the 5 boroughs,Monthly,08/01/2014,,
2014,Department of Transportation (DOT),Manhattan River Crossings,"Presents vehicular volumes, classification and trends for all bridge and tunnel facilities serving Manhattan River Crossings",Annually,08/01/2014,,
2014,Department of Transportation (DOT),CityBench Locations,"Locations where the Department of Transportation installed attractive and durable benches around the city, particularly at bus stops, retail corridors, and in areas with high concentrations of senior citizens.",Quarterly,08/01/2014,,
2014,Department of Transportation (DOT),CitiBike System Data,Information about NYC Bike Share operated by Citi Bike.,Monthly,08/01/2014,,
2014,Department of Transportation (DOT),Bicycle network connectivity index,Bicycle network connectivity index,TBD,07/01/2015,,
2014,Department of Transportation (DOT),Operable meters,On-street parking meters that are operable (%),TBD,07/01/2015,,
2014,Department of Transportation (DOT),Street pavement ratings,Streets maintained with a pavement rating of Good (%),TBD,07/01/2015,,
2014,Department of Transportation (DOT),Pothole work orders,Average time to close a pothole work order where repair was done (days),TBD,07/01/2015,,
2014,Department of Transportation (DOT),Highway Cleanliness,NYC highways that receive a cleanliness rating of good (%),TBD,07/01/2015,,
2014,Department of Transportation (DOT),Traffic Signal Defects (Response Times),Average time to respond to traffic signal defect and make safe (hours),TBD,07/01/2015,,
2014,Department of Transportation (DOT),Pedestrian volume,Pedestrian volume index,TBD,07/01/2015,,
2014,Department of Transportation (DOT),Regulatory sign repair,Average time to repair priority regulatory signs after notification (days),TBD,07/01/2015,,
2014,Department of Transportation (DOT),Bridge ratings,Bridges rated good or very good (%) (calendar year),TBD,07/01/2015,,
2014,Department of Transportation (DOT),Staten Island Ferry Trips,Staten Island Ferry trips that are on time (%),TBD,07/01/2015,,
2014,Department of Transportation (DOT),Muni Meter Parking Data,"Parking information that may be collected from MUNI METERS in NYC. This includes # of tickets printed, duration of parking purchased, location of muni meter, and amount of money collected. .",TBD,07/01/2018,,
2014,Department of Transportation (DOT),Street Lights,NA,TBD,07/01/2018,,
2014,Department of Transportation (DOT),Traffic Signal Timing,NA,TBD,07/01/2018,,
2014,Department of Transportation (DOT),Street Furniture and Pavement Markings,NA,TBD,07/01/2018,,
2014,Fire Department of New York City (FDNY),Fire incident dispatch information,This database contains information on the dispatch and response of FDNY units.  No information will be included regarding responses to medical incidents,Monthly,01/01/2015,,
2014,Fire Department of New York City (FDNY),Medical incident dispatch information,This database contains information relating to the dispatch of units in response to EMS incidents throughout the city.  Data released will be limited to operational data only,Monthly,01/01/2015,,
2014,NYC Commission on Human Rights (CCHR),Historical Amendments,Law Enforcement Bureau - Amendments for the complaints,Monthly,12/31/2018,,
2014,Fire Department of New York City (FDNY),Fire incident information by incident type,This database contains detailed information on individual Fire Incidents as completed by the Fire Officer.  No information will be included regarding medical incidents,Quarterly,01/01/2016,,
2014,Fire Department of New York City (FDNY),Building inspections completed by inspection type/Number of risk buildings inspected,Provides the number of Fire Operation inspections conducted for both mandatory building inspection types and risk buildings (as identified by the risk model),Monthly,01/01/2017,,
2014,Department of Social Services (DSS) - Human Resources Administration (HRA),Total HASA Cases,Total number of HASA cases,Monthly,12/31/2015,,
2014,Department of Social Services (DSS) - Human Resources Administration (HRA),Total Cases on Cash Assistance,"Total number of cases on Cash Assistance, including breakdown by major categories",Monthly,12/31/2015,,
2014,Department of Social Services (DSS) - Human Resources Administration (HRA),Total Medicaid Cases,Total number of enrollees in Medicaid,Monthly,12/31/2015,,
2014,Department of Social Services (DSS) - Human Resources Administration (HRA),Cash Assistance Youth Engagement,Local Law 51 mandated report for youth in Cash Assistance program,Monthly,12/31/2015,,
2014,Department of Social Services (DSS) - Human Resources Administration (HRA),Local Law 49 Reporting,Detailed summary statistics regarding HASA program,Quarterly,12/01/2017,,
2014,Department of Social Services (DSS) - Human Resources Administration (HRA),Local Law 37 Reporting,Emergency placements,Monthly,12/01/2017,,
2014,Department of Social Services (DSS) - Human Resources Administration (HRA),District Resource Statement,Program receipt by borough and community district,Annually,12/01/2017,,
2014,Department of Social Services (DSS) - Human Resources Administration (HRA),Borough/Community District Report,Program receipt by borough and community district,Quarterly,12/01/2017,,
2014,Department of Social Services (DSS) - Human Resources Administration (HRA),Office of Child Support Enforcement Fact Sheet,Summary statistics regarding OCSE,Monthly,12/01/2017,,
2014,Department of Social Services (DSS) - Human Resources Administration (HRA),HASA Fact Sheet,Summary statistics regarding HASA Program,Monthly,12/01/2017,,
2014,Department of Social Services (DSS) - Human Resources Administration (HRA),CA Application Report,Local Law 51 mandated report on youth cash assistance applications,Annually,12/01/2017,,
2014,Department of Social Services (DSS) - Human Resources Administration (HRA),Cash Assistance Engagement,Report with engagement status for cases in Cash Assistance program,Monthly,12/01/2017,,
2014,Department of Social Services (DSS) - Human Resources Administration (HRA),JobStat,Monthly report of performance indicators for HRA Job Center operations,Monthly,12/01/2017,,
2014,Landmarks Preservation Commission (LPC),Complaint Log,Contains information related to violation complaints received by LPC,Quarterly,09/01/2014,,
2014,Landmarks Preservation Commission (LPC),Applications Tracking Table,This table tracks grant applications received by LPC and their outcomes,Annually,07/01/2015,,
2014,Landmarks Preservation Commission (LPC),Requests for Evaluation,"Tabular dataset containing property information, request dates, determinations and determination dates, beginning in 2001",TBD,06/30/2016,,
2014,Landmarks Preservation Commission (LPC),Permit Application Information,Contains information pertaining to permit applications for work to landmark sites submitted to and processed by LPC,TBD,06/30/2016,,
2014,Law Department (LAW),Case information,"Case-related information, such as parties to litigation",Semi-Annually,09/01/2015,,
2014,Manhattan Borough President (MBPO),Topographical Bureau Maps,This list contains information on maps maintained by the topographical bureau,Annually,08/01/2014,,
2014,Manhattan Borough President (MBPO),Constituent Services,This list contains information on the number and nature of constituent services handled by the Borough President's Office.,Monthly,08/01/2014,,
2014,City Council (NYCC),Council Members,This list contains information on Council Members,Monthly,01/01/2015,,
2014,City Council (NYCC),Legislative items,This list contains information on the legislative items introduced and enacted by the Council,Monthly,01/01/2015,,
2014,City Council (NYCC),Committees and Council meetings,This list contains information on committee and full Council meetings,Monthly,01/01/2015,,
2014,City Council (NYCC),Land use items,This list contains information related to land use items before the Council,Monthly,12/31/2018,,
2014,New York Police Department (NYPD),Firearms Discharge Report,Report detailing NYPD occurrence of firearm discharge,Annually,09/01/2014,,
2014,New York Police Department (NYPD),Reasonable Suspicion Stops,Precinct based comparison by stop and suspect description. 87 page report with tables and charts,Annually,11/01/2014,,
2014,New York Police Department (NYPD),Crime Enforcement Activity,"Breakdown of enforcement by crime and select indicators (shootings, firearms, juveniles)",Annually,02/01/2016,,
2014,New York Police Department (NYPD),Citywide Crime Statistics,"Statistical breakdown by citywide, borough, and precinct",Weekly,03/01/2017,,
2014,NYC Commission on Human Rights (CCHR),Benefit Log,"Tracking of Educational Activities by the Community Relations Bureau, and income of the recipients",Monthly,12/31/2018,,
2014,NYC Commission on Human Rights (CCHR),Inquiries,"Tracking of Inquiries made to Agency Human Rights Specialist, and other staff",Monthly,12/31/2018,,
2014,NYC Commission on Human Rights (CCHR),Office of Meditation and Conflict Resolution Listings,Office of Mediation and Conflict Resolution - Listing of cases processed by OMCR,Monthly,12/31/2018,,
2014,NYC Commission on Human Rights (CCHR),Appeals,Law Enforcement Bureau - Listing of cases appealed,Monthly,12/31/2018,,
2014,NYC Commission on Human Rights (CCHR),Historical Attorney,Law Enforcement Bureau - Attorney info for the complaints,Monthly,12/31/2018,,
2014,NYC Commission on Human Rights (CCHR),Historical Necessary Parties,Law Enforcement Bureau Case Tracking System - Additional respondents for the complaints,Monthly,12/31/2018,,
2014,NYC Commission on Human Rights (CCHR),Historical Allegations,Law Enforcement Bureau Case - Allegations for the complaints,Monthly,12/31/2018,,
2014,NYC Commission on Human Rights (CCHR),Historical Events,Law Enforcement Bureau Case -  Events for complaint,Monthly,12/31/2018,,
2014,NYC Commission on Human Rights (CCHR),Historical Complaints,Law Enforcement Bureau Case - Complaints record,Monthly,12/31/2018,,
2014,NYC Independent Budget Office (IBO),Annual tax effort in NYC since 1960,"Annual tax effort (revenue per $100 of taxable resources) with back-up tables for major tax sources, taxable resources",Annually,01/01/2016,,
2014,NYC School Construction Authority (SCA),Transportable Classroom Units,Transportable Classroom Units,Annual,12/01/2014,,
2014,NYC School Construction Authority (SCA),Current RFP,List of active Requests For Proposals,Weekly,12/31/2014,,
2014,NYC School Construction Authority (SCA),Art in DOE buildings,"List of art, artist, medium and DOE building that the art is located in schools.",Monthly,12/31/2014,,
2014,NYC School Construction Authority (SCA),Anticipated RFP,List of upcoming Requests for Proposals,Weekly,12/31/2014,,
2014,NYC School Construction Authority (SCA),DOE building space usage,"List of DOE buildings schools housed within the building and with listing of rooms by size, usage.",,09/01/2015,,
2014,NYC School Construction Authority (SCA),Inspection Observations,List of observations and status for construction project inspections,Monthly,09/01/2015,,
2014,NYC School Construction Authority (SCA),Inspections,List of Inspections requested for construction projects,Monthly,09/01/2015,,
