#,Tracker,Status,Priority,Subject,Assignee,Updated,% Done
11080,Bug,WIP,Normal,DATETIME / DATETIME-TZ Format (Time and Timezone Offset) Validation Issues,Vladimir Tsichevski,01/06/2026 02:13 PM,0
11129,Bug,WIP,Normal,ChUI: Ctrl-Tab Does Not Cycle Focus Between Multiple Frames,Vladimir Tsichevski,02/12/2026 12:52 PM,70
10692,Bug,WIP,Normal,Numeric FILL-IN: Problems with formats using debit/credit sign placeholders,Vladimir Tsichevski,02/10/2026 01:51 PM,90
11053,Bug,WIP,High,DATETIME-TZ FILL-IN crashes in VALUE-CHANGED trigger,Vladimir Tsichevski,12/18/2025 12:52 PM,0
9913,Bug,WIP,Normal,DATE FILL-IN: Unexpected normalization on Enter and Tab keys,Vladimir Tsichevski,01/05/2026 02:19 PM,50
9225,Bug,WIP,Normal,EDITOR: incorrect cursor position after Ctrl-Right key press,Vladimir Tsichevski,12/11/2024 02:20 PM,0
8770,Bug,WIP,Normal,ENTRY event is not sent for a frame when window receives focus,Vladimir Tsichevski,02/13/2026 06:35 AM,80
7674,Bug,WIP,Normal,FILL-IN for a character variable: cannot delete an unknown value,Vladimir Tsichevski,11/21/2025 05:37 PM,0
7642,Bug,WIP,Normal,Assigning SESSION:DATE-FORMAT has no effect on existing date instances,Vladimir Tsichevski,10/20/2025 06:56 PM,0
5989,Bug,WIP,Normal,MESSAGE SET: empty string is treated as undefined,Vladimir Tsichevski,01/20/2022 08:22 AM,50
5622,Bug,WIP,Normal,TREEVIEW widget issues,Vladimir Tsichevski,12/06/2024 05:34 AM,0
5118,Bug,WIP,Normal,TREELIST widget issues,Vladimir Tsichevski,12/09/2024 09:20 AM,0
10654,Bug,New,Normal,TreeList MultiSelect Mode Issues,Vladimir Tsichevski,10/04/2025 05:19 PM,0
10212,Bug,New,Normal,FILL-IN for DECIMAL Variable: Incorrect DELETE-CHARACTER Handling in ChUI Mode,Vladimir Tsichevski,06/25/2025 02:46 PM,0
10249,Bug,New,Normal,Numeric FILL-IN in ChUI Mode: Decimal Delimiter Input Discrepancies,Vladimir Tsichevski,01/09/2026 04:13 PM,0
10433,Bug,New,Normal,FILL-IN (DATE type): Incorrect digit insertion position in freshly opened FILL-IN,Vladimir Tsichevski,08/15/2025 11:46 AM,0
10627,Bug,New,Normal,Numeric FILL-IN: Format Index Miscalculation,Vladimir Tsichevski,09/26/2025 01:10 PM,0
6812,Bug,Internal Test,High,fix FastFindCache to use a shared instance per persistent database,"",11/29/2023 10:59 AM,90
6887,Bug,Review,Normal,improve performance of dataset/table[-handle] parameters,"",01/19/2024 02:43 AM,0
6627,Bug,Review,Normal,improve conversion memory footprint for AstKey persistent maps,"",02/09/2023 12:38 PM,0
6275,Bug,Review,Normal,SKIP-DELETED-RECORD implementation,"",08/26/2022 09:41 PM,0
8807,Bug,Review,Normal,A trigger of ANYWHERE type does not shadow existing trigger for the same event,"",07/12/2024 04:04 PM,100
6443,Bug,Review,Normal,Widget ROW/COLUMN validation,"",05/27/2022 01:51 AM,100
5030,Bug,WIP,Normal,xfer dataset test issues,"",01/15/2021 11:59 AM,0
3367,Bug,WIP,Normal,collision between sequence and table names,"",11/08/2017 03:28 PM,50
6537,Bug,WIP,High,problems with ADD-INTERVAL,"",06/23/2022 05:23 PM,80
6837,Bug,WIP,Normal,prevent unnecessary upper/rtrim injection in queries if the data type doesn't require it,"",02/08/2023 04:00 AM,0
18,Bug,WIP,Normal,issues with ne/equal and true/false conversion in WHERE clauses,"",06/02/2014 12:15 PM,0
2533,Bug,WIP,Normal,management of dynamic buffer handles,"",03/03/2015 11:55 AM,0
8183,Bug,WIP,Normal,debugging database module,"",01/11/2024 06:11 PM,0
4453,Bug,WIP,Normal,Handling of filename with quotation mark broken in control_flow.rules,"",03/03/2020 02:46 PM,0
3263,Bug,WIP,Normal,com.goldencode.p2j.Version class always loaded from p2jspi.jar,"",03/14/2017 06:14 PM,100
3357,Bug,WIP,Normal,Code Analytics file filter view not working correctly on Windows,"",10/11/2017 11:23 PM,0
2295,Bug,WIP,Normal,In Progress output parameters ignore decimal precision,"",07/23/2016 10:48 AM,0
8353,Bug,WIP,Normal,Fully support stanza INI LOAD/USE/UNLOAD scenarios,"",04/09/2025 11:51 AM,0
7794,Bug,WIP,Normal,FILL-IN: editing numbers issues,"",02/05/2026 03:11 PM,0
2499,Bug,WIP,Normal,DST portion of the timezone offset is always included when it should be conditional,"",02/05/2015 06:02 PM,0
8872,Bug,WIP,Normal,WAIT-FOR with FOCUS explicitly specified: NO-APPLY return from ENTRY trigger must be ignored,"",06/26/2024 02:27 PM,50
8673,Bug,WIP,Normal,Deduce the logic behind OE focus management and implement in FWD,"",02/06/2025 02:11 AM,30
7515,Bug,WIP,Normal,FILL-IN: editing dates issues,"",01/30/2024 07:48 AM,0
6057,Bug,WIP,Normal,Attributes access causing widget to be realized when not need to.,"",02/16/2022 07:03 AM,0
5809,Bug,WIP,Normal,Setting sizing attributes for WINDOW and FRAME widgets issues,"",11/16/2021 11:10 AM,20
4636,Bug,WIP,Normal,Make the Theme API independent on concrete implementation classes,"",06/20/2020 11:50 AM,0
3597,Bug,WIP,Normal,"fix direct manipulation problems related to MOVABLE, SELECTED, SELECTABLE and misc widget types","",11/13/2019 12:07 PM,50
9595,Bug,WIP,Normal,Records accessed from dynamic buffers remain LOCKed until the user context is destroyed,"",01/30/2025 10:31 AM,0
9465,Bug,WIP,Normal,Emit the right errors when binding datasets,"",12/18/2024 10:32 AM,0
1702,Bug,WIP,Normal,message_stmt[3-5].p issues,"",03/23/2016 02:20 PM,0
10678,Bug,New,Normal,~u#### escape sequences which have no equivalent  in the cpinternal should be not converted,"",10/06/2025 07:30 AM,0
9058,Bug,New,Normal,NPE in NumberFormat with SMTP example procedure,"",08/16/2024 04:38 AM,0
11089,Bug,New,Normal,Lexical/Grammatical Errors in TRPL Expressions,"",01/11/2026 06:24 AM,0
9052,Bug,New,Normal,Identity crisis between upvalues of higher scope variables in do i=1 to N block,"",08/14/2024 10:01 AM,0
10850,Bug,New,Normal,getAst() usage from TRPL must be read-only,"",11/12/2025 06:17 AM,0
8910,Bug,New,Normal,'VIEW frame IN WINDOW' converts to invalid Java,"",06/29/2024 06:20 AM,0
7855,Bug,New,Normal,Integrate fixEmptyContains into mainWalk at FQL preprocessing,"",09/29/2023 06:58 AM,0
9008,Bug,New,Normal,Trigger fired when iterating a Finalizable collection allows it to be modified,"",07/29/2024 02:44 AM,0
4513,Bug,New,Normal,Check up cases when the drawing code use ThinClient.isChui() in the redirected mode instead of screen().isChui(),"",01/21/2020 12:08 PM,0
2224,Bug,New,Normal,StackOverflowError on start server in runtime when logging level is set to FINEST,"",01/09/2014 03:30 PM,0
8510,Bug,New,Normal,replace all 'new logical' in FWD runtime with logical.of or logical.UNKNOWN,"",04/03/2024 05:26 AM,0
7821,Bug,New,Normal,Duplication of table records in schema namespace causes dynamic conversion to fail,"",09/20/2023 06:11 PM,0
8346,Bug,New,Normal,Find and fix any use cases with implicit use of working directory when accessing file-system resource,"",02/26/2024 01:18 PM,0
9836,Bug,New,Normal,Drop BlockManager API for empty methods,"",03/26/2025 06:05 AM,0
8008,Bug,New,Normal,"read-json on a 1252 longchar should convert to utf-8 automatically before hydrating temp-tables/datasets, and support other Unicode encodings like UTF-32","",12/05/2023 05:51 AM,0
1454,Bug,New,Normal,progress lexer fails to parse comments without space before,"",11/15/2016 04:47 PM,0
7990,Bug,New,Normal,investigate what can be improved after 7494a adds BlockDefinition instance to Scopeable.scopeStart,"",10/31/2023 01:34 PM,0
7088,Bug,New,Normal,Lazily initialize activeBundle inside RandomAccessQuery,"",02/02/2023 06:40 AM,0
8274,Bug,New,Normal,use singleton/immutable BDT instances when returned from FWD runtime into the application,"",02/13/2024 02:26 PM,0
8929,Bug,New,Normal,Constructors with EXTENT parameters fails,"",07/05/2024 04:32 AM,0
10237,Bug,New,Normal,keepTildes is keeping tilde when preprocessor directive contains tilde and curly brace,"",02/24/2026 08:35 AM,0
3350,Bug,New,Normal,No suitable method found for isEqual,"",10/11/2017 09:38 AM,0
1923,Bug,New,Normal,&MESSAGE preprocessor directive expects NL only;  needs to detect EOF as well,"",11/16/2012 02:18 PM,0
2153,Bug,New,Normal,frame name resolution when multiple functions have internal frames with the same name,"",05/23/2013 07:51 AM,0
6997,Bug,New,Normal,OUTPUT BY-REFERENCE records are not cleared,"",03/11/2024 02:16 PM,0
8294,Bug,New,Normal,SESSION attributes access statements produce uncompilable Java code,"",02/20/2024 09:37 AM,0
7371,Bug,New,Normal,proper handling of exception case in cacheExpired,"",05/22/2023 07:19 AM,0
7220,Bug,New,Normal,Record not created when property is set to empty string,"",03/27/2023 10:29 AM,0
7759,Bug,New,Normal,improve CASE statement for integer type,"",08/29/2023 05:01 PM,0
7413,Bug,New,Normal,DUMP-NAME is not guaranteed to be unique in the .df,"",06/09/2023 10:52 AM,0
6852,Bug,New,Normal,Problem with datetime-tz literal string conversion.,"",10/18/2022 11:22 AM,0
6744,Bug,New,Normal,rollback when there are catch/finally blocks opening their own transactions,"",12/03/2024 05:33 AM,0
6741,Bug,New,Normal,Word index support  for MariaDB.,"",09/09/2022 01:43 AM,0
7176,Bug,New,Normal,cleanup p2j.oo code considering the #7045 and #7122,"",03/07/2023 08:05 AM,0
3349,Bug,New,Normal,FOCUS handle is invalid for ./wait-for_restore_focus1.p,"",10/11/2017 09:14 AM,0
6492,Bug,New,Normal,problems with dynamic queries for meta tables,"",04/25/2024 06:48 PM,0
7073,Bug,New,Normal,Launching non-interactive program creates JNI core dump in process_linux.c due to ncurses,"",01/25/2023 07:37 AM,0
7656,Bug,New,Normal,investigate performance of context-local helpers (e.g. TransactionManager.TransactionHelper),"",11/21/2023 07:29 AM,0
9872,Bug,New,Normal,Runtime import statement relies on the ImportWorker to read lob data.,"",04/05/2025 11:23 AM,0
6999,Bug,New,Normal,OO methods/properties used in direct Java calls,"",12/16/2022 03:31 AM,0
3346,Bug,New,Normal,Menu items selection works incorrectly,"",10/10/2017 12:56 PM,0
6579,Bug,New,Normal,QUERY-PREPARE validation,"",07/07/2022 02:22 AM,0
6475,Bug,New,Normal,double-check and fix any read/write-xml/json issues at table and dataset,"",05/26/2023 04:38 PM,0
6974,Bug,New,Normal,NPE at OpenEdge.Core.Class.IsInterface,"",12/01/2022 07:52 AM,0
7345,Bug,New,Normal,The memptr deallocation attempt after the connection to client is interrupted/suspended,"",05/11/2023 06:08 AM,0
7200,Bug,New,Normal,fix INIT and LABEL for LIKE defined fields or variables,"",03/15/2023 01:32 PM,0
9023,Bug,New,Normal,Cannot run reports from a path with spaces,"",08/01/2024 05:35 PM,0
3177,Bug,New,Normal,The converted redirected_report_25.p doesn't compile.,"",09/02/2016 11:52 AM,0
1573,Bug,New,Normal,Defect in saving logic of rights editor,"",09/29/2012 06:58 AM,0
1706,Bug,New,Normal,temp-table buffer scoping,"",04/21/2016 08:51 AM,0
3327,Bug,New,Normal,Oracle javac has problems to compile specific usages of some FWD API,"",08/15/2017 04:41 AM,0
4149,Bug,New,Normal,BlockManager and TransactionManager handle TransactionType.NONE incorrectly,"",10/31/2022 10:30 AM,0
8257,Bug,New,Normal,meta tables leaking to primary database,"",02/07/2024 02:30 PM,0
6743,Bug,New,Normal,fix GET-SIGNATURE for all parameter modes and types,"",09/09/2022 12:38 PM,70
6715,Bug,New,Normal,BufferManager.validate throws IllegalStateException if a validation fails via a ValidateException ,"",10/14/2022 03:04 PM,0
8925,Bug,New,Normal,Datetime/DatetimeTZ literals,"",07/05/2024 04:40 AM,0
3318,Bug,New,Normal,Incorrect handling of MINUS operator is some cases,"",08/11/2017 09:19 AM,0
6623,Bug,New,Normal,"validate the memptr bytes in ""copy-lob from memptr to clob/longchar"" statement","",07/21/2022 03:08 AM,0
6811,Bug,New,Normal,ERROR conditions converted to structured OO exceptions are not logged in OE,"",10/05/2022 12:10 PM,0
11266,Bug,New,Normal,Filename of extension too long in Windows during import,"",02/27/2026 10:47 AM,0
6693,Bug,New,Normal,StringFormat fixes - finish up and merge branch 4880a|b|c,"",08/23/2022 01:56 AM,0
6434,Bug,New,Normal,unknown stream reference errors in post-parse-fixups,"",05/26/2022 08:59 PM,0
7714,Bug,New,Normal,basepath cannot have trailing backslash (/),"",08/17/2023 08:24 AM,0
3317,Bug,New,Normal,Multi-line string containg empty line is translated to non-compilable Java code.,"",08/11/2017 09:09 AM,0
1927,Bug,New,Normal,The Exception raising - org.hibernate.NonUniqueObjectException: a different object with the same identifier value was already associated with the session,"",12/12/2012 02:37 PM,0
6145,Bug,New,Normal,"""Bad"" characters in the query.","",03/04/2022 07:32 AM,0
6382,Bug,New,Normal,XML serialization for ATTRIBUTE and TEXT XML-NODE-TYPE fields,"",05/20/2022 07:43 AM,0
6706,Bug,New,Normal,preserve existing camel-case usage in program names,"",08/25/2022 11:19 AM,0
5512,Bug,New,Normal,Java todate(text) UDF returns incorect value,"",07/02/2021 03:33 PM,0
5511,Bug,New,Normal,todate(text) Java UDF throws strange exception,"",07/02/2021 01:53 PM,0
5476,Bug,New,Normal,"Bug in Java UDF addinterval(date, ...)","",06/18/2021 03:12 PM,0
1449,Bug,New,Normal,ProtocolViolation error,"",07/25/2012 06:40 AM,0
10288,Bug,New,Normal,Encrypted connetion to SQL Server,"",07/15/2025 08:09 AM,0
5673,Bug,New,Normal,Additional support for INDEXED REPOSITION open query attribute,"",07/18/2022 12:28 PM,0
6533,Bug,New,Normal,dynamic equals operator,"",06/20/2022 01:11 PM,0
5909,Bug,New,Normal,Problem with conversion of STRING(char. char),"",12/20/2021 02:25 PM,0
5376,Bug,New,Normal,Reintroduce UDFs for handling special date-related operators,"",05/17/2021 06:14 PM,0
6268,Bug,New,Normal,Characters encoding issues with UTF-8 for emoji and confusable symbols.,"",04/12/2022 03:04 AM,0
6644,Bug,New,Normal,OpenClient proxy does not sanitize the names for legacy mode,"",07/29/2022 08:05 AM,0
1930,Bug,New,Normal,"toString for BaseDataType instances called by loggers causes ""Value ... cannot be displayed using <format>""","",12/21/2012 07:28 AM,0
2152,Bug,New,Normal,"server-to-sever connection problem (CTRL-C 3-way test fails on devsrv01, when ran from ant)","",05/23/2013 07:10 AM,0
5224,Bug,New,Normal,ROWID is a variable length binary value (4GL quirk),"",03/31/2021 09:40 AM,0
5901,Bug,New,Normal,at least some 4GL warnings need to process differently when the current scope has a catch block,"",12/15/2021 04:45 PM,0
5743,Bug,New,Normal,finally block: finalizable processing,"",10/20/2021 01:19 PM,0
4891,Bug,New,Normal,Nested method calls ignore 'silent' (no-error) option.,"",09/15/2020 02:59 AM,0
6612,Bug,New,Normal, Extent input-output arguments of functions are not correctly wrapped,"",07/29/2022 08:02 AM,0
3045,Bug,New,Normal,Clean up localedef warnings for en_US@p2j_basic locale,"",03/30/2016 12:48 PM,0
5635,Bug,New,Normal,OpenEdge.Core.Util.ConfigBuilder implementation,"",08/31/2021 09:27 AM,0
4940,Bug,New,Normal,"Refactor the overlapping DmoMeta, RecordMeta, and PropertyMeta classes into a more rational approach","",10/02/2020 09:22 AM,0
5691,Bug,New,Normal,deviation in error generation for invalid method/property chaining,"",09/29/2021 09:13 AM,0
5541,Bug,New,Normal,"string(decimal, string) support in FWD is not fully compatible with 4GL","",07/12/2021 03:57 PM,0
4742,Bug,New,Normal,heap usage increase on server startup,"",07/06/2020 12:27 PM,0
5539,Bug,New,Normal,X-DOCUMENT (DOM) allows ISO control characters in OpenEdge for XML version 1.0,"",07/10/2021 04:25 AM,0
6111,Bug,New,Normal,"changed 'A' conversion mode for 'abend parsing on failure' to allow parsing of all files, and terminate before 'Post-Parse Fixups' starts.","",02/25/2022 09:57 AM,0
1444,Bug,New,Normal,invalid default UNDO statement behavior,"",05/21/2012 08:20 AM,0
5613,Bug,New,Normal,4GL built-in functions throw IllegalArgumentException,"",08/20/2021 12:07 PM,0
5085,Bug,New,Normal,uppercasing and string comparisons are incorrect for some character sets,"",01/15/2021 11:48 AM,0
5446,Bug,New,Normal,PUT UNFORMATTED performace (stream is flushed on each call),"",10/01/2021 03:40 PM,0
5439,Bug,New,Normal,com.goldencode.util.Stack problem,"",06/12/2021 04:53 PM,0
4404,Bug,New,Normal,ConditionException inside full transaction FOR EACH loop,"",11/12/2019 08:28 AM,0
5608,Bug,New,Normal,raw vs memptr parameters,"",08/18/2021 01:01 PM,0
5551,Bug,New,Normal,Case sensitivity of default buffer name,"",07/16/2021 10:43 AM,0
9967,Bug,New,Normal,unix separator in strings gets resolved as unicode separator,"",05/06/2025 12:29 PM,0
9734,Bug,New,Normal,multiple 'AS type' clauses allowed in DEFINE VAR,"",03/04/2025 12:42 PM,0
5489,Bug,New,Normal,Cleanup / reimplement merge DMO definitions,"",06/20/2022 10:24 AM,0
4535,Bug,New,Normal,CONNECT statement with VALUE expression quirks,"",02/11/2020 06:17 AM,0
3961,Bug,New,Normal,"""Unexpected code path"" failure when using H2 in MVCC mode","",11/22/2019 12:56 PM,0
4852,Bug,New,Normal,ErrorManager throws 'invalid' ErrorConditionException,"",08/12/2020 07:50 AM,0
5399,Bug,New,Normal,schema parsing failure when a string literal ends in a tilde,"",06/02/2021 07:17 PM,0
20,Bug,New,Normal,NO-ERROR does not work for FIND statement on preselected results,"",09/24/2011 12:00 PM,0
1710,Bug,New,Normal,issues related to ALERT-BOX'es,"",10/29/2012 09:07 AM,0
1510,Bug,New,Normal,format not preserved for subsequent frame iterations,"",09/09/2012 12:13 PM,0
3322,Bug,New,Normal,Functions with names that differ only by hypenation and case are translated to non-compilable code,"",08/12/2017 05:50 AM,0
4426,Bug,New,Normal,Cannot find parent when processing REPEAT PRESELECT,"",03/03/2020 02:42 PM,0
3329,Bug,New,Normal,FUNCTION with formal parameter of DATETIME type cannot be used with table field of DATE type,"",08/23/2017 01:27 PM,0
4325,Bug,New,Normal,Not flushing the newly created record to the database,"",09/14/2019 05:39 PM,0
5281,Bug,New,Normal,BUFFER-COPY does not report changes in some modes,"",04/23/2021 03:15 PM,0
4537,Bug,New,Normal,CONNECT statement parameters parsing quirks,"",02/11/2020 03:50 PM,0
5011,Bug,New,Normal,unimplemented OO 4GL quirks and bugs,"",11/20/2020 09:16 AM,0
4071,Bug,New,Normal,FWD server stops allowing new web client logins after abend,"",05/08/2023 02:30 PM,0
8025,Bug,New,Normal,Persistence API improvements,"",11/10/2023 09:37 AM,0
4200,Bug,New,Normal,verify and fix all temp-table options which must result in different DMO implementations classes in FWD,"",11/19/2019 09:42 AM,0
4520,Bug,New,Normal,Implement proper codepage inheritance from permanent to temp tables,"",01/24/2020 02:01 PM,0
4564,Bug,New,Normal,unqualified field references can get the wrong buffer name if a FORM or DEF FRAME is present,"",09/09/2021 02:56 PM,0
3625,Bug,New,Normal,DISCONNECT terminates the remote database connection to early,"",06/19/2018 02:50 PM,0
5072,Bug,New,Normal,exception loading _user meta table,"",01/08/2021 10:30 AM,0
3172,Bug,New,Normal,QUERY-PREPARE can be used on static queries (and the sorting can be dynamically changed),"",06/24/2020 08:55 AM,0
4992,Bug,New,Normal,File lock with JSON Parse/Write File,"",11/04/2020 06:01 AM,0
2109,Bug,New,Normal,a comment that is the first node in a block doesn't have a new-line after it,"",01/25/2021 05:14 PM,0
9040,Bug,New,Normal,fixe dataset serialization over appserver calls,"",08/08/2024 08:44 AM,0
4752,Bug,New,Normal,Possible broken sort clause with word indexes,"",07/10/2020 05:13 PM,0
3934,Bug,New,Normal,binary logical expressions in a 4GL WHERE clause are executed left to right,"",03/01/2019 03:45 PM,0
4422,Bug,New,Normal,h2.sortNullsHigh in page-store mode,"",12/02/2019 03:37 PM,0
4931,Bug,New,Normal,possible ProgressiveResults performance improvement,"",09/29/2020 12:51 PM,0
5121,Bug,New,Normal,Converted temp table should be using the legacy name instead of the converted name in displayed messages,"",03/11/2021 07:49 AM,0
3192,Bug,New,Normal,possible optimization when the database server resides on the same box as the P2J server,"",10/07/2016 08:12 AM,0
5800,Bug,New,Normal,Conversion issue with CAN-FIND,"",11/02/2021 12:11 PM,0
5201,Bug,New,Normal,fix issues related to the error messages reported for invalid date/datetime/datetime-tz literals,"",03/15/2021 04:45 PM,0
5802,Bug,New,Normal,a date temp-table field gets assigned to incorrect date,"",11/09/2021 12:14 PM,0
5239,Bug,New,Normal,CASE WHEN statement:  unreachable break statements are sometimes inserted,"",04/05/2021 04:30 AM,0
19,Bug,New,Normal,conversion CASE to SWITCH,"",03/26/2012 12:00 PM,0
3364,Bug,New,Normal,problems with TABLE-HANDLE and TABLE parameters related to BY-REFERENCE,"",11/01/2017 09:38 AM,0
3173,Bug,New,Normal,use of DYNAMIC-FUNCTION() in the WHERE clause of a dynamic query silently fails to find a record in the 4GL while P2J acts as one would expect,"",08/19/2016 01:03 PM,0
4157,Bug,New,Normal,Name conversion report problem,"",07/29/2019 02:14 PM,0
3171,Bug,New,Normal,a natural join combined with the :: operator will cause an unexpected result,"",08/18/2016 12:32 PM,0
5377,Bug,New,Normal,H2 might block in certain conditions,"",05/17/2021 06:47 PM,0
5683,Bug,New,Normal,Consider using multiple .df files for a database,"",09/23/2021 04:05 PM,0
5615,Bug,New,Normal,Project builds should copy out p2jpl.jar from FWD,"",08/20/2021 04:58 PM,0
6007,Bug,New,Normal,Browse scrolls through deleted records,"",01/24/2022 05:34 PM,0
5440,Bug,New,Normal,finish DatabaseManager refactoring for implicit/explicit connections,"",12/06/2021 12:31 PM,0
5104,Bug,New,Normal,Cannot cast integer input parameter to dynamic function character parameter,"",01/28/2021 11:14 AM,0
3138,Bug,New,Normal,case-sensitivity propagation,"",06/28/2016 03:30 PM,0
4767,Bug,New,Normal,memptr set-size() issue,"",07/15/2020 02:56 PM,0
4156,Bug,New,Normal,"Conversion failed with ""Cannot find buffer ...""","",07/29/2019 07:13 AM,0
13,Bug,New,Normal,ambiguous field name in CAN-FIND() - Progress quirk,"",12/06/2011 12:00 PM,0
5540,Bug,New,Normal,can't query meta info for meta tables,"",07/10/2021 04:29 AM,0
5891,Bug,New,Normal,denormalized properties of extent field cause NPE when accessing attributes of buffer fields,"",12/14/2021 02:08 PM,0
5867,Bug,New,Normal,today and now initial values are not handled correctly in DmoMeta.existingFields map,"",12/02/2021 05:17 PM,0
1909,Bug,New,Normal,error initializing the MultiClassLoader when a jar in the class path does not exist,"",11/05/2012 05:50 AM,0
6310,Bug,New,Normal,"for first ""first()"", exclusive-lock, raises FWD exception while 4GL raises at the field assign","",05/03/2022 09:23 AM,0
3032,Bug,New,Normal,running ETF fails because some postgresql server process gets killed,"",04/01/2016 09:20 AM,0
6242,Bug,New,Normal,PSQLException when creating identity sequence using PostgreSQL dialect,"",04/06/2022 01:56 PM,0
5930,Bug,New,Normal,With some Java UDFs ERROR-STATUS can contain duplicate error messages,"",12/28/2021 02:55 AM,0
5953,Bug,New,Normal,Exceptions raised by UDFs with PRESELECT,"",01/06/2022 10:48 AM,0
5954,Bug,New,Normal,FOR EACH in FWD behaves differently than in 4GL when UDF raises an error,"",01/07/2022 11:09 AM,0
5956,Bug,New,Normal,FWD does not reset AVAILABLE flag after UDF error.,"",01/08/2022 04:27 AM,0
5972,Bug,New,Normal,Finish SQLWarning support for warnings raised by UDFs.,"",01/14/2022 01:51 PM,0
5978,Bug,New,Normal,handle implicit data type conversion in runtime (dynamic) conversion,"",01/17/2022 02:56 PM,0
3031,Bug,New,Normal,FOR EACH can access shared transient records in case of broken transaction isolation,"",03/18/2016 04:33 PM,0
5288,Bug,New,Normal,Some date field character comparisons have runtime incompatibilities during runtime,"",03/22/2022 02:58 PM,0
3278,Bug,New,Low,connected function converts incorrectly when passed an unquoted string,"",04/20/2017 11:50 AM,0
6353,Bug,New,Normal,Incompatible data in the _Lock VST,"",05/11/2022 02:55 PM,0
5278,Bug,New,Normal,IMPORT UNFORMATTED raw with a process stream,"",04/22/2021 03:28 PM,0
4085,Bug,New,Normal,failure parsing RUN statement filenames with embedded unmatched quotes,"",05/21/2019 08:01 AM,0
2942,Bug,New,Normal,shared temp-tables can use fields with different extent than the master temp-table,"",12/21/2015 06:41 AM,0
2946,Bug,New,Normal,SESSION:FIRST-BUFFER buffer order is wrong,"",01/06/2016 01:48 PM,0
5276,Bug,New,Normal,resolve issues with multi-byte character processing,"",09/13/2023 08:17 AM,0
4628,Bug,New,Normal,redirection doesn't seem to close an output stream on a block retry,"",02/13/2025 10:40 AM,0
4082,Bug,New,Normal,strong buffer scope can resolve ambiguous names,"",05/17/2019 01:19 PM,0
11,Bug,New,Normal,double field reference emitting problem report,"",10/03/2011 12:00 PM,0
3117,Bug,New,Normal,test and fix VALIDATION() expressions in a DELETE statement,"",05/31/2016 01:49 PM,0
2718,Bug,New,Normal,implicit conversion of empty string to integer 0,"",09/15/2015 11:26 AM,0
4563,Bug,New,Normal,assigning a dynamic extent var to a OO method call as rvalue,"",03/03/2020 01:50 PM,0
3241,Bug,New,Normal,schema conversion only allows _user table in one schema,"",02/06/2017 02:00 PM,0
2561,Bug,New,Normal,invalid DEFAULT-BUFFER-HANDLE if a secondary buffer is initialized prior to default buffer,"",04/30/2015 02:26 AM,0
4227,Bug,New,Low,FWD refuses to compile the access to the 'colon' widget attribute,"",08/13/2019 12:49 PM,0
6835,Bug,New,Normal,deferred work for #6257,"",10/11/2022 08:51 AM,0
3892,Bug,New,Normal,3750a core coversion performance regression,"",01/21/2019 10:00 AM,0
10806,Bug,New,Normal,Presort queries can sometimes dynamically find records created after opening the query,"",11/03/2025 05:23 AM,0
2937,Bug,New,Normal,improved sequence support in H2,"",04/12/2016 09:00 AM,0
3144,Bug,New,Normal,Provide correct legacy name for a RecordBuffer/TemporaryBuffer,"",07/12/2016 04:01 PM,0
6503,Bug,New,High,READ-XML automatically populates fields from NESTED relations,"",06/08/2022 04:55 AM,0
4180,Bug,New,Normal,integer.checkBounds(): the support for progress quirk is obsolete,"",08/08/2019 04:04 PM,0
3891,Bug,New,Normal,3750a regression in comment attachment,"",01/17/2019 04:29 AM,0
10,Bug,New,Normal,CAN-FIND conversion issue (if WHERE clause evaluated to TRUE),"",10/03/2011 12:00 PM,0
1709,Bug,New,Normal,"""can't operate on a closed statement error"" in log","",10/29/2012 08:50 AM,0
10422,Bug,New,Low,Some documentations links seem broken,"",08/13/2025 11:49 AM,0
2548,Bug,New,Normal,buffer/tables names are too aggressively matched in preference to other names,"",04/10/2015 05:53 AM,0
2554,Bug,New,Normal,Temp-tables with different labels / column labels are converted to the same TempRecord class.,"",04/22/2015 01:44 PM,0
4178,Bug,New,Normal,FWD and Progress report runtime integer overflow differently,"",08/08/2019 01:06 PM,0
2589,Bug,New,Normal,remote request for next primary key gives wrong result when metadata DB is running,"",06/17/2015 06:39 PM,0
4148,Bug,New,Normal,Passing HANDLE to method with TABLE-HANDLE or DATASET-HANDLE converts to uncompilable code,"",07/16/2019 10:14 AM,0
4620,Bug,New,Normal,Direct Java conversion fails for arrays of objects,"",04/17/2020 06:31 PM,0
2405,Bug,New,Normal,CompoundQuery.previous() invalid behavior after back off-end ,"",10/03/2014 11:26 AM,0
4114,Bug,New,Normal,MESSAGE throws ArrayIndexOutOfBoundsException with long output,"",06/12/2019 02:11 PM,0
3065,Bug,New,Normal,runtime conversion datatype checks,"",04/14/2016 04:56 AM,0
4461,Bug,New,Normal,DST and add-interval,"",12/11/2019 04:50 PM,0
3742,Bug,New,Normal,IE11 doesn't render the flowchart or callgraph links,"",10/04/2018 02:35 PM,0
7047,Bug,New,Normal,Problem with AdaptiveQuery and ScrollableResults,"",02/21/2023 11:57 AM,0
2176,Bug,New,Normal,exceptions to rereadnolock,"",02/01/2023 01:10 PM,0
9,Bug,New,Normal,invalid sorting for FOR/REPEAT/DO with FIRST/LAST BREAK BY,"",10/03/2011 12:00 PM,0
