"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
btout,vital_signs_weight_f045,,yesno,"Confirm, if any values are out of range",,,,,,,"[bt] > 0",,RH,,,,
bt_signf,vital_signs_weight_f045,,yesno,"Clinically significant?",,,,,,,"[btout] = '1'",,RH,,,,
bt_ae,vital_signs_weight_f045,,radio,"AE Reported ","0, No AE, related to PTB | 1, AE",,,,,,"[bt_signf] = '1'",,RH,,,,
aebt,vital_signs_weight_f045,,notes,"Please enter corresponding Adverse Event.",,,,,,,"[bt_ae] = '1'",,,,,,
weight,vital_signs_weight_f045,,text,"Weight (kg)",,,number,35,100,,"[vspd] = '1'",,RH,,,,
height,vital_signs_weight_f045,,text,Height,,,number,,,,,,RH,,,,
bmi1,vital_signs_weight_f045,,calc,BMI,"round(([weight]*10000)/(([screening_arm_1][height])^(2)), 1)",,,,,,,,,,,,
ems_collected_date,early_morning_sputum_ca34bd,,text,"Date and time collected for early morning sputum ",,,datetime_dmy,,,,,y,,,,,
ems_received_date,early_morning_sputum_ca34bd,,text,"Date and time received for early morning sputum ",,,datetime_dmy,,,,,y,,,,,
ems_lab_number,early_morning_sputum_ca34bd,,text,"Laboratory lab number ",,,number,,,,,,,,,,
p_e,physical_examination,"PHYSICAL EXAMINATION ",yesno,"Was physical examination performed?",,,,,,,,,RH,,,,
examdate,physical_examination,,text,"Date and Time of examination ",,,datetime_dmy,,,,"[p_e] = '1'",,RH,,,,
gen,physical_examination,,radio,General,"0, Normal | 1, Abnormal | 2, Not done",,,,,,"[p_e] = '1'",,RH,,,,
genabnormality,physical_examination,,notes,"Details of any abnormality ",,,,,,,"[gen] = '1'",,,,,,
genae,physical_examination,,radio,"AE Reported: ","0, No AE, related to PTB | 1, AE | 2, No AE",,,,,,"[gen] = '1'",,,,,,
cardio,physical_examination,,radio,Cardiovascular,"0, Normal | 1, Abnormal | 2, Not done",,,,,,"[p_e] = '1'",,,,,,
cardioabnormality,physical_examination,,notes,"Details of any abnormality ",,,,,,,"[cardio] = '1'",,,,,,
cardioae,physical_examination,,radio,"AE Reported: ","0, No AE, related to PTB | 1, AE | 2, No AE",,,,,,"[cardio] = '1'",,RH,,,,
respiratory,physical_examination,,radio,Respiratory,"0, Normal | 1, Abnormal | 2, Not done",,,,,,,,RH,,,,
respabnormality,physical_examination,,notes,"Details of any abnormality ",,,,,,,"[respiratory] = '1'",,RH,,,,
respae,physical_examination,,radio,"AE Reported: ","0, No AE, related to PTB | 1, AE | 2, No AE",,,,,,"[respiratory] = '1'",,RH,,,,
abdom,physical_examination,,radio,Abdomen,"0, Normal | 1, Abnormal | 2, Not done",,,,,,"[p_e] = '1'",,RH,,,,
abdom_abnormality,physical_examination,,notes,"Details of any abnormality ",,,,,,,"[abdom] = '1'",,RH,,,,
abdom_ae,physical_examination,,radio,"AE Reported: ","0, No AE, related to PTB | 1, AE | 2, No AE",,,,,,"[abdom] = '1'",,RH,,,,
oth,physical_examination,,radio,Others,"0, Normal | 1, Abnormal | 2, Not done",,,,,,"[p_e] = '1'",,RH,,,,
oth_abnormality,physical_examination,,notes,"Specify Details of any abnormality ",,,,,,,"[oth] = '1'",,RH,,,,
oth_ae,physical_examination,,radio,"AE Reported: ","0, No AE, related to PTB | 1, AE | 2, No AE",,,,,,"[oth] = '1'",,RH,,,,
ae_experienced_20515d,adverse_event_form_r,,radio,"Were any adverse events experienced by subjects?","0, Yes | 1, No",,,,,,,,,,,,
visit_concom,adverse_event_form_r,,radio,"Adverse event monthly","0, Week 1 | 1, Week 2 | 2, Visit MT1 | 3, Visit MT2 | 4, Visit MT3 | 5, Visit MT4 | 6, Visit MT5 | 7, Visit MT6 | 8, Visit MT7 | 9, Visit MT8 | 10, Visit MT9 | 11, Visit MT10 | 12, Visit MT11/12 | 13, Visit F12 | 14, Visit F15 | 15, Visit F18 | 16, Visit F21 | 17, Visit Unschedule",,,,,,"[ae_experienced_20515d] = '0'",,,,,,
organ_system,adverse_event_form_r,,radio,"Diagnosis (if known) or signs / symptoms","0, Cardiovascular disorders | 1, Chemistry | 2, Ear disorders | 3, Endocrine disorders | 4, Enzymes | 5, Eye disorders | 6, Gastrointestinal disorders | 7, Haematology | 8, Immune disorders | 9, Musculoskeletal disorders | 10, Neurological disorders | 11, Reproductive system and breast disorders | 12, Psychiatric disoders | 13, Renal and urinary disorders | 14, Skin disorders | 15, Other adverse event",,,,,,"[ae_experienced_20515d] = '0'",,,,,,
cardiovascular_ae1,adverse_event_form_r,,radio,"Common Adverse Events in cardiovascular","0, Cardiac rhythm | 1, Prolonged (corrected) QT interval",,,,,,"[organ_system] = '0'",,,,,,
chemistry_ae1,adverse_event_form_r,,radio,"Common Adverse Event in Chemistry","0, Hypokalemia (K<=3.4 mEq/L) | 1, Hypomagnesemia (Mg<=1.4 mmol/L) | 2, Lactate (Serum lactate greater than ULN)",,,,,,"[organ_system] = '1'",,,,,,
ear_ae1,adverse_event_form_r,,radio,"Common Adverse Event in Ear","0, Hearing impairment (hearing loss) | 1, Tinnitus | 2, Vestibular disorder",,,,,,"[organ_system] = '2'",,,,,,
endocrine_ae1,adverse_event_form_r,,radio,"Common Adverse Event in Endocrine","0, Hypothyroidism",,,,,,"[organ_system] = '3'",,,,,,
enzymes_ae1,adverse_event_form_r,,radio,"Common Adverse Event in Enzymes","0, ALT increased | 1, AST increased",,,,,,"[organ_system] = '4'",,,,,,
eye_ae1,adverse_event_form_r,,radio,"Common Adverse Event in Eye","0, Optic nerve disorders (optic neuritis) | 1, Myopia | 2, Metropia | 3, Color blindness",,,,,,"[organ_system] = '5'",,,,,,
gastrointestinal_ae1,adverse_event_form_r,,radio,"Common Adverse Event in Gastrointestinal ","0, Diarrhea | 1, Dyspepsia | 2, Nausea | 3, Oral discomfort / dysphagia | 5, Vomiting",,,,,,"[organ_system] = '6'",,,,,,
haematology_ae1,adverse_event_form_r,,radio,"Common Adverse Events in Haematology","0, Absolute neutrophil count low (ANC<=1500/mm3) | 1, Anemia (Hb < 10.5 g/dL) | 2, Platelets decrease (< 75,000/mm3)",,,,,,"[organ_system] = '7'",,,,,,
immune_ae1,adverse_event_form_r,,radio,"Common Adverse Event in Immune","0, Itching | 1, Swelling | 2, Rashes",,,,,,"[organ_system] = '8'",,,,,,
musculoskeletal_ae1,adverse_event_form_r,,radio,"Common Adverse Event in Musculoskeletal","0, Arthralgia | 1, Arthritis | 2, Myalgia | 3, Tendinopathy",,,,,,"[organ_system] = '9'",,,,,,
neurological_ae1,adverse_event_form_r,,radio,"Common Adverse Events in Neurological","0, Dysgeusia (Change in taste) | 1, Headache | 2, Peripheral neuropathy (neurosensory disorder or paresthesia) | 3, seizure",,,,,,"[organ_system] = '10'",,,,,,
reproductive_ae1,adverse_event_form_r,,radio,"Common Adverse Event in reproductive system ","0, Gynecomastia",,,,,,"[organ_system] = '11'",,,,,,
psychiatric_ae1,adverse_event_form_r,,radio,"Common Adverse Event in Psychiatric","0, Anxiety | 1, Depression | 2, Psychosis | 3, Suicidal ideation | 4, Hallucination",,,,,,"[organ_system] = '12'",,,,,,
renal_ae1,adverse_event_form_r,,radio,"Common Adverse event in Renal and urinary","0, Acute kidney injury (acute renal failure) | 1, Dysuria | 2, Haematuria | 3, Urinary frequency | 4, Urinary discoloration",,,,,,"[organ_system] = '13'",,,,,,
skin_ae1,adverse_event_form_r,,radio,"Common Adverse Event in skin","0, Mucocutaneous symptoms (includes rash) | 1, Pruritus | 2, Skin hypo- or hyper-pigmentation | 3, Photosensitivity",,,,,,"[organ_system] = '14'",,,,,,
not_listed_ae1,adverse_event_form_r,,text,"Enter one adverse event if not listed in the common list:",,,,,,,"[organ_system] = '15'",,,,,,
started_date,adverse_event_form_r,,text,"What is the date the Adverse Events started?",,,date_dmy,,,,"[cardiovascular_ae1] = '0' or [cardiovascular_ae1] = '1' or [chemistry_ae1] = '0' or [chemistry_ae1] = '1' or [chemistry_ae1] = '2' or [ear_ae1] = '0' or [ear_ae1] = '1' or [ear_ae1] = '2' or [endocrine_ae1] = '0' or [enzymes_ae1] = '0' or [enzymes_ae1] = '1' or [eye_ae1] = '0' or [eye_ae1] = '1' or [eye_ae1] = '2' or [eye_ae1] = '3' or [gastrointestinal_ae1] = '0' or [gastrointestinal_ae1] = '1' or [gastrointestinal_ae1] = '2' or [gastrointestinal_ae1] = '3' or [gastrointestinal_ae1] = '5' or [haematology_ae1] = '0' or [haematology_ae1] = '1' or [haematology_ae1] = '2' or [immune_ae1] = '0' or [immune_ae1] = '1' or [immune_ae1] = '2' or [musculoskeletal_ae1] = '0' or [musculoskeletal_ae1] = '1' or [musculoskeletal_ae1] = '2' or [musculoskeletal_ae1] = '3' or [neurological_ae1] = '0' or [neurological_ae1] = '1' or [neurological_ae1] = '2' or [neurological_ae1] = '3' or [reproductive_ae1] = '0' or [psychiatric_ae1] = '0' or [psychiatric_ae1] = '1' or [psychiatric_ae1] = '2' or [psychiatric_ae1] = '3' or [psychiatric_ae1] = '4' or [renal_ae1] = '0' or [renal_ae1] = '1' or [renal_ae1] = '2' or [renal_ae1] = '3' or [renal_ae1] = '4' or [skin_ae1] = '0' or [skin_ae1] = '1' or [skin_ae1] = '2' or [skin_ae1] = '3'",y,,,,,
intensity1,adverse_event_form_r,,radio,"Intensity (Maximum severity grade of event by time of this report)","1, Grade 1 or mild | 2, Grade 2 or moderate | 3, Grade 3 or severe | 4, Grade 4 | 5, Grade 5 | 9, Unknown",,,,,,"[cardiovascular_ae1] = '0' or [cardiovascular_ae1] = '1' or [chemistry_ae1] = '0' or [chemistry_ae1] = '1' or [chemistry_ae1] = '2' or [ear_ae1] = '0' or [ear_ae1] = '1' or [ear_ae1] = '2' or [endocrine_ae1] = '0' or [enzymes_ae1] = '0' or [enzymes_ae1] = '1' or [eye_ae1] = '0' or [eye_ae1] = '1' or [eye_ae1] = '2' or [eye_ae1] = '3' or [gastrointestinal_ae1] = '0' or [gastrointestinal_ae1] = '1' or [gastrointestinal_ae1] = '2' or [gastrointestinal_ae1] = '3' or [gastrointestinal_ae1] = '5' or [haematology_ae1] = '0' or [haematology_ae1] = '1' or [haematology_ae1] = '2' or [immune_ae1] = '0' or [immune_ae1] = '1' or [immune_ae1] = '2' or [musculoskeletal_ae1] = '0' or [musculoskeletal_ae1] = '1' or [musculoskeletal_ae1] = '2' or [musculoskeletal_ae1] = '3' or [neurological_ae1] = '0' or [neurological_ae1] = '1' or [neurological_ae1] = '2' or [neurological_ae1] = '3' or [reproductive_ae1] = '0' or [psychiatric_ae1] = '0' or [psychiatric_ae1] = '1' or [psychiatric_ae1] = '2' or [psychiatric_ae1] = '3' or [psychiatric_ae1] = '4' or [renal_ae1] = '0' or [renal_ae1] = '1' or [renal_ae1] = '2' or [renal_ae1] = '3' or [renal_ae1] = '4' or [skin_ae1] = '0' or [skin_ae1] = '1' or [skin_ae1] = '2' or [skin_ae1] = '3'",,,,,,
sae1,adverse_event_form_r,,yesno,"Was this a serious  adverse event (SAE)?",,,,,,,"[cardiovascular_ae1] = '0' or [cardiovascular_ae1] = '1' or [chemistry_ae1] = '0' or [chemistry_ae1] = '1' or [chemistry_ae1] = '2' or [ear_ae1] = '0' or [ear_ae1] = '1' or [ear_ae1] = '2' or [endocrine_ae1] = '0' or [enzymes_ae1] = '0' or [enzymes_ae1] = '1' or [eye_ae1] = '0' or [eye_ae1] = '1' or [eye_ae1] = '2' or [eye_ae1] = '3' or [gastrointestinal_ae1] = '0' or [gastrointestinal_ae1] = '1' or [gastrointestinal_ae1] = '2' or [gastrointestinal_ae1] = '3' or [gastrointestinal_ae1] = '5' or [haematology_ae1] = '0' or [haematology_ae1] = '1' or [haematology_ae1] = '2' or [immune_ae1] = '0' or [immune_ae1] = '1' or [immune_ae1] = '2' or [musculoskeletal_ae1] = '0' or [musculoskeletal_ae1] = '1' or [musculoskeletal_ae1] = '2' or [musculoskeletal_ae1] = '3' or [neurological_ae1] = '0' or [neurological_ae1] = '1' or [neurological_ae1] = '2' or [neurological_ae1] = '3' or [reproductive_ae1] = '0' or [psychiatric_ae1] = '0' or [psychiatric_ae1] = '1' or [psychiatric_ae1] = '2' or [psychiatric_ae1] = '3' or [psychiatric_ae1] = '4' or [renal_ae1] = '0' or [renal_ae1] = '1' or [renal_ae1] = '2' or [renal_ae1] = '3' or [renal_ae1] = '4' or [skin_ae1] = '0' or [skin_ae1] = '1' or [skin_ae1] = '2' or [skin_ae1] = '3'",,,,,,
type_of_sae1,adverse_event_form_r,,checkbox,"Indicate type (select all that apply)","0, Death | 1, Life threatening experience | 2, Hospitalization or prolongation of hospitalization | 3, Persistently or significantly disabling event | 4, Congenital anomaly or birth defect",,,,,,"[sae1] = '1'",,,,,,
clinician_action1,adverse_event_form_r,,radio,"Clinician action taken with regard to study treatment:","0, Dose note changed | 1, Dose reduced | 5, Dose Increased | 2, Drug interrupted | 3, Drug withdrawn | 4, Not applicable | 6, Unknown",,,,,,"[cardiovascular_ae1] = '0' or [cardiovascular_ae1] = '1' or [chemistry_ae1] = '0' or [chemistry_ae1] = '1' or [chemistry_ae1] = '2' or [ear_ae1] = '0' or [ear_ae1] = '1' or [ear_ae1] = '2' or [endocrine_ae1] = '0' or [enzymes_ae1] = '0' or [enzymes_ae1] = '1' or [eye_ae1] = '0' or [eye_ae1] = '1' or [eye_ae1] = '2' or [eye_ae1] = '3' or [gastrointestinal_ae1] = '0' or [gastrointestinal_ae1] = '1' or [gastrointestinal_ae1] = '2' or [gastrointestinal_ae1] = '3' or [gastrointestinal_ae1] = '5' or [haematology_ae1] = '0' or [haematology_ae1] = '1' or [haematology_ae1] = '2' or [immune_ae1] = '0' or [immune_ae1] = '1' or [immune_ae1] = '2' or [musculoskeletal_ae1] = '0' or [musculoskeletal_ae1] = '1' or [musculoskeletal_ae1] = '2' or [musculoskeletal_ae1] = '3' or [neurological_ae1] = '0' or [neurological_ae1] = '1' or [neurological_ae1] = '2' or [neurological_ae1] = '3' or [reproductive_ae1] = '0' or [psychiatric_ae1] = '0' or [psychiatric_ae1] = '1' or [psychiatric_ae1] = '2' or [psychiatric_ae1] = '3' or [psychiatric_ae1] = '4' or [renal_ae1] = '0' or [renal_ae1] = '1' or [renal_ae1] = '2' or [renal_ae1] = '3' or [renal_ae1] = '4' or [skin_ae1] = '0' or [skin_ae1] = '1' or [skin_ae1] = '2' or [skin_ae1] = '3'",,,,,,
status_of_ae1,adverse_event_form_r,,radio,"Outcome (Status of the AE):","0, Resolved | 1, Resolved with sequelae | 2, Fatal | 3, Resolving | 4, Not resolved (i.e., ongoing or worsening) | 5, Unknown",,,,,,"[cardiovascular_ae1] = '0' or [cardiovascular_ae1] = '1' or [chemistry_ae1] = '0' or [chemistry_ae1] = '1' or [chemistry_ae1] = '2' or [ear_ae1] = '0' or [ear_ae1] = '1' or [ear_ae1] = '2' or [endocrine_ae1] = '0' or [enzymes_ae1] = '0' or [enzymes_ae1] = '1' or [eye_ae1] = '0' or [eye_ae1] = '1' or [eye_ae1] = '2' or [eye_ae1] = '3' or [gastrointestinal_ae1] = '0' or [gastrointestinal_ae1] = '1' or [gastrointestinal_ae1] = '2' or [gastrointestinal_ae1] = '3' or [gastrointestinal_ae1] = '5' or [haematology_ae1] = '0' or [haematology_ae1] = '1' or [haematology_ae1] = '2' or [immune_ae1] = '0' or [immune_ae1] = '1' or [immune_ae1] = '2' or [musculoskeletal_ae1] = '0' or [musculoskeletal_ae1] = '1' or [musculoskeletal_ae1] = '2' or [musculoskeletal_ae1] = '3' or [neurological_ae1] = '0' or [neurological_ae1] = '1' or [neurological_ae1] = '2' or [neurological_ae1] = '3' or [reproductive_ae1] = '0' or [psychiatric_ae1] = '0' or [psychiatric_ae1] = '1' or [psychiatric_ae1] = '2' or [psychiatric_ae1] = '3' or [psychiatric_ae1] = '4' or [renal_ae1] = '0' or [renal_ae1] = '1' or [renal_ae1] = '2' or [renal_ae1] = '3' or [renal_ae1] = '4' or [skin_ae1] = '0' or [skin_ae1] = '1' or [skin_ae1] = '2' or [skin_ae1] = '3'",,,,,,
date_of_resolution,adverse_event_form_r,,text,"Resolution date",,,date_dmy,,,,"[status_of_ae1] = '0' or [status_of_ae1] = '1' or [status_of_ae1] = '2'",,,,,,
ae_attributed_anttb,adverse_event_form_r,,radio,"Was the AE attributed to one or more anti-tuberculosis drugs? ","0, Definite | 1, Probable | 2, Possible | 3, Unlikely | 4, Not related | 5, Insufficient data to assess",,,,,,"[cardiovascular_ae1] = '0' or [cardiovascular_ae1] = '1' or [chemistry_ae1] = '0' or [chemistry_ae1] = '1' or [chemistry_ae1] = '2' or [ear_ae1] = '0' or [ear_ae1] = '1' or [ear_ae1] = '2' or [endocrine_ae1] = '0' or [enzymes_ae1] = '0' or [enzymes_ae1] = '1' or [eye_ae1] = '0' or [eye_ae1] = '1' or [eye_ae1] = '2' or [eye_ae1] = '3' or [gastrointestinal_ae1] = '0' or [gastrointestinal_ae1] = '1' or [gastrointestinal_ae1] = '2' or [gastrointestinal_ae1] = '3' or [gastrointestinal_ae1] = '5' or [haematology_ae1] = '0' or [haematology_ae1] = '1' or [haematology_ae1] = '2' or [immune_ae1] = '0' or [immune_ae1] = '1' or [immune_ae1] = '2' or [musculoskeletal_ae1] = '0' or [musculoskeletal_ae1] = '1' or [musculoskeletal_ae1] = '2' or [musculoskeletal_ae1] = '3' or [neurological_ae1] = '0' or [neurological_ae1] = '1' or [neurological_ae1] = '2' or [neurological_ae1] = '3' or [reproductive_ae1] = '0' or [psychiatric_ae1] = '0' or [psychiatric_ae1] = '1' or [psychiatric_ae1] = '2' or [psychiatric_ae1] = '3' or [psychiatric_ae1] = '4' or [renal_ae1] = '0' or [renal_ae1] = '1' or [renal_ae1] = '2' or [renal_ae1] = '3' or [renal_ae1] = '4' or [skin_ae1] = '0' or [skin_ae1] = '1' or [skin_ae1] = '2' or [skin_ae1] = '3'",,,,,,
drugs_likely,adverse_event_form_r,,notes,"Record likely drug(s) that the AE may be attributed to (enter drug abbreviation from the Field Manual)",,,,,,,"[cardiovascular_ae1] = '0' or [cardiovascular_ae1] = '1' or [chemistry_ae1] = '0' or [chemistry_ae1] = '1' or [chemistry_ae1] = '2' or [ear_ae1] = '0' or [ear_ae1] = '1' or [ear_ae1] = '2' or [endocrine_ae1] = '0' or [enzymes_ae1] = '0' or [enzymes_ae1] = '1' or [eye_ae1] = '0' or [eye_ae1] = '1' or [eye_ae1] = '2' or [eye_ae1] = '3' or [gastrointestinal_ae1] = '0' or [gastrointestinal_ae1] = '1' or [gastrointestinal_ae1] = '2' or [gastrointestinal_ae1] = '3' or [gastrointestinal_ae1] = '5' or [haematology_ae1] = '0' or [haematology_ae1] = '1' or [haematology_ae1] = '2' or [immune_ae1] = '0' or [immune_ae1] = '1' or [immune_ae1] = '2' or [musculoskeletal_ae1] = '0' or [musculoskeletal_ae1] = '1' or [musculoskeletal_ae1] = '2' or [musculoskeletal_ae1] = '3' or [neurological_ae1] = '0' or [neurological_ae1] = '1' or [neurological_ae1] = '2' or [neurological_ae1] = '3' or [reproductive_ae1] = '0' or [psychiatric_ae1] = '0' or [psychiatric_ae1] = '1' or [psychiatric_ae1] = '2' or [psychiatric_ae1] = '3' or [psychiatric_ae1] = '4' or [renal_ae1] = '0' or [renal_ae1] = '1' or [renal_ae1] = '2' or [renal_ae1] = '3' or [renal_ae1] = '4' or [skin_ae1] = '0' or [skin_ae1] = '1' or [skin_ae1] = '2' or [skin_ae1] = '3'",,,,,,
investigator_narrative1,adverse_event_form_r,,radio,"Investigator Narrative ","0, Narrative 1 | 1, Narrative 2 | 2, Narrative 3",,,,,,"[cardiovascular_ae1] = '0' or [cardiovascular_ae1] = '1' or [chemistry_ae1] = '0' or [chemistry_ae1] = '1' or [chemistry_ae1] = '2' or [ear_ae1] = '0' or [ear_ae1] = '1' or [ear_ae1] = '2' or [endocrine_ae1] = '0' or [enzymes_ae1] = '0' or [enzymes_ae1] = '1' or [eye_ae1] = '0' or [eye_ae1] = '1' or [eye_ae1] = '2' or [eye_ae1] = '3' or [gastrointestinal_ae1] = '0' or [gastrointestinal_ae1] = '1' or [gastrointestinal_ae1] = '2' or [gastrointestinal_ae1] = '3' or [gastrointestinal_ae1] = '5' or [haematology_ae1] = '0' or [haematology_ae1] = '1' or [haematology_ae1] = '2' or [immune_ae1] = '0' or [immune_ae1] = '1' or [immune_ae1] = '2' or [musculoskeletal_ae1] = '0' or [musculoskeletal_ae1] = '1' or [musculoskeletal_ae1] = '2' or [musculoskeletal_ae1] = '3' or [neurological_ae1] = '0' or [neurological_ae1] = '1' or [neurological_ae1] = '2' or [neurological_ae1] = '3' or [reproductive_ae1] = '0' or [psychiatric_ae1] = '0' or [psychiatric_ae1] = '1' or [psychiatric_ae1] = '2' or [psychiatric_ae1] = '3' or [psychiatric_ae1] = '4' or [renal_ae1] = '0' or [renal_ae1] = '1' or [renal_ae1] = '2' or [renal_ae1] = '3' or [renal_ae1] = '4' or [skin_ae1] = '0' or [skin_ae1] = '1' or [skin_ae1] = '2' or [skin_ae1] = '3'",,,,,,
narration,adverse_event_form_r,,notes,Narrative,,,,,,,"[investigator_narrative1] = '0' or [investigator_narrative1] = '1' or [investigator_narrative1] = '2'",,,,,,
other_action1,adverse_event_form_r,,notes,"Other action taken",,,,,,,"[investigator_narrative1] = '0' or [investigator_narrative1] = '1' or [investigator_narrative1] = '2'",,,,,,
ae_still_ongoing,adverse_event_form_r,,radio,"Is the adverse events still ongoing?","1, Stopped | 2, Still Present",,,,,,"[ae_experienced_20515d] = '0'",,,,,,
ae_stopped_date,adverse_event_form_r,,text,"Date stopped",,,date_dmy,,,,"[ae_still_ongoing] = '1'",,,,,,
discontinued,adverse_event_form_r,,radio,"Did the adverse event cause the subject to be discontinued from the study?","0, Yes | 1, No",,,,,,"[ae_experienced_20515d] = '0'",,,,,,
reported_to_irb,adverse_event_form_r,,radio,"Has this adverse event been reported to the Local IRB","0, Yes | 1, No",,,,,,"[ae_experienced_20515d] = '0'",,,,,,
another_ae_occur,adverse_event_form_r,,radio,"Did another adverse event occur?","0, Yes | 1, No",,,,,,"[ae_experienced_20515d] = '0'",,,,,,
organ_system2,adverse_event_form_r,,radio,"Diagnosis (if known) or signs / symptoms","0, Cardiovascular disorders | 1, Chemistry | 2, Ear disorders | 3, Endocrine disorders | 4, Enzymes | 5, Eye disorders | 6, Gastrointestinal disorders | 7, Haematology | 8, Immune disorders | 9, Musculoskeletal disorders | 10, Neurological disorders | 11, Reproductive system and breast disorders | 12, Psychiatric disoders | 13, Renal and urinary disorders | 14, Skin disorders | 15, Other adverse event",,,,,,"[another_ae_occur] = '0'",,,,,,
cardiovascular_ae2,adverse_event_form_r,,radio,"Common adverse events in cardiovascular","0, Cardiac rhythm | 1, Prolonged (corrected) QT interval",,,,,,"[organ_system2] = '0'",,,,,,
chemistry_ae2,adverse_event_form_r,,radio,"Common adverse events in Chemistry","0, Hypokalemia (K<=3.4 mEq/L) | 1, Hypomagnesemia (Mg<=1.4 mmol/L) | 2, Lactate (Serum lactate greater than ULN)",,,,,,"[organ_system2] = '1'",,,,,,
ear_ae2,adverse_event_form_r,,radio,"Common adverse events in Ear","0, Hearing impairment (hearing loss) | 1, Tinnitus | 2, Vestibular disorder",,,,,,"[organ_system2] = '2'",,,,,,
endocrine_ae2,adverse_event_form_r,,radio,"Common Adverse Events in Endocrine","0, Hypothyroidism",,,,,,"[organ_system2] = '3'",,,,,,
enzymes_ae2,adverse_event_form_r,,radio,"Common Adverse Events in Enzymes","0, ALT increased | 1, AST increased",,,,,,"[organ_system2] = '4'",,,,,,
eye_ae2,adverse_event_form_r,,radio,"Common Adverse Events in Eye","0, Optic nerve disorders (optic neuritis) | 1, Myopia | 2, Metropia | 3, Color blindness",,,,,,"[organ_system2] = '5'",,,,,,
gastrointestinal_ae2,adverse_event_form_r,,radio,"Common Adverse Events in Gastrointestinal ","0, Diarrhea | 1, Dyspepsia | 2, Nausea | 3, Oral discomfort / dysphagia | 5, Vomiting",,,,,,"[organ_system2] = '6'",,,,,,
haematology_ae2,adverse_event_form_r,,radio,"Common Adverse Events in Haematology ","0, Absolute neutrophil count low (ANC<=1500/mm3) | 1, Anemia (Hb < 10.5 g/dL) | 2, Platelets decrease (< 75,000/mm3)",,,,,,"[organ_system2] = '7'",,,,,,
immune_ae2,adverse_event_form_r,,radio,"Common Adverse Events in Immune","0, Itching | 1, Swelling | 2, Rashes",,,,,,"[organ_system2] = '8'",,,,,,
musculoskeletal_ae2,adverse_event_form_r,,radio,"Common Adverse Events in Musculoskeletal ","0, Arthralgia | 1, Arthritis | 2, Myalgia | 3, Tendinopathy",,,,,,"[organ_system2] = '9'",,,,,,
neurological_ae2,adverse_event_form_r,,radio,"Common Adverse Events in Neurological ","0, Dysgeusia (Change in taste) | 1, Headache | 2, Peripheral neuropathy (neurosensory disorder or paresthesia) | 3, seizure",,,,,,"[organ_system2] = '10'",,,,,,
reproductive_ae2,adverse_event_form_r,,radio,"Common Adverse Events in reproductive system","0, Gynecomastia",,,,,,"[organ_system2] = '11'",,,,,,
psychiatric_ae2,adverse_event_form_r,,radio,"Common Adverse Events in Psychiatric ","0, Anxiety | 1, Depression | 2, Psychosis | 3, Suicidal ideation | 4, Hallucination",,,,,,"[organ_system2] = '12'",,,,,,
renal_ae2,adverse_event_form_r,,radio,"Common Adverse Events in Renal and Urine","0, Acute kidney injury (acute renal failure) | 1, Dysuria | 2, Haematuria | 3, Urinary frequency | 4, Urinary discoloration",,,,,,"[organ_system2] = '13'",,,,,,
skin_ae2,adverse_event_form_r,,radio,"Common Adverse Events in Skin","0, Mucocutaneous symptoms (includes rash) | 1, Pruritus | 2, Skin hypo- or hyper-pigmentation | 3, Photosensitivity",,,,,,"[organ_system2] = '14'",,,,,,
not_listed_ae2,adverse_event_form_r,,notes,"Enter one adverse event if not listed in the common list:",,,,,,,"[organ_system2] = '15'",,,,,,
started_date2,adverse_event_form_r,,text,"What is the date the Adverse Events started?",,,date_dmy,,,,"[cardiovascular_ae2] = '0' or [cardiovascular_ae2] = '1' or [chemistry_ae2] = '0' or [chemistry_ae2] = '1' or [chemistry_ae2] = '2' or [ear_ae2] = '0' or [ear_ae2] = '1' or [ear_ae2] = '2' or [endocrine_ae2] = '0' or [enzymes_ae2] = '0' or [enzymes_ae2] = '1' or [eye_ae2] = '0' or [eye_ae2] = '1' or [eye_ae2] = '2' or [eye_ae2] = '3' or [gastrointestinal_ae2] = '0' or [gastrointestinal_ae2] = '1' or [gastrointestinal_ae2] = '2' or [gastrointestinal_ae2] = '3' or [gastrointestinal_ae2] = '5' or [haematology_ae2] = '0' or [haematology_ae2] = '1' or [haematology_ae2] = '2' or [immune_ae2] = '0' or [immune_ae2] = '1' or [immune_ae2] = '2' or [musculoskeletal_ae2] = '0' or [musculoskeletal_ae2] = '1' or [musculoskeletal_ae2] = '2' or [musculoskeletal_ae2] = '3' or [neurological_ae2] = '0' or [neurological_ae2] = '1' or [neurological_ae2] = '2' or [neurological_ae2] = '3' or [reproductive_ae2] = '0' or [psychiatric_ae2] = '0' or [psychiatric_ae2] = '1' or [psychiatric_ae2] = '2' or [psychiatric_ae2] = '3' or [psychiatric_ae2] = '4' or [renal_ae2] = '0' or [renal_ae2] = '1' or [renal_ae2] = '2' or [renal_ae2] = '3' or [renal_ae2] = '4' or [skin_ae2] = '0' or [skin_ae2] = '1' or [skin_ae2] = '2' or [skin_ae2] = '3'",,,,,,
