id labor	Valdkond	VK sort	Paneel	P kood	Analüüsi nimetus	A kood	Kehtiv	Kehtiv lõpp	Tellitav	Vahendatav	T lühend	Kasutatav nimetus	T Nimetus	Vastuskood	T Ühik	Labor ühik	Seade	Diagnostikumi_tootja	Sort	Risttabel	id algandmed	Loinc #	Component	Property	Time Aspects	System	Scale	Method	Ex UCUM Units	Ex Units	%99+ Common Tests	Class	Long Common Name	Short Name	Type	Order/Obs	Doc/Section	Ext
259	CSF	9			Tau ja pTau paneel liikvoris	phTAU_tTAU-X-PNL	JAH		JAH	JAH	CSF-Tau, pTau panel	Tau ja pTau paneel liikvoris	Tau- ja fosforüleeritud tau valk liikvoris (paneel)	Paneel					51	JAH	4364	L-4364																
260	CSF	9	Tau ja pTau paneel liikvoris	phTAU_tTAU-X-PNL	Tau liikvoris	tTAU-TST	JAH		JAH	JAH	CSF-Tau	Tau liikvoris	Tau valk liikvoris	QN	ng/L	ng/L			52	JAH	4291	30160-6	Tau protein	MCnc	Pt	CSF	Qn		pg/mL	pg/mL		CHEM	Tau protein [Mass/volume] in Cerebral spinal fluid	Tau Prot CSF-mCnc	1	Both		13,0133
261	CSF	9	Tau ja pTau paneel liikvoris	phTAU_tTAU-X-PNL	pTau liikvoris	phTAU-TST	JAH		JAH	JAH	CSF-pTau	pTau liikvoris	Fosforüleeritud tau valk liikvoris	QN	ng/L	ng/L			53	JAH	4295	72260-3	Tau protein.phosphorylated 181	MCnc	Pt	CSF	Qn	EIA	pg/mL	pg/mL		CHEM	Phosphorylated tau 181 [Mass/volume] in Cerebral spinal fluid by Immunoassay	p-tau181 CSF EIA-mCnc	1	Both		15,2744
262	CSF	9			pTau/Tau liikvoris	CSF-phTAU_tTAU-MT	EI	2020-06-28	EI	JAH	CSF-pTau/CSF-Tau	pTau/Tau liikvoris	Fosforüleeritud tau ja tau valgu suhe liikvoris	QN					54	JAH	4363	A-4363																
1411	CSF	9			14-3-3 liikvoris	P1433_CSF-TST	JAH		JAH	JAH	CSF-14-3-3	14-3-3 liikvoris	14-3-3 valk liikvoris	N/Pp/P					57	JAH	5500	31989-7	14-3-3 Ag	PrThr	Pt	CSF	Ord					SERO	14-3-3 Ag [Presence] in Cerebral spinal fluid	14-3-3 Ag CSF Ql	1	Both		
1318	CSF	9			Beeta-2-transferriin	B2_TRANSF-TST	EI	2026-03-01	JAH	JAH	XXX-Beta-2-transferrin	Beeta-2-transferriin täpsustamata materjalis	Beeta-2-transferriin täpsustamata materjalis	N/P					58	JAH	5362	43858-0	Beta-2 transferrin	PrThr	Pt	XXX	Ord					CHEM	Beta-2 transferrin [Presence] in Unspecified specimen	B2 Transferrin XXX Ql	1	Both		
1970	CSF	9			Neurofilamendi kergvalk liikvoris	NFL_LC_CSF-TST	JAH		JAH	JAH	CSF-NFL	Neurofilamendi kergvalk liikvoris	Neurofilamendi kergvalk liikvoris	QN	ng/L	ng/L			60	JAH	5595	100996-8	Neurofilament light chain	MCnc	Pt	CSF	Qn		ng/L			CHEM	Neurofilament light chain [Mass/volume] in Cerebral spinal fluid			Both		
2016	CSF	9			Fosforüülitud neurofilamentvalgu raske ahel liikvoris	phNFH_CSF-TST	JAH		JAH	JAH	CSF-pNFH	Fosforüülitud neurofilamentvalgu raske ahel liikvoris	Fosforüülitud neurofilamentvalgu raske ahel liikvoris	QN	ug/L	ug/L			61	JAH	6152	A-5522																
2017	CSF	9			Neurofilamendi vastased antikehad liikvoris	NFL_AB_CSF-TST	JAH		JAH	JAH	CSF-NFL Ab	Neurofilamendi vastased antikehad liikvoris	Neurofilamendi vastased antikehad liikvoris	N/P					62	JAH	6153	A-5520																
2198	CSF	9			Prioonvalgu PrPSc agregatsioon liikvoris	PRPSC_CSF-TST	JAH		JAH	JAH	CSF-PrPSc	Prioonvalgu PrPSc agregatsioon liikvoris	Prioonvalgu PrPSc agregatsioon liikvoris	N/P					63	JAH	6547	97503-7	Prion protein.abnormal	PrThr	Pt	CSF	Ord					MICRO	Abnormal Prion Protein [Presence] in Cerebral spinal fluid	Abn Prion Prot CSF Ql	1	Both		
285	TDM	10			Albendasoolsulfoksiid	ALBE_SULF-TST	JAH		JAH	JAH	S-Albendazole sulfoxide	Albendasoolsulfoksiid	Albendasoolsulfoksiid seerumis	QN	ug/L	ug/L			1	JAH	4877	A-4877																
1236	TDM	10			Alprasolaam	ALPRAZO-TST	JAH		JAH	JAH	S,P-Alprazolam	Alprasolaam	Alprasolaam seerumis/plasmas	QN	ug/L	ug/L			2	JAH	5316	3312-6	Alprazolam	MCnc	Pt	Ser/Plas	Qn		ng/mL	ng/mL		DRUG/TOX	Alprazolam [Mass/volume] in Serum or Plasma	Alpraz SerPl-mCnc	1	Both		13,6046
2161	TDM	10			Amiodarooni ja desmetüülamiodarooni paneel	AMIOD-X-PNL	JAH		JAH	JAH	S,P-AMD, DEA panel	Amiodarooni ja desmetüülamiodarooni paneel	Amiodaroon ja desmetüülamiodaroon seerumis/plasmas (paneel)	Paneel					4	EI/Paneel	6527	L-5473																
2160	TDM	10	Amiodarooni ja desmetüülamiodarooni paneel	AMIOD-X-PNL	Amiodaroon	AMIOD-TST	JAH		EI	JAH	S,P-AMD	Amiodaroon	Amiodaroon seerumis/plasmas	QN	umol/L	umol/L			5	JAH	6526	15099-5	Amiodarone	SCnc	Pt	Ser/Plas	Qn		umol/L	umol/L		DRUG/TOX	Amiodarone [Moles/volume] in Serum or Plasma	Amiodarone SerPl-sCnc	1	Both		
2159	TDM	10	Amiodarooni ja desmetüülamiodarooni paneel	AMIOD-X-PNL	Desmetüülamiodaroon	DEA-TST	JAH		EI	JAH	S,P-DEA	Desmetüülamiodaroon	Desmetüülamiodaroon seerumis/plasmas	QN	umol/L	umol/L			6	JAH	6525	25393-0	Desethylamiodarone	SCnc	Pt	Ser/Plas	Qn		umol/L	umol/L		DRUG/TOX	Desethylamiodarone [Moles/volume] in Serum or Plasma	Desethylamiodarone SerPl-sCnc	1	Both		
2329	TDM	10			Amitriptüliin	S-AMITRIPTY_SYN-MT	EI	2025-05-13	EI	JAH	S,P-Amitriptyline	Amitriptüliin	Amitriptüliin seerumis/plasmas	QN	ug/L	µg/l			7	JAH	6840	3333-2	Amitriptyline	MCnc	Pt	Ser/Plas	Qn		ng/mL	mcg/mL; ng/mL		DRUG/TOX	Amitriptyline [Mass/volume] in Serum or Plasma	Amitrip SerPl-mCnc	1	Both		
2330	TDM	10			Nortriptüliin	S-NORTRIP_SYN-MT	EI	2025-05-13	EI	JAH	S,P-Nortriptyline	Nortriptüliin	Nortriptüliin seerumis/plasmas	QN	ug/L	µg/l			8	JAH	6841	3872-9	Nortriptyline	MCnc	Pt	Ser/Plas	Qn		ug/mL	mcg/mL; ng/mL		DRUG/TOX	Nortriptyline [Mass/volume] in Serum or Plasma	Nortrip SerPl-mCnc	1	Both		
1499	TDM	10			Amoksitsilliin	AMOXI-TST	JAH		JAH	JAH	S,P-Amoxicillin	Amoksitsilliin	Amoksitsilliin seerumis/plasmas	QN	mg/L	mg/L			9	JAH	5635	3344-9	Amoxicillin	MCnc	Pt	Ser/Plas	Qn		ug/mL	ug/mL		DRUG/TOX	Amoxicillin [Mass/volume] in Serum or Plasma	Amoxicillin SerPl-mCnc	1	Both		
2309	TDM	10			Aripiprasooli ja metaboliidi paneel	ARIPIP-X-PNL	JAH		JAH	JAH	S,P-Aripiprazole metab panel	Aripiprasooli ja metaboliidi paneel	Aripiprasooli ja metaboliidi paneel seerumis/plasmas	Paneel					10	EI/Paneel	6816	L-5502																
2307	TDM	10	Aripiprasooli ja metaboliidi paneel	ARIPIP-X-PNL	Aripiprasool + dehüdroaripiprasool	SUM_DH_ARIPIP-TST	JAH		EI	JAH	S,P-Aripiprazole + dehydroaripiprazole	Aripiprasool + dehüdroaripiprasool	Aripiprasool + dehüdroaripiprasool seerumis/plasmas	QN	ug/L	ug/L			11	JAH	5885	A-5464																
2231	TDM	10	Aripiprasooli ja metaboliidi paneel	ARIPIP-X-PNL	Aripiprasool	ARIPIP-TST	JAH		EI	JAH	S,P-Aripiprazole	Aripiprasool	Aripiprasool seerumis/plasmas	QN	ug/L	ug/L			12	JAH	6638	38893-4	ARIPiprazole	MCnc	Pt	Ser/Plas	Qn		ng/mL	ng/mL		DRUG/TOX	ARIPiprazole [Mass/volume] in Serum or Plasma	ARIPiprazole SerPl-mCnc	1	Both		
2232	TDM	10	Aripiprasooli ja metaboliidi paneel	ARIPIP-X-PNL	Dehüdroaripiprasool	DH_ARIPIP-TST	JAH		EI	JAH	S,P-Dehydroaripiprazole	Dehüdroaripiprasool	Dehüdroaripiprasool seerumis/plasmas	QN	ug/L	ug/L			13	JAH	6639	88714-1	Dehydroaripiprazole	MCnc	Pt	Ser/Plas	Qn	Confirm	ng/mL	ng/mL		DRUG/TOX	Dehydroaripiprazole [Mass/volume] in Serum or Plasma by Confirmatory method	Dehydroaripiprazole SerPl Cfm-mCnc	1	Both		
263	TDM	10			Bensodiasepiinid	S-BENZO-MT	EI	2025-02-17	EI	JAH	S,P-Bzd	Bensodiasepiinid	Bensodiasepiinid seerumis/plasmas	QN	ug/L	µg/l			14	JAH	414	11024-7	Benzodiazepines	MCnc	Pt	Ser/Plas	Qn		ng/mL	ng/mL		DRUG/TOX	Benzodiazepines [Mass/volume] in Serum or Plasma	Benzodiaz SerPl-mCnc	1	Both		
2602	TDM	10			Bensodiasepiinid	BENZO-TST	JAH		JAH	JAH	S,P-Bzd QL	Bensodiasepiinid QL	Bensodiasepiinid seerumis/plasmas (kvalitatiivne)	N/P					15	JAH	7519	3389-4	Benzodiazepines	PrThr	Pt	Ser/Plas	Ord					DRUG/TOX	Benzodiazepines [Presence] in Serum or Plasma	Benzodiaz SerPl Ql	Laboratory	Both		
2583	TDM	10			Bromasepaam	BROMAZE-TST	JAH		JAH	JAH	S,P-Bromazepam	Bromasepaam	Bromasepaam seerumis/plasmas	QN	ug/L	ug/L			16	JAH	7433	3405-8	Bromazepam	MCnc	Pt	Ser/Plas	Qn		ng/mL			DRUG/TOX	Bromazepam [Mass/volume] in Serum or Plasma			Both		
264	TDM	10			Bromiid	S-BROMID-MT	EI	2025-05-13	JAH	JAH	S,P-Bromide	Bromiid	Bromiid seerumis/plasmas	QN	mg/L	mg/l			17	JAH	3727	1984-4	Bromide	MCnc	Pt	Ser/Plas	Qn		mg/dL	mg/dL	3	DRUG/TOX	Bromide [Mass/volume] in Serum or Plasma	Bromide SerPl-mCnc	1	Both		
1220	TDM	10			Darunaviir	DARUN-TST	EI	2025-11-20	JAH	JAH	S,P-Darunavir	Darunaviir	Darunaviir seerumis/plasmas	QN	mg/L	mg/L			18	JAH	5274	57954-0	Darunavir	MCnc	Pt	Ser/Plas	Qn		ng/mL	ng/mL		DRUG/TOX	Darunavir [Mass/volume] in Serum or Plasma	Darunavir SerPl-mCnc	1	Both		19,7514
2319	TDM	10			Diasepaami ja metaboliidi paneel	DIAZEPAM-X-PNL	JAH		JAH	JAH	S,P-Diazepam metab panel	Diasepaami ja metaboliidi paneel	Diasepaami ja metaboliidi paneel seerumis/plasmas	Paneel					19	EI/Paneel	6830	L-5503																
2322	TDM	10	Diasepaami ja metaboliidi paneel	DIAZEPAM-X-PNL	Diasepaam + Nordiasepaam	SUM_NORDIAZ-TST	JAH		EI	JAH	S,P-Diazepam + Nordiazepam	Diasepaam + Nordiasepaam	Diasepaam + Nordiasepaam seerumis/plasmas	QN	ug/L	ug/L			20	JAH	6833	16757-7	Diazepam+Nordiazepam	MCnc	Pt	Ser/Plas	Qn		ng/mL	ng/mL		DRUG/TOX	diazePAM+Nordiazepam [Mass/volume] in Serum or Plasma	diazePAM+Nor SerPl-mCnc	1	Both		
2320	TDM	10	Diasepaami ja metaboliidi paneel	DIAZEPAM-X-PNL	Diasepaam	DIAZEPAM-TST	JAH		EI	JAH	S,P-Diazepam	Diasepaam	Diasepaam seerumis/plasmas	QN	ug/L	ug/L			21	JAH	6831	3548-5	diazePAM	MCnc	Pt	Ser/Plas	Qn		ng/mL	mcg/dL; mcg/mL; ng/mL		DRUG/TOX	diazePAM [Mass/volume] in Serum or Plasma	diazePAM SerPl-mCnc	1	Both		
2321	TDM	10	Diasepaami ja metaboliidi paneel	DIAZEPAM-X-PNL	Nordiasepaam	NORDIAZEPAM-TST	JAH		EI	JAH	S,P-Nordiazepam	Nordiasepaam	Nordiasepaam seerumis/plasmas	QN	ug/L	ug/L			22	JAH	6832	3537-8	Nordiazepam	MCnc	Pt	Ser/Plas	Qn		ng/mL	mcg/dL; mcg/mL; ng/mL		DRUG/TOX	Nordiazepam [Mass/volume] in Serum or Plasma	Nordiazepam SerPl-mCnc	1	Both		
1385	TDM	10			Digoksiin	DIGOXIN-TST	JAH		JAH	EI	S,P-Digox	Digoksiin	Digoksiin seerumis/plasmas	QN	ug/L	ug/L			23	JAH	415	10535-3	Digoxin	MCnc	Pt	Ser/Plas	Qn		ng/mL	ng/mL	0,0164%	DRUG/TOX	Digoxin [Mass/volume] in Serum or Plasma	Digoxin SerPl-mCnc	1	Both		
2476	TDM	10			Etosuksimiid	ETHOSUX-TST	JAH		JAH	JAH	S,P-Ethosuximide	Etosuksimiid	Etosuksimiid seerumis/plasmas	QN	mg/L	mg/L			24	JAH	7328	40770-0	Ethosuximide^trough	MCnc	Pt	Ser/Plas	Qn		ug/mL			DRUG/TOX	Ethosuximide [Mass/volume] in Serum or Plasma --trough	Ethosuximide Trough SerPl-mCnc	Laboratory	Both		
266	TDM	10			Etambutool	ETHAMBUT-TST	JAH		JAH	JAH	S,P-Ethambutol	Etambutool	Etambutool seerumis/plasmas	QN	mg/L	mg/L			25	JAH	4617	3607-9	Ethambutol	MCnc	Pt	Ser/Plas	Qn		ug/mL	ug/mL	4	DRUG/TOX	Ethambutol [Mass/volume] in Serum or Plasma	Ethambutol SerPl-mCnc	1	Both		14,4923
1711	TDM	10			Everoliimus	EVEROLIM-TST	JAH		JAH	JAH	B-Everolimus	Everoliimus	Everoliimus veres	QN	ug/L	ug/L			26	JAH	5837	50544-6	Everolimus	MCnc	Pt	Bld	Qn		ng/mL	ng/mL		DRUG/TOX	Everolimus [Mass/volume] in Blood	Everolimus Bld-mCnc	1	Both		
2131	TDM	10			Flekainiid	FLECA-TST	JAH		JAH	JAH	S,P-Flecainide	Flekainiid	Flekainiid seerumis/plasmas	QN	umol/L	umol/L			27	JAH	6462	15105-0	Flecainide	SCnc	Pt	Ser/Plas	Qn		umol/L	umol/L		DRUG/TOX	Flecainide [Moles/volume] in Serum or Plasma	Flecainide SerPl-sCnc	1	Both		
1116	TDM	10			Fenobarbitaal	PHENOB-TST	JAH		JAH	JAH	S,P-Phenobarb	Fenobarbitaal	Fenobarbitaal seerumis/plasmas	QN	mg/L	mg/L			28	JAH	419	3948-7	Phenobarbital	MCnc	Pt	Ser/Plas	Qn		ug/mL	mcg/mL	0,0076%	DRUG/TOX	Phenobarbital [Mass/volume] in Serum or Plasma	Phenobarb SerPl-mCnc	1	Both		
267	TDM	10			Fenütoiin	PHENYT-TST	JAH		JAH	JAH	S,P-Phenyt	Fenütoiin	Fenütoiin seerumis/plasmas	QN	mg/L	mg/L			29	JAH	420	3968-5	Phenytoin	MCnc	Pt	Ser/Plas	Qn		ug/mL	mcg/mL	0,0219%	DRUG/TOX	Phenytoin [Mass/volume] in Serum or Plasma	Phenytoin SerPl-mCnc	1	Both		
268	TDM	10			Gentamütsiini baaskontsentratsioon	GENTA-TST	JAH		JAH	JAH	S,P-Genta (trough)	Gentamütsiini baaskontsentratsioon	Gentamütsiini baaskontsentratsioon seerumis/plasmas	QN	mg/L	mg/L			30	JAH	421	3665-7	Gentamicin^trough	MCnc	Pt	Ser/Plas	Qn				0,0051%	DRUG/TOX	Gentamicin [Mass/volume] in Serum or Plasma --trough	Gentamicin Trough SerPl-mCnc	1	Both		
2360	TDM	10			Haloperidool	HALOPER-TST	JAH		JAH	JAH	P-Haloperidol	Haloperidool	Haloperidool plasmas	QN	ug/L	ug/L			31	JAH	5889	3669-9	Haloperidol	MCnc	Pt	Ser/Plas	Qn		ng/mL	ng/mL		DRUG/TOX	Haloperidol [Mass/volume] in Serum or Plasma	Haloperidol SerPl-mCnc	1	Both		
2527	TDM	10			Hüdroksüklorokviin	OH_CHLOROQ-TST	JAH		JAH	JAH	S,P-Hydroxychloroquine	Hüdroksüklorokviin	Hüdroksüklorokviin seerumis/plasmas	QN	ug/L	ug/L			32	JAH	7427	3684-8	Hydroxychloroquine	MCnc	Pt	Ser/Plas	Qn			ug/mL		DRUG/TOX	Hydroxychloroquine [Mass/volume] in Serum or Plasma	OH-Chloroquine SerPl-mCnc	Laboratory	Both		
2473	TDM	10			Ibuprofeen	IBUPROF-TST	JAH		JAH	JAH	S,P-Ibuprofen	Ibuprofeen	Ibuprofeen seerumis/plasmas	QN	mg/L	mg/L			33	JAH	7276	3687-1	Ibuprofen	MCnc	Pt	Ser/Plas	Qn		ug/mL			DRUG/TOX	Ibuprofen [Mass/volume] in Serum or Plasma	Ibuprofen SerPl-mCnc	Laboratory	Both		
2093	TDM	10			Isoniasiid	ISONIAZID-TST	JAH		JAH	JAH	S,P-Isoniazid	Isoniasiid	Isoniasiid seerumis/plasmas	QN	mg/L	mg/L			34	JAH	6420	3697-0	Isoniazid	MCnc	Pt	Ser/Plas	Qn		ug/mL	ug/mL		DRUG/TOX	Isoniazid [Mass/volume] in Serum or Plasma	Isoniazid SerPl-mCnc	1	Both		
1132	TDM	10			Kapreomütsiini tippkontsentratsioon	S-CAPREOM-MT	EI	2025-05-13	JAH	JAH	S,P-Capreomycin (peak)	Kapreomütsiini tippkontsentratsioon	Kapreomütsiini tippkontsentratsioon seerumis/plasmas	QN	mg/L	mg/l			35	JAH	5021	16545-6	Capreomycin	MCnc	Pt	Ser/Plas	Qn		ug/mL	ug/mL		DRUG/TOX	Capreomycin [Mass/volume] in Serum or Plasma	Capreomycin SerPl-mCnc	1	Both		17,3426
269	TDM	10			Karbamasepiin	CARBA-TST	JAH		JAH	EI	S,P-Carba	Karbamasepiin	Karbamasepiin seerumis/plasmas	QN	mg/L	mg/L			36	JAH	423	3432-2	Carbamazepine	MCnc	Pt	Ser/Plas	Qn		ug/mL	mcg/mL	0,0055%	DRUG/TOX	Carbamazepine [Mass/volume] in Serum or Plasma	Carbamazepine SerPl-mCnc	1	Both		
2609	TDM	10			Klobasaami ja metaboliidi paneel	CLOBAZ-X-PNL	JAH		JAH	JAH	S,P-Clobazam metab panel	Klobasaami ja metaboliidi paneel	Klobasaami ja metaboliidi paneel seerumis/plasmas	Paneel					38	EI/Paneel	7525	L-5595																
2431	TDM	10	Klobasaami ja metaboliidi paneel	CLOBAZ-X-PNL	Klobasaam	CLOBAZ-TST	JAH		EI	JAH	S,P-Clobazam	Klobasaam	Klobasaam seerumis/plasmas	QN	ug/L	ug/L			39	JAH	7109	3487-6	cloBAZam	MCnc	Pt	Ser/Plas	Qn		ug/mL			DRUG/TOX				Both		
2607	TDM	10	Klobasaami ja metaboliidi paneel	CLOBAZ-X-PNL	Desmetüülklobasaam	DES_CLOBAZ-TST	JAH		EI	JAH	S,P-Desmethylclobazam	Desmetüülklobasaam	Desmetüülklobasaam seerumis/plasmas	QN	ug/L	ug/L			40	JAH	7523	35107-2	Norclobazam	MCnc	Pt	Ser/Plas	Qn		ng/mL			DRUG/TOX	Norclobazam [Mass/volume] in Serum or Plasma	Norclobazam SerPl-mCnc	Laboratory			
2608	TDM	10	Klobasaami ja metaboliidi paneel	CLOBAZ-X-PNL	Desmetüülklobasaami ja klobasaami suhe	DES_CLOBAZ_RATIO-TST	JAH		EI	JAH	S,P-Desmethylclobazam/Clobazam	Desmetüülklobasaami ja klobasaami suhe	Desmetüülklobasaami ja klobasaami suhe seerumis/plasmas						41	JAH	7524	A-5658																
2308	TDM	10			Klonasepaam	CLONAZEP-TST	JAH		JAH	JAH	S,P-Clonazepam	Klonasepaam	Klonasepaam seerumis/plasmas	QN	ug/L	ug/L			42	JAH	6815	3494-2	clonazePAM	MCnc	Pt	Ser/Plas	Qn		ug/mL	ug/mL		DRUG/TOX	clonazePAM [Mass/volume] in Serum or Plasma	clonazePAM SerPl-mCnc	1	Both		
271	TDM	10			Klosapiin	CLOZAP-TST	JAH		JAH	JAH	S,P-Clozap	Klosapiin	Klosapiin seerumis/plasmas	QN	ug/L	ug/L			43	JAH	1493	6896-5	Clozapine	MCnc	Pt	Ser/Plas	Qn			ug/L;ng/mL		DRUG/TOX	Clozapine [Mass/volume] in Serum or Plasma	Clozapine SerPl-mCnc	1	Both		
1233	TDM	10			Kofeiin	CAFFEINE-TST	JAH		JAH	JAH	S,P-Caffeine	Kofeiin	Kofeiin seerumis/plasmas	QN	mg/L	mg/L			44	JAH	5304	3422-3	Caffeine	MCnc	Pt	Ser/Plas	Qn		ug/mL	ug/mL		DRUG/TOX	Caffeine [Mass/volume] in Serum or Plasma	Caffeine SerPl-mCnc	1	Both		15,7183
1353	TDM	10			Kolistiin	S-COLISTIN-MT	EI	2025-05-13	JAH	JAH	S,P-Colistin	Kolistiin	Kolistiin seerumis/plasmas	QN	mg/L	mg/l			45	JAH	3733	16645-4	Colistin	MCnc	Pt	Ser/Plas	Qn		ug/mL	ug/mL		DRUG/TOX	Colistin [Mass/volume] in Serum or Plasma	Colistin SerPl-mCnc	1	Both		
2786	TDM	10			Kvetiapiin	QUETI-TST	JAH		JAH	JAH	S,P-Quetiapine	Kvetiapiin	Kvetiapiin seerumis/plasmas	QN	ug/L	ug/L			46	JAH	4666	26776-5	Quetiapine	MCnc	Pt	Ser/Plas	Qn		ng/mL	ng/mL		DRUG/TOX	Quetiapine [Mass/volume] in Serum or Plasma	Quetiapine SerPl-mCnc	1	Both		16,0918
2799	TDM	10			Lakosamiid	LACOSAMIDE-TST	JAH		JAH	JAH	S,P-Lacosamide	Lakosamiid	Lakosamiid seerumis/plasmas	QN	mg/L	mg/L			47	JAH	7877	59297-2	Lacosamide	MCnc	Pt	Ser/Plas	Qn		ug/mL	ug/mL		DRUG/TOX	Lacosamide [Mass/volume] in Serum or Plasma	Lacosamide SerPl-mCnc	Laboratory	Both		
273	TDM	10			Lamotrigiin	LAMOTR-TST	JAH		JAH	JAH	S,P-Lamotr	Lamotrigiin	Lamotrigiin seerumis/plasmas	QN	mg/L	mg/L			48	JAH	424	6948-4	Lamotrigine	MCnc	Pt	Ser/Plas	Qn		ug/mL	mcg/mL	0,0018%	DRUG/TOX	Lamotrigine [Mass/volume] in Serum or Plasma	Lamotrigine SerPl-mCnc	1	Both		
274	TDM	10			Levetiratsetaam	LEVETIRA-TST	JAH		JAH	JAH	S,P-Levetiracetam	Levetiratsetaam	Levetiratsetaam seerumis/plasmas	QN	mg/L	mg/L			50	JAH	3728	30471-7	Levetiracetam	MCnc	Pt	Ser/Plas	Qn		ug/mL	ug/mL		DRUG/TOX	Levetiracetam [Mass/volume] in Serum or Plasma	Levetiracetam SerPl-mCnc	1	Both		
2092	TDM	10			Levofloksatsiin	LEVOFLO-TST	JAH		JAH	JAH	S,P-Levofloxacin	Levofloksatsiin	Levofloksatsiin seerumis/plasmas	QN	mg/L	mg/L			51	JAH	6421	21368-6	levoFLOXacin	MCnc	Pt	Ser/Plas	Qn		ug/mL	ug/mL		DRUG/TOX	levoFLOXacin [Mass/volume] in Serum or Plasma	levoFLOXacin SerPl-mCnc	1	Both		
2429	TDM	10			Levomepromasiin	LEVOMEP-TST	JAH		JAH	JAH	S,P-Levomepromazin	Levomepromasiin	Levomepromasiin seerumis/plasmas	QN	ug/L	ug/L			52	JAH	7107	63482-4	Methotrimeprazine	MCnc	Pt	"Ser/Plas	"	Qn		ng/mL			DRUG/TOX				Both		
275	TDM	10			Liitium	LI-TST	JAH		JAH	JAH	S,P-Li	Liitium	Liitium seerumis/plasmas	QN	mmol/L	mmol/L			53	JAH	217	14334-7	Lithium	SCnc	Pt	Ser/Plas	Qn		mol/L	mmol/L; mEq/L	46	DRUG/TOX	Lithium [Moles/volume] in Serum or Plasma	Lithium SerPl-sCnc	1	Both		
1152	TDM	10			Mebendasool	MEBEN-TST	JAH		JAH	JAH	S,P-Mebendazole	Mebendasool	Mebendasool seerumis/plasmas	QN	ug/L	ug/l			55	JAH	5049	A-5049																
1354	TDM	10			Metotreksaat	MTX-TST	JAH		JAH	JAH	S,P-MTX	Metotreksaat	Metotreksaat seerumis/plasmas	QN	umol/L	umol/L			57	JAH	426	14836-1	Methotrexate	SCnc	Pt	Ser/Plas	Qn				0,0023%	DRUG/TOX	Methotrexate [Moles/volume] in Serum or Plasma	MTX SerPl-sCnc	1	Both		
2135	TDM	10			Metüülfenidaat	MPH-TST	JAH		JAH	JAH	S,P-MPH	Metüülfenidaat	Metüülfenidaat seerumis/plasmas	QN	ug/L	ug/L			58	JAH	6466	3807-5	Methylphenidate	MCnc	Pt	Ser/Plas	Qn		ug/mL	ug/mL		DRUG/TOX	Methylphenidate [Mass/volume] in Serum or Plasma	Me-phenidate SerPl-mCnc	1	Both		
1155	TDM	10			Mitotaan	MITOTANE-TST	JAH		JAH	JAH	S,P-Mitotane	Mitotaan	Mitotaan seerumis/plasmas	QN	mg/L	mg/l			59	JAH	5051	13626-7	Mitotane	MCnc	Pt	Ser/Plas	Qn		ug/mL	ug/mL		DRUG/TOX	Mitotane [Mass/volume] in Serum or Plasma	Mitotane SerPl-mCnc	1	Both		22,6624
1130	TDM	10			Moksifloksatsiin	MOXIFLOXA-TST	JAH		JAH	JAH	S,P-Moxifloxacin	Moksifloksatsiin	Moksifloksatsiin seerumis/plasmas	QN	mg/L	mg/l			60	JAH	5019	43751-7	Moxifloxacin	MCnc	Pt	Ser/Plas	Qn		ug/mL	ug/mL		DRUG/TOX	Moxifloxacin [Mass/volume] in Serum or Plasma	Moxifloxacin SerPl-mCnc	1	Both		17,5231
2312	TDM	10			Olansapiin	OLANTS-TST	JAH		JAH	JAH	S,P-Olanzapine	Olansapiin	Olansapiin seerumis/plasmas	QN	ug/L	ug/L			62	JAH	6819	12389-3	OLANZapine	MCnc	Pt	Ser/Plas	Qn		ng/mL	ng/mL		DRUG/TOX	OLANZapine [Mass/volume] in Serum or Plasma	OLANZapine SerPl-mCnc	1	Both		
2612	TDM	10			Okskarbasepiini ja metaboliidi paneel	OXCARBA-X-PNL	JAH		JAH	JAH	S,P-Oxcarb metab panel	Okskarbasepiini ja metaboliidi paneel	Okskarbasepiin ja metaboliidi paneel seerumis/plasmas	Paneel					63	EI/Paneel	7528	L-5596																
276	TDM	10	Okskarbasepiini ja metaboliidi paneel	OXCARBA-X-PNL	Okskarbasepiin	OXCARB-TST	JAH		EI	JAH	S,P-Oxcarb	Okskarbasepiin	Okskarbasepiin seerumis/plasmas	QN	mg/L	mg/L			64	JAH	2877	35331-8	Oxcarbazepine	MCnc	Pt	Ser/Plas	Qn		ug/mL	mcg/mL	1659	DRUG/TOX	Oxcarbazepine [Mass/volume] in Serum or Plasma	Oxcarbazepine SerPl-mCnc	1	Both		11,4393
2611	TDM	10	Okskarbasepiini ja metaboliidi paneel	OXCARBA-X-PNL	10-hüdroksükarbasepiin	10_OH_OXCARB-TST	JAH		EI	JAH	S,P-10OH-Oxcarb	10-hüdroksükarbasepiin	10-hüdroksükarbasepiin seerumis/plasmas	QN	mg/L	mg/L			65	JAH	7527	31019-3	10-Hydroxycarbazepine	MCnc	Pt	Ser/Plas	Qn		ug/mL	mcg/mL		DRUG/TOX	10-Hydroxycarbazepine [Mass/volume] in Serum or Plasma	10OH-Carbazepine SerPl-mCnc	Laboratory	Both		
