Year,Month,Area,Article,Author,Score,Sex,Notes,Funding,Clinical vs Biomedical,NIH
1999,August,N/A,Glucose turnover and adipose tissue lipolysis are insulin-resistant in healthy relatives of type 2 diabetes patients: is cellular insulin resistance a secondary phenomenon?,Eriksson et al.,3,Both,"A score of 3 was given as male and female juman subjects were used. However, no sex segregated data or discussion of sex.","IngaBritt and Arne Lundberg Foundation, the Swedish Medical Research Council, the Swedish Diabetes Association, and the Novo-Nordisk, Elsa and Folke Sahlberg, Torsten and Ragnar Söderberg, Åke Wiberg, and Magnus Bergvall Foundations.",Biomedical,No
1999,August,N/A,"Dehydroepiandrosterone suppresses the elevated hepatic glucose-6-phosphatase and fructose-1,6-bisphosphatase activities in C57BL/Ksj-db/db mice: comparison with troglitazone.",Aoki et al.,1,Male,A score of 1 was given as the study used only male mice from C57BL/KsJ-d b/d b mice and db/+m.,n/a,Biomedical,N/a
1999,August,N/A,Mechanism responsible for inactivation of skeletal muscle pyruvate dehydrogenase complex in starvation and diabetes.,Wu et al.,1,Male,A score of 1 was given as only male Wistar rats were used.,"U.S. Public Health Services, Diabetes Research and Training Center of Indiana University School of Medicine, the Grace M. Showalter Trust and American Heart Association.",Biomedical,No
1999,August,N/A,Metabolic factors contributing to increased resting metabolic rate and decreased insulin-induced thermogenesis during the development of type 2 diabetes.,Weyer et al.,3,Both,"A score of 3 was given as male and female juman subjects were used. Data was sex adjusted. However, no sex segregated data or discussion of sex.",n/a,Biomedical,N/a
1999,August,N/A,Glucose metabolism and insulin sensitivity in transgenic mice overexpressing leptin with lethal yellow agouti mutation: usefulness of leptin for the treatment of obesity-associated diabetes.,Masuzaki et al.,1,Male,A score of 1 was given as only male mice were utilized.,"Japanese Ministry of Education, Science, Sports, and Culture; the Japanese Ministry of Health and Welfare, Yamanouchi Foundation for Research on Metabolic Disorders, Mitsukoshi Fund of Medicine, ONO Medical Research Foundation, Foundation for Total Health Promotion, Tokyo Biochemical Research Foundation, Naito Foundation, Uehara Memorial Foundation; and the Japanese Society for the Promotion of Science “Research for the Future” Program.",Biomedical,No
1999,August,N/A,Relationship between insulin resistance and nonmodulating hypertension: linkage of metabolic abnormalities and cardiovascular risk.,Ferri et al.,3,Both,A score of 3 was given as the study used both male and female human subjects. The data was not sex segregated. It is stated that the effect of sex was minimal using the ANOVA and SAS program.,National Institutes of Health.,Biomedical,Yes
1999,August,N/A,IGF-1 decreases collagen degradation in diabetic NOD mesangial cells: implications for diabetic nephropathy.,Lupia et al.,1,Female,A score of 1 was given as mesangial cell lines from only female diabetic and nondibetic mice were utilized. The authors could have stated briefly why female NOD mice were the best model for this study.,n/a,Biomedical,N/a
1999,August,N/A,Characterization of glucokinase mutations associated with maturity-onset diabetes of the young type 2 (MODY-2): different glucokinase defects lead to a common phenotype.,Miller et al.,0,n/a,A score of 0 was given. Sex was unspecified for the materials.,National Institutes of Health Grant,Biomedical,Yes
1999,August,N/A,Hyperinsulinism caused by paternal-specific inheritance of a recessive mutation in the sulfonylurea-receptor gene.,Glaser et al.,0,n/a,A score of 0 was given. Sex of human subjects unspecified.,"National Institutes of Health, U.S.-Israel Binational Science Foundation and Israel Ministry of Health.",Biomedical,Yes
1999,August,N/A,Increased glycogen synthase kinase-3 activity in diabetes- and obesity-prone C57BL/6J mice.,Eldar-Finkelman et al.,1,Male,A score of 1 was given as only male C57BL/6J and A/J mice were used.,National Institutes of Health,Biomedical,Yes
1999,August,N/A,5' AMP-activated protein kinase activation causes GLUT4 translocation in skeletal muscle.,Kurth-Kraczek et al.,1,Male,A score of 1 was given as only male Sprague-Dawley rats were utilized.,National Institute of Musculoskeletal and Skin Diseases,Biomedical,Yes
1999,Sept,N/A,Identification of the docked granule pool responsible for the first phase of glucose-stimulated insulin secretion,Daniel et al,0,,A score of 0 was given because sex was unspecified for cell culture (Beta HC-9 cells).,National Institutes of Health and the American Diabetes Association (Mentor-Based Postdoctoral Fellowship),Biomedical,Yes
1999,Sept,N/A,Long-term regulation of lipolysis and hormone-sensitive lipase by insulin and glucose,Botion et al,1,Male,A score of 1 was given because only male Sprague-Dawley rats were used.,Universidade Federal de Minas Gerais and Fundacao de Amparo a Pesquisa de Minas Gerais,Biomedical,No
1999,Sept,N/A,Structural model of human glucokinase in complex with glucose and ATP: Implications for the mutants that cause hypo- and hyperglycemia,Mahalingam et al,0,,A score of 0 was given because sex was was not specified for source of enzymes used in enzyme kinetics measurements (Human glucokinase and its mutants).,National Institutes of Health and the American Diabetes Association,Biomedical,Yes
1999,Sept,N/A,Role of the sympathetic nervous system and insulin in enhancing glucose uptake in peripheral tissues after intrahypothalamic injection of leptin in rats,Haque et al,1,Male,A score of 1 was given because only male Sprague-Dawley rats were used.,"Ministry of Education, Science, Sports and Culture of Japan",Biomedical,No
1999,Sept,N/A,"Neonatal porcine islet cells induce human CD4+, but not CD8+, lymphocyte proliferation and resist cell-mediated cytolytic injury in vitro",Murray et al,3,,"A score of 3 was given because both sexes of pigs were included (Landrace-Yorkshire neonatal pigs gave Neonatal porcine splenocytes and islet cells), although the sex of human CD4 CD8 CTL and NK cells were unspecified (would warrant score 1 by itself).","Kidney Foundation of Canada (to A.G.M.) and by the Canadian Diabetes Association (to G.S.K.). A.G.M. is a Clinical Investigator and J.EE. is a Senior Scholar with the Alberta Heritage Foundation for Medical Research. G.S.K. is a scholar with the Alberta Heritage Foundation for Medical Research, and a recipient of a scholarship from the Canadian Diabetes Association.",Biomedical,No
1999,Sept,N/A,Insulin B-chain reactive CD4+ regulatory T-cells induced by oral insulin treatment protect from type 1 diabetes by blocking the cytokine secretion and pancreatic infiltration of diabetogenic effector T-cells,Bergerot et al,1,Female,A score of 1 was given because only female mice were included (female NOD mice).,"Medical Research Council of Canada, Juvenile Diabetes Foundation Internation and the MRC/JDFI Diabetes Interdisciplinary Research Program, National Institutes of Health, Department of Veterans Affairs, University of Western Ontario, Fondation pour la Recherche Medicale, Canadian Diabetes Association, Fundayacucho",Biomedical,Yes
1999,Sept,N/A,Adenoviral gene transfer of the interleukin-1 receptor antagonist protein to human islets prevents IL-1(Beta)-induced (Beta)-cell impairment and activation of islet cell apoptosis in vitro,Giannoukakis et al,0,,A score of 0 was given because sex was unspecified for pancreata from cadaver donors.,"National Institutes of Health, Juvenile Diabetes Foundation International, Fonds FCAR, JDF Islet Distribution Program (University of Miame)",Biomedical,Yes
1999,Sept,N/A,Corticotropin-releasing factor modulation of Ca2+ influx in rat pancreatic (Beta)-cells,Kanno et al,0,,A score of 0 was given because sex was unspecified for rat pancreas islets.,Hirosaki University,Biomedical,No
1999,Sept,N/A,Glucose-fatty acid cycle to inhibit glucose utilization and oxidation is not operative in fatty acid-cultured islets,Liu et al,0,,A score of 0 was given because sex was unspecified for pancreatic islets.,National Institutes of Health and American Diabetes Association,Biomedical,Yes
1999,Sept,N/A,A defect late in stimulus-secretion coupling impairs insulin secretion in goto-kakizaki diabetic rats,Metz et al,3,,A score of 3 was given because both sexes of rats were included (GK rats and Wistar rats).,"National Institutes of Health, ADA, Department of Veterans Affairs, Rennebohm Foundation",Biomedical,Yes
1999,Sept,N/A,Hypothalamic glucose sensor: Similarities to and differences from pancreatic (Beta)-cell Mechanisms,Yang et al,1,Male,A score of 1 was given because only male rats were used (male Sprague-Dawley rats).,National Institutes of Health,Biomedical,Yes
1999,Sept,N/A,Expression of (Alpha)-1 proteinase inhibitor in human islet microvascular endothelial cells,Lou et al,0,,A score of 0 was given because sex was unspecified for human pancreatic islets.,Swiss National Science Foundation (no. 32-50865.97 [to PM. and J.L.] and no. 32-49755.96 [to C.B.W]).,Biomedical,No
1999,Sept,N/A,Sympathetic activation of leptin via the ventromedial hypothalamus: Leptin-induced increase in catecholamine secretion,Satoh et al,1,Male,A score of 1 was given because only male Sprague-Dawley rats were used.,"Japanese Ministry of Education, Science, Sports, and Culture; the Japanese Ministry of Health and Welfare; the Yamanouchi Foundation for Research on Metabolic Disorders; the T. Nanba Memorial Health Care Foundation; the Mitsukoshi Fund of Medicine 1997; the ONO Medical Research Foundation; the Kimura Memorial Foundation, Otsuka Pharmaceutical Company",Biomedical,No
1999,Sept,N/A,"T-1095, an inhibitor of renal Na+-glucose cotransporters, may provide a novel approach to treating diabetes",Oku et al,4,,"A score of 4 was given because both sexes of rats/mice were used, and some but less than half of the data was sex-segregated (Male Wistar rats and female KK-A^sup y^ mice). Blood glucose and HBa1c were displayed by sex between fig. 6 (male) and table 2 (female).",N/A,Biomedical,No
1999,Sept,N/A,Increased glucose metabolism and insulin sensitivity in transgenic skinny mice overexpressing leptin,Ogawa et al,4,,"A score of 4 was given because both sexes of mice were used, and some but less than half of data is sex-segregated (Fig. 2).",,Biomedical,No
1999,Sept,N/A,Improvement in insulin resistance and the restoration of reduced phosphodiesterase 3B gene expression by pioglitazone in adipose tissue of obese diabetic KKAy mice,Tang et al,1,Male,"A score of 1 was given because only male mice were included (male C57BL/6J mice, insulin-resistant KKAy mice).","Ministry of Education, Science and Culture, Japan (no. 10169248), Takeda Pharmaceutical, Sasakawa Health Science Foundation, and Ehime Health Foundation",Biomedical,No
1999,Sept,N/A,Autoantibody against N(Epsilon)-(carboxymeth1)lysine: An advanced glycation end product of the maillard reaction,Shibayama et al,1,Male,A score of 1 was given because only male rats were used (male Wistar rats).,"Ministry of Education in Japan (to S.H. and N.A.); Okukubo Memorial Fund for Medical Research, Kumamoto University School of Medicine (to N.A.); and Hayashi Memorial Foundation for Female Natural Scientists (to N.A.), Sagawa Science Foundation (to N.A.), and Kurozumi Medical Science Foundation",Biomedical,No
1999,Sept,N/A,Hyperketonemia can increase lipid peroxidation and lower glutathione levels in human erthrocytes in vitro and in type 1 diabetic patients,Jain et al,0,,A score of 0 was given because sex was unspecified for blood obtained from 25 human subjects (diabetic children and their healthy siblings).,"Louisiana State University Medical Center, American Heart Association (Southern Research Consortium), and the Henkel Corporation",Biomedical,No
1999,Sept,N/A,A quantitative trait locus influencing BMI maps to the region of the (Beta)-3 adrenergic receptor,Mitchell et al,3,,"A score of 3 was given because both sexes of human subjects were included, but no sex-segregated data was given. Data was sex-adjusted.",National Institutes of Health,Biomedical,Yes
1999,Sept,N/A,"Isolation, characterization, and chromosomal loclization of the human ENSA gene that encodes (Alpha)-endosulfine, a regulator of (Beta)-cell K(ATP) channels",Heron et al,0,,A score of 0 was given because sex was unspecified for human genomic library and cell cultures (human chromosomes prepared from human peripheral blood lymphocyte cultures).,N/A,Biomedical,No
1999,Sept,N/A,Human insulin receptor substrate-2: Gene organization and promoter characterization,VaBen et al,0,,A score of 0 was given because sex was unspecified for genomic clones from a human bacterial artificial chromosome (BAC) library.,Bundesministerium fuer Bildung und Forschung Grant,Biomedical,No
1999,Sept,N/A,Conservation of an insulin response unit between mouse and human glucose-6-phosphatase catalytic subunit gene promoters: transcription factor FKHR binds the insulin response sequence,Ayala et al,0,,A score of 0 was given because sex was unspecified for cell culture (human HepG2 hepatoma cells).,"Mark Collie Foundation, Juvenile Diabetes Foundation, American Diabetes Association, and National Institutes of Health",Biomedical,Yes
1999,October,N/A,Incompatibility between human blood and isolated islets of Langerhans: A finding with implications for clinical intraportal islet transplantation?,Bennet et al,3,,"A score of 3 was given because both sexes of human pancreases were included, though sexes of porcine islets were not mentioned.","Swedish Medical Research Council (06P-11813 and 16X-12219), the tAke Wiberg Foundation, the Magnus Bervall Foundation, the Nordic Insulin Fund, the Tore Nilsson Fund, the Torsten and Ragnar Soderbergs Foundation, the Ernfors Family Fund, the Swedish Diabetes Association, the Swedish Society of Medicine, the Swedish Society for Medical Research, E-C Biomed 2, the Juvenile Diabetes Foundation International, and the Wallenberg Foundation.",Biomedical,No
1999,October,N/A,Tyrosine phosphorylation of specific protein kinase C isoenzymes participates in insulin stimulation of glucose transport in primary cultures of rat skeletal muscle,Braiman et al,0,,A score of 0 was given because sex was unspecified for skeletal muscle cell culture.,"Sorrell Foundation, the Ben and Effie Raber Research Fund, the Harvett-Aviv Neuroscience Research Fund, and the Otto Meyerhoff Center",Biomedical,No
1999,October,N/A,Calorie restriction increase insulin-stimulated glucose transport in skeletal muscle from IRS-1 knockout mice,Gazdag et al,3,,"A score of 3 was given because both sexes of mice were included, but no sex-segregated data was given. Although data from each sex were analyzed separately, data was not presented.",National Institutes of Health and Bristol-Myers Squibb (pharm),Biomedical,Yes
1999,October,N/A,Identification of peptides from autoantigens GAD65 and IA-2 that bind to HLA class II molecules Predisposing to or protecting from type 1 diabetes,Harfouch-Hammond et al,0,,A score of 0 was given because sex was unspecified for cell culture (transformed homozygous Blymphoblastoid cell lines (BLCLs)).,"(ALFEDIAM)-Novo Nordisk,Juvenile Diabetes Foundation International, Fondation de France",Biomedical,No
1999,October,N/A,T-cell production of an inducible interleukin-10 transgene provides limited protection from autoimmune diabetes,Pauza et al,1,Female,A score of 1 was given because only female rats and rats of unspecified sex were used (transgenic mice).,"Juvenile Diabetes Foundation International, including a program project grant (D.L.) and a postdoctoral fellowship (398201) (M.E.P.), and National Institutes of Health Grants AI29689 and AI31583 (D.L.). This is publication #12388-IMM from TSRI.",Biomedical,Yes
1999,October,N/A,"Mechanisms of glucose hypersensitivity in beta-cells from normoglycemic, partially pancreatectomized mice",Martin et al,0,,A score of 0 was given because sex was unspecified for mice used.,"Fondo de Investigaciones Sanitarias de la Seguridad Social, Comision Interministerial de Ciencia y Tecnologia.",Biomedical,No
1999,October,N/A,Two novel immortal pancreatic beta-cells lines expressing and secreting human islet amyloid polypeptide do not spontaneously develop islet amyloid,Adrikopoulos et al,0,,A score of 0 was given because sex was unspecified for double transgenic mice.,"National Institutes of Health, American Diabetes Association, (Juvenile Diabetes Foundation International fellowship)",Biomedical,Yes
1999,October,N/A,Mechanisms of coordination of Ca2+ signals in pancreatic islet cells,Bertuzzi et al,0,,A score of 0 was given because sex was unspecified for islets isolated from CD-1 mice.,"CNR Target project on ""Biotechnology"", the TelethonItaly, and the ArmeniseHarvard Foundation",Biomedical,No
1999,October,N/A,Altered cAMP and Ca2+ signaling in mouse pancreatic islets with glucagon-like peptide-1 receptor null phenotype,Flamez et al,3,,"A score of 3 was given because both sexes of mice were used (CDI mice), although only female GLP-1R+/+ islets were used for some experiments and only male islets for others.","Belgian Funds for Scientific Research, Fonds National de la Recherche Scientifique, Belgian Program on Interuniversity Poles of Attraction, Juvenile Diabetes Foundation",Biomedical,No
1999,October,N/A,Altered insulin secretion associated with reduced lipolytic efficiency in aP2-1-mice,Scheja et al,3,,"A score of 3 was given because both sexes of mice were included, although it was unclear if male mice were used for measuring blood insulin levels (table 1) and adipose tissue used was only obtained from female mice (female aP2-/- and aP2+/+ mice).","This manuscript is based on work supported by the Pew Scholars Program in the Biomedical Sciences, sponsored by the Pew Charitable Trusts, and Bristol-Myers Squibb Pharmaceutical Research Institute (G.S.H.). L.S. was supported by the Deutsche Forschungsgemeinschaft (Sche 522/1-1) and the National Institutes of Health (1 F32 DK09823-01).",Biomedical,Yes
1999,October,N/A,In vivo prevention of hyperglycemia also prevents glucotoxic effects on PDX-1 and insulin gene expression,Harmon et al,1,Male,A score of 1 was given because only male rats and rats of unspecified sex were used (male Zucker lean rats and ZDF rats).,"National Institutes of Health, Juvenile Diabetes Foundation International, (American Diabetes Association Mentor Based Post Doctoral Fellowship Program)",Biomedical,Yes
1999,October,N/A,Unresponsiveness to glibenclamide during chronic treatment induced by reduction of ATP-sensitive K+ channel activity,Kawaki et al,0,,A score of 0 was given because sex was unspecified for cell culture (MIN6 cells),"Ministry of Education, Science, Sports and Culture, Japan; Ministry of Health and Welfare, Japan; Tsumura Pharma; Novo-Nordisk Pharma; Yamanouchi Foundation for Research on Metabolic Disorders; Takeda Chemical Industries",Biomedical,No
1999,October,N/A,Palmitate and oleate induce the immediate-early response genes c-fos and nur-77 in the pancreatic beta-cells line INS-1,Roche et al,0,,A score of 0 was given because sex was unspecified for INS-1 cell culture and isolated rat islets,"Cancer Research Society of Montreal, the Medical Research Council of Canada, the Canadian Diabetes Association, and the Juvenile Diabetes Foundation International, and Fondo de Investigaciones Sanitarias de la Seguridad Social, Spain",Biomedical,No
1999,October,N/A,Evidence for a functional role of the cholecystokinin-beta/gastrin receptor in the human fetal and adult pancreas,Saillan-Barreau et al,0,,"A score of 0 was given because sex was unspecified for Human pancreas (three specimens), gallbladder (one specimen), and fundus (one specimen)","Association pour la Recherche sur le Cancer, National Cancer institute under contract with Advanced BioScience Laboratories, Fondo de Investigaciones Sanitarias, Ligue Nationale Contre le Cancer du Tarn et Garonne",Biomedical,No
1999,October,N/A,Metabolic impact of glucokinase overexpression in liver: Lowering of blood glucose in fed rats is accompanied by hyperlipidemia,O'Doherty et al,1,,A score of 1 was given because only male rats were used (Male Wistar rats).,"National Institutes of Health, (American Physiological Society/Genentech fellowship award)",Biomedical,Yes
1999,October,N/A,"Involvement of agouti-related protein, and endogenous antagonist of hypothalamic melanocortin receptor, in leptin action",Ebihara et al,1,Male,A score of 1 was given because only male rats were used (Male Sprague-Dawley rats).,"Japanese Ministry of Education, Science, Sports, and Culture, the Japanese Ministry of Health and Welfare, Yamanouchi Foundation for Research on Metabolic Disorders, T. Nanba Memorial Health Care Foundation, The Naito Foundation, Mitsukoshi Fund of Medicine 1997, ONO Medical Research Foundation, Mitsubishi Foundation, and ""Research for the Future"" of Japanese Society for the Promotion of Science",Biomedical,No
1999,October,N/A,Rapid increase in circulating leptin in ventromedical hypothalamus-lesioned rats: Role of hyperinsulinemia and implication for upregulation mechanism,Suga et al,1,Female,A score of 1 was given because only female rats were used (Female Sprague-Dawley rats).,N/A,Biomedical,No
1999,October,N/A,"Alpha-lipoic acid: Effect on glucose uptake, sorbitol pathway, and energy metabolism in experimental diabetic neuropathy",Kishi et al,1,Male,A score of 1 was given because only male rats were used (Male Sprague-Dawley rats).,"National Institute of Neurological Disorders and Stroke, Mayo and Asta Medica",Biomedical,No
1999,October,N/A,Acute modulation of albumin microvascular leakage by advanced glycation end products in microcirculation of diabetic rats in vivo,Bonnardel-Phu et al,0,,A score of 0 was given because sex was unspecified for diabetic and control rats.,N/A,Biomedical,No
1999,October,N/A,Metformin but not glyburide prevents high glucose-induced abnormalities in relaxation and intracellular Ca2+ transients in adult rat ventricular myocytes,Ren et al,1,Male,A score of 1 was given because only male rats were used (Male Sprague-Dawley rats).,"Louis M. and Mollie Elliman Vascular Research Foundation (to J.R.) and an American Heart Association, Michigan Affiliate Grant-in-Aid",Biomedical,No
1999,October,N/A,Role of angiotensin II in glucose-induced inhibition of mesangial matrix degradation,Singh et al,1,Male,"A score of 1 was given because only male rats were used (Male Sprague-Dawley rats, primary mesangial cells obtained from normal rat glomeruli)","American Diabetes Association, Merck Research Laboratories Losartan Medical School Grants Program",Biomedical,No
1999,October,N/A,"Involvement of agouti-related protein, and endogenous antagonist of hypothalamic melanocortin receptor, in leptin action",Ebihara et al,1,Male,A score of 1 was given because only male rats were used (Male Sprague-Dawley rats).,"Japanese Ministry of Education, Science, Sports, and Culture, the Japanese Ministry of Health and Welfare, Yamanouchi Foundation for Research on Metabolic Disorders, T. Nanba Memorial Health Care Foundation, The Naito Foundation, Mitsukoshi Fund of Medicine 1997, ONO Medical Research Foundation, Mitsubishi Foundation, ""Research for the Future"" of Japanese Society for the Promotion of Science",Biomedical,No
1999,October,N/A,Low phagocytic activity of resident peritoneal macrophages in diabetic mice: Relevance to the formation of advanced glycation end products,Liu et al,1,Female,"A score of 1 was given because only female mice were included (female Balb/c mice, peritoneal macrophages)","Ono Pharmaceutical, Tsumura Pharma",Biomedical,No
1999,October,N/A,Regulation of the laminin C1 promoter in cultured mesangial cells,Philips et al,0,,A score of 0 was given because sex was unspecified for cultured mesangial cells.,Juvenile Diabetes Foundation International,Biomedical,No
1999,October,N/A,A protein kinase C-beta-selective inhibitor ameliorates neural dysfunction in streptozotocin-induced diabetic rats,Nakamura et al,1,Male,A score of 1 was given because only male rats were used (Male Wistar rats).,Ministry of Health and Welfare of Japan,Biomedical,No
1999,October,N/A,"Nondiabetic subjects, ""mostly female (65%)"". Genotype frequencies. 424 subjects self-referred to the Johns Hopkins Weight Management Center. Analysis of covariance (ANCOVA) with adjustment for age, BMI, ethnicity, and sex revealed no significant differences in the JHWMC participants among genotype for waist-to-hip ratio, fasting glucose levels, or log of fasting insulin levels (Table 2). biomedical: The subjects were genotyped using the polymerase chain reaction (PCR)-restriction fragment length polymorphism method",Walston et al,3,,"A score of 3 was given because both sexes of human subjects were included, and data was sex-adjusted.","Brookdale National Fellowship, the American Diabetes Association (to J.W.), the John A. Hartford Foundation (grant 97214-G to R.E.A.), and the American Heart Association Maryland Chapter",Biomedical,No
1999,October,N/A,"Hepatocyte nuclear factor-4gamma: cDNA sequence, gene organization, and mutation screening in early-onset autosomal-dominant type 2 diabetes",Plengvidhya et al,0,,A score of 0 was given because sex of human subjects was not mentioned.,"National Institutes of Health, Joslin's Diabetes Endocrinology Research Center Grant, Deutsche Forschungsgemeinschaft Grant, Siriraj Hospital (Mahidol University, Bangkok, Thailand)",Biomedical,Yes
1999,November,N/A,Insulin signaling in insulin receptor substrate (IRS)-1-deficient brown adipocytes: Requirement of IRS-1 for lipid synthesis,Valverde et al,0,,A score of 0 was given because sex was unspecified for cell culture (brown adipose tissue from mice fetuses).,Ministerio de Education y Cultura (Spain).,Biomedical,No
1999,November,N/A,Hypothalamic orexin expression: Modulation by blood glucose and feeding,Cai et al,1,Male,A score of 1 was given because only male mice were included (male Wistar or Sprague-Dawley rats),"SmithKline Beecham and the Medical Research Council, Committee of ViceChancellors and Principals of the U.K.",Biomedical,No
1999,November,N/A,"Diabetes-prone and diabetes-resistant BB rats share a common major diabetes susceptibility locus, iddm4: Additional evidence for a ""universal autoimmunity locus"" on rat chromosome 4",Martin et al,0,,A score of 0 was given because sex was unspecified for rats (DP- and DR-BB/Wor rats and WF rats (RTl^sup u/u^)).,"National Institutes of Health, Juvenile Diabetes Foundation International",Biomedical,Yes
1999,November,N/A,Oral administration of cholera toxin B-insulin conjugates protects NOD mice from autoimmune diabetes by inducing CD4+ regulatory T-cells,Ploixl et al,1,Male,"A score of 1 was given because only male mice were used, although co-transfer of splenocytes and T cells was from female mice (NOD mice).",European Community Biotech Program,Biomedical,No
1999,November,N/A,"Peptides derived from murine insulin are diagetogenic in both rats and mice, but the disease-inducing epitopes are different: Evidence against a common environmental cross-reactivity in the pathogenicity of type 1 diabetes",Heath et al,3,,"A score of 3 was given because both sexes of rats were included, although some experiments used only Female NOD mice and others only male NOD mice.",Medical Research Council,Biomedical,No
1999,November,N/A,Multiple sites of purinergic control of insulin secretion in mouse pancreatic beta-cells,Poulsen et al,1,Female,A score of 1 was given because only female mice islets were included (female NMRI mice).,"Fonds National de la Recherche Scientifique, Brussels",Biomedical,No
1999,November,N/A,Resistance of ALR/Lt islets to free radical-mediated diabetogenic stress is inherited as a dominant trait,Mathews et al,4,,"A score of 4 was given because both sexes of mice were used, and some but less than half of data was sex segregated, though only male mice were included for some experiments (ALS/Lt mice and ALR/Lt mice).","Juvenile Diabetes Federation International, ADA, and National Institutes of Health. (And National Cancer Institute Cancer Center for ""institutional shared services"")",Biomedical,Yes
1999,November,N/A,Inhibitory effects of leptin-related synthetic peptide 116-130 on food intake and body weight gainin female C57BL/6J ob/ob mice may not be mediated by peptide activation of the long isoform of the leptin receoptor,Grasso et al,1,Female,A score of 1 was given because only female mice were included (female C57BIJ6J ob/ob mice).,"Dr. Willard B. and Lulah Warring Memorial Fund, Hoffman-LaRoche (Nutley, NJ)",Biomedical,No
1999,November,N/A,Diabetes induses an impairment in the proteolytic activity against oxidized proteins and a heterogeneous effect in nonenzymatic protein modifications in the cytosol of rat liver and kidney,Portero-Otin et al,0,,A score of 0 was given because the sex of the Sprague-Dawley rats was unspecified.,"National Research Foundation of the Spanish Ministry of Health, Generalitat de Cataluny, La Paeria",Biomedical,No
1999,November,N/A,Modifications induced by LDL from type 1 diabetic patients on endothelial cells obtained from human umbilical vein,Rabini et al,0,,A score of 0 was given because the sex of the human umbilical vein endothelial cells (HUVECs) was unspecified.,University of Ancona,Biomedical,No
1999,November,N/A,Increased renal expression of vascular endothelial growth factor (VEGF) and its receptor VEGFR-2 in experimental diabetes,Cooper et al,0,,A score of 0 was given because the sex of the Sprague-Dawley rats was unspecified.,Juvenile Diabetes Foundation International and the National Health and Medical Research Council of Australia,Biomedical,No
1999,November,N/A,Adverse effects of hyperglycemia on kidney development in rats: In vivo and in vitro studies,Amri et al,2,Female,"A score of 2 was given because only female rats were used and was justified (""Congenital malformations occur more frequently in the offspring of diabetic mothers."") (Female Sprague-Dawley rats, turned into STZ-induced diabetic pregnant rats)",N/A,Biomedical,No
1999,December,N/A,"Exendin-4 stimulates both beta-cell replication and neogenesis, resulting in increased beta-cell mass and improved glucose tolerance in diabetic rats",Xu et al,1,Male,A score of 1 was given because only male mice were used (Male Sprague-Dawley rats).,National Institutes of Health,Biomedical,Yes
1999,December,N/A,Evidence for glucose/hexosamine in vivo regulation of insulin/IGF-I hybrid receptor assembly,Federici et al,1,Male,A score of 1 was given because only male mice were used (male Sprague-Dawley rats).,BIOMED 2 EC-Programme and Ministero dell'Universita e Ricerca Scientifica e Tecnologica,Biomedical,No
1999,December,N/A,Hypothalamic neuronal histamine as a target of leptin in feeding behavior,Yoshimatsu et al,1,Male,A score of 1 was given because only male mice were used (Male Wistar rats),"Japanese Ministry of Education, Science and Culture, Japanese Ministry of Health and Welfare, Japense Fisheries Agency for Research into Efficient Exploitation of Marine Products for Promotion of Health",Biomedical,No
1999,December,N/A,Effects of graft-versus-host reaction on intrahepatic islet transplants,Li et al,1,Male,A score of 1 was given because only male mice were used (male Lewis and Lewis X Brown Norway F1 (LBNFI) rats).,"Juvenile Diabetes Foundation International , National Institutes of Health",Biomedical,Yes
1999,December,N/A,Immunotherapy of NOD mice with bone marrow-derived dendritic cells,Feili-Hariri et al,1,Female,A score of 1 was given because only female mice were used (Female NOD mice and SWR mice).,National Institutes of Health,Biomedical,Yes
1999,December,N/A,Beta-cell maturation leads to in vitro sensitivity to cytotoxins,Nielsen et al,0,,A score of 0 was given because sex was unspecified for cell culture (NHI and AN cell systems).,"Danish Diabetes Foundation, Juvenile Diabetes Foundation International, Novo Nordisk",Biomedical,No
1999,December,N/A,Early prophylaxis with recombinant human interleukin-11 prevents spontaneous diabetes in NOD mice,Nicoletti et al,3,,"A score of 3 was given because both sexes of mice were included between all experiments. (NOD mice of both sexes were used for some experiments, female NOD mice only for other experiments, and euglycemic male NOD mice received intravenous enjection of spleen cells from diabetic female NOD mice for one experiment.)","University of Milan, Swedish Medical Research Council, Swedish Diabetes Association, Danish Biotechnology Center, Genetic Institute (Cambridge, Massachusetts)",Biomedical,No
1999,December,N/A,A critical role for human CD4+ T-cells in rejection of porcine islet cell xenografts,Friedman et al,1,Female,A score of 1 was given because only female mice were used (female C57BL/6 mice).,"National Institutes of Health, Juvenile Diabetes Foundation Center for Islet Transplanation at Harvard Medical School",Biomedical,Yes
1999,December,N/A,ATP-sensitive potassium channels and efaroxan-induced insulin release in the electrofusion-derived BRIN-BD11 beta-cell line,Chapman et al,0,,A score of 0 was given because the sex of cell culture was unspecified (BRIN-BD11 cells),"British Diabetic Association, Northern Ireland Developmental Research Fund, European Union through the Islet Research European Network Concerted Action, Adlerbertska Forskningsfonden, Ake Witergsstiftelse, Wilhelm och Martina Lundgrens Vetenskapsfond, NFR",Biomedical,No
1999,December,N/A,Glucagon-like peptide 1 and exendin-4 convert pancreatic AR42J cells into glucagon- and insulin-producing cells,Zhou et al,0,,A score of 0 was given because sex was unspecified for cell culture AR42J cells.,N/A,Biomedical,No
