Ordered Reference Number (ORN),Virtual Platform,Database (DB),Unique Identifier (UI),Authors (AU),Title (TI),Comments,Source/Publication (SO),Abstract (AB),Main Headers (MH),Other Designations (OD),Database notes 1,Database notes 2,Other notes (ON),Useful Related References 1,Keywords,Useful Related References 2,Observations,Secondary sources/access,
341,Ovid Technologies,Embase,70742157,"Shea C.

Shiee N.

Pham D.

Reich D.",Automated MS lesion segmentation and longitudinal tracking via subtraction imaging.,"Longitudinal study of MS lesion evolution using neurite orientation dispersion and density imaging, relaxometry and magnetization transfer imaging.","Multiple Sclerosis. Conference: 5th Joint Triennial Congress of the European and Americas Committees for Treatment and Research in Multiple Sclerosis. Amsterdam Netherlands. Conference Publication: (var.pagings). 17 (10 SUPPL. 1) (pp S154), 2011. Date of Publication: October 2011.","Background: Lesion activity on MRI is a sensitive tool in monitoring biological processes in MS. Studies have shown that subtraction imaging improves conspicuity and detection of new lesions in the context of treatment trials, and that individual lesions exhibit changes in volume and signal intensity that are not captured in aggregate findings such as lesion load and count. Objective: To develop an automated procedure to detect, delineate, and track new and changing MS lesions via subtraction MRI in order to study their spatiotemporal dynamics in largescale longitudinal datasets. Materials and methods: From an existing longitudinal dataset of individuals with MS, 4 individuals (1M, 3F) were chosen at random from patients with at least 5 scans. T1-, T2-, proton density (PD), and T2-FLAIR-weighted scans were analyzed together from each time point. All image processing was performed using Java Image Science Toolkit (JIST) with Medical Image Processing and Visualization (MIPAV). For each individual, volumes were coregistered through a longitudinal registration scheme. Each scan was normalized relative to its normal appearing white matter (NAWM) intensity. Images were compared in chronological pair-wise fashion by subtracting the most recent previous scan. Hyperintense voxels were classified into potential lesions versus noise and artifacts by characterizing the intensity histograms of the subtraction images. Lesion masks were combined across time points using a joining algorithm to maintain consistent lesion ID values, including in cases where newly appearing lesions overlapped previously existing lesions. Results: A total of 63 time points across all patients were analyzed over an average of 4.3 years per individual. On average, 19 lesions were segmented per year of study. Visual comparison showed consistent agreement between segmented lesion masks and their corresponding normalized images. ID values were preserved, allowing longitudinal analysis of image-derived measures within individual lesions. Conclusions: We propose a robust automated method for segmenting and tracking MS lesions. This enables the study of spatiotemporal dynamics in individual lesions at a level of detail and on a scale that was previously unfeasible with previous techniques.","*Western Hemisphere

*multiple sclerosis

*imaging

patient

image processing

human

dynamics

registration

procedures

monitoring

density

nuclear magnetic resonance imaging

histogram

white matter

artifact

noise

algorithm

proton","*Western Hemisphere

*multiple sclerosis

*imaging

patient

image processing

human

dynamics

registration

procedures

monitoring

density

nuclear magnetic resonance imaging

histogram

white matter

artifact

noise

algorithm",proton,,,,,,,,
342,Ovid Technologies,Embase,70742145,"Popescu V.

Hoogstrate W.S.

Van Schijndel R.A.

Barkhof F.

Vrenken H.",The amount of peripheral CSF affects brain tissue type segmentation in MS.,,"Multiple Sclerosis. Conference: 5th Joint Triennial Congress of the European and Americas Committees for Treatment and Research in Multiple Sclerosis. Amsterdam Netherlands. Conference Publication: (var.pagings). 17 (10 SUPPL. 1) (pp S148), 2011. Date of Publication: October 2011.","Background: Many MR imaging analysis methods use brain/ non-brain separation. A popular software tool is FSL-BET. It aims to find the intracranial cavity (ICC) contour, but usually the outer surface is in the peripheral cerebrospinal fluid (pCSF). In diseases like multiple sclerosis (MS), the amount of lesions influences segmentation1. We hypothesized that segmentation is also affected when the ICC is incorrectly outlined, and the edge of the BET-mask is closer to the cortex. Aim: to assess whether segmentation of grey matter (GM) and white matter (WM) in MS depends on the amount of pCSF within the mask. Methods: We included 1.5T 3DT1 MR images (1x1x1mm) of 10 MS patients. Both the ICC (gold standard) and the brain surface were manually outlined. The brain mask was sequentially dilated (3x3x3 kernel) until reaching the ICC mask. The 3DT1 image was masked with each intermediate mask, and GM/WM was segmented using FSL-FAST. We calculated the GM/WM volumes for the gold standard segmentation, for the strict brain mask, and each intermediate mask. We compared volumes for each mask to the gold standard volume, and to the gold standard segmentation masked with the corresponding intermediate mask, all using paired t-tests with significance at p<0.05. Results: GM volume was reduced compared to the gold standard only for the strict brain mask (mean decrease 1.9%, p=0.009) and the first intermediate mask (p=0.048). However, WM volume was reduced for the strict brain mask and the first 7 intermediate masks, indicating that the segmentation itself is affected (mean WM volume decrease for brain mask 6.9%, p<0.001). GM volume was smaller than the corresponding masked gold standard GM volume for the brain mask, but this difference was not significant (p=0.097). By contrast, WM volumes were smaller than corresponding masked WM volumes for the brain mask and the first 7 intermediate masks (for brain mask by 6.8%, p<0.001). Discussion: This study demonstrates that the amount of CSF around the brain influences the FAST segmentation. As long as some pCSF is present, GM volume does not depend on the exact amount of pCSF, even in the presence of atrophy and MS lesions. However, WM segmentation does depend on pCSF amount. Conclusion: Strict brain edge segmentation leads to compromised FAST segmentation output in MS, especially for WM.","*brain tissue

*Western Hemisphere

*multiple sclerosis

*tissues

*cerebrospinal fluid

brain

gold standard

gray matter

nuclear magnetic resonance imaging

human

diseases

Student t test

patient

nuclear magnetic resonance

computer program

white matter

brain cortex

atrophy","*brain tissue

*Western Hemisphere

*multiple sclerosis

*tissues

*cerebrospinal fluid

brain

gold standard

gray matter

nuclear magnetic resonance imaging

human

diseases

Student t test

patient

nuclear magnetic resonance

computer program

white matter

brain cortex

atrophy",,,,,,,,,
343,Ovid Technologies,Embase,70741897,"Sati P.

George I.C.

Shea C.D.

Gaitan M.I.

Reich D.S.",FLAIR*: A new MRI contrast for visualising perivascular distribution of multiple sclerosis lesions.,,"Multiple Sclerosis. Conference: 5th Joint Triennial Congress of the European and Americas Committees for Treatment and Research in Multiple Sclerosis. Amsterdam Netherlands. Conference Publication: (var.pagings). 17 (10 SUPPL. 1) (pp S32), 2011. Date of Publication: October 2011.","Objective: To noninvasively investigate the brain in MS with a simple and fast MRI method we call FLAIR*. The FLAIR* contrast combines T2-weighted Fluid Attenuated Inversion Recovery (FLAIR) and T2*-weighted contrast, which are sensitive to complementary aspects of tissue damage in MS, in a single image. Material and methods: Ten individuals with MS were scanned under an IRB-approved protocol on a Philips Achieva 3T MRI system with dual-transmit body-coil excitation and an 8-channel head coil. 3D FLAIR images were acquired using a FLAIRVISTA sequence, and whole brain 3D T2*-weighted images were collected using a flow-compensated segmented echo-planarimaging (seg-EPI) sequence. Both sequences are provided by the manufacturer on the scanner platform. Whole-brain coverage was achieved with a voxel resolution of 1x1x1mm3 for FLAIR and 0.5x0.5x1mm3 for seg-EPI. Acquisition time was 6 min for FLAIR and less than 90 sec for seg-EPI. FLAIR and seg-EPI magnitude images were rigidly co-registered and multiplied to generate the FLAIR* contrast. Results: Analysis of the FLAIR* images reveals unique contrast that is especially useful in MS, as it combines the sensitivity of both component techniques to salient pathologic features of MS. The 3D-FLAIR component defines white matter lesions and their relationship to normal brain structures, including the ventricles and cortex, in both supratentorial and infratentorial compartments. The T2*-weighted component adds information about intralesional and extralesional veins, and metal deposition. The perivenular distribution of focal lesions is clearly demonstrated in the combined FLAIR* images. Conclusions: We propose a simple and fast method for generating clinically interpretable FLAIR* images at standard field MRI. The method requires addition of a T2*-weighted segmented-EPI sequence, which covers the whole brain in 90sec. Post-processing is limited to rigid co-registration and multiplication of the FLAIR and seg-EPI images. The resulting high-quality images can be routinely obtained on MS patients at 3T and powerfully reveal the perivascular distribution of MS lesions.","*multiple sclerosis

*Western Hemisphere

*nuclear magnetic resonance imaging

brain

intralesional drug administration

patient

white matter lesion

registration

processing

excitation

human

vein

tissue injury

liquid

metal","*multiple sclerosis

*Western Hemisphere

*nuclear magnetic resonance imaging

brain

intralesional drug administration

patient

white matter lesion

registration

processing

excitation

human

vein

tissue injury

liquid",metal,,,,,,,,
344,Ovid Technologies,Embase,70741891,"Gaitan M.I.

Sati P.

Inati S.

Reich D.S.",Initial investigation of the blood-brain barrier in MS lesions at 7 Tesla.,,"Multiple Sclerosis. Conference: 5th Joint Triennial Congress of the European and Americas Committees for Treatment and Research in Multiple Sclerosis. Amsterdam Netherlands. Conference Publication: (var.pagings). 17 (10 SUPPL. 1) (pp S28-S29), 2011. Date of Publication: October 2011.","Background and objective: Investigation of spatiotemporal patterns of blood-brain barrier (BBB) opening via dynamic contrast-enhanced (DCE) MRI gives insight into the pathogenesis of tissue damage in MS lesions. As recently shown, newly forming white matter lesions have one of two dynamical patterns of spatiotemporal enhancement: Medium-sized, early lesions enhance centrifugally (central enhancement expands into a nodule), whereas older, larger lesions enhance centripetally (thin peripheral enhancement gradually fills the lesion center). In previous work at standard field strength, characterization of these dynamics in smaller lesions (<5mm diameter) was limited, as was a detailed investigation of enhancement patterns within gray matter. Our objective was to examine spatiotemporal enhancement using high-resolution MRI at ultra-high field strength. Methods: Patients were scanned in a 7T Siemens scanner using a NOVA head coil with volume transmit and 32 receive channels. Whole-brain 3D-MPRAGE (TR=2200ms; TE=2.93ms; TI=1050ms; FA=7deg; 0.8mm3 isotropic voxels) was acquired before and after gadolinium-DTPA administration of 0.1mmol/ kg over 1min. Dedicated 3D DCE-MRI (3D-FLASH, voxel size=0.5x0.5x0.8mm; TR=9ms; TE=5.66ms; FA=13deg; 32 axial slices; AT= 32s) was acquired during and after contrast administration over 30 min. Results: We scanned 3 patients with relapsing-remitting MS and 3 patients with primary-progressive MS. DCE-MRI was performed in 5 of 11 enhancing lesions. Two lesions <3mm in diameter initially enhanced as punctate nodules and subsequently enhanced centrifugally. One lesion, 4.5mm in diameter, enhanced centripetally, evolving from a thin peripheral ring into a nodular lesion but also showing slight outward spread of the enhancing margin. Interestingly, a leukocortical lesion, 4.1mm in diameter, initially enhanced as a juxtacortical open-ring, but after 6min slight enhancement of the deeper layers of cortex was observed. Discussion: Our initial investigation of enhancing MS lesions at high resolution confirms that small lesions tend to enhance centrifugally and reveals two new features: delayed spread of enhancement into the cortex in a juxtacortical lesion and slight outward spread of enhancement from the initially enhancing peripheral ring. The timing of these events suggests that flow of the contrast agent through tissue, rather than local BBB opening, may be responsible for these patterns of spread.","*blood brain barrier

*Western Hemisphere

*multiple sclerosis

human

patient

nuclear magnetic resonance imaging

white matter lesion

tissue injury

brain

pathogenesis

gray matter

tissues

dynamics

gadolinium pentetate

contrast medium

pentetic acid","*blood brain barrier

*Western Hemisphere

*multiple sclerosis

human

patient

nuclear magnetic resonance imaging

white matter lesion

tissue injury

brain

pathogenesis

gray matter

tissues

dynamics","gadolinium pentetate

contrast medium

pentetic acid",,,,,,,,
345,Ovid Technologies,Embase,70741889,"Mueller-Lenke N.

Kappos L.

Pehrs-Juvillier A.C.

Naegelin Y.

Bendfeldt K.

Sprenger T.

Stippich C.

Radue E.W.",Developmental venous anomaly as differential diagnosis of acute multiple sclerosis plaques: Findings in a cohort of 3'643 patients.,,"Multiple Sclerosis. Conference: 5th Joint Triennial Congress of the European and Americas Committees for Treatment and Research in Multiple Sclerosis. Amsterdam Netherlands. Conference Publication: (var.pagings). 17 (10 SUPPL. 1) (pp S27-S28), 2011. Date of Publication: October 2011.","Introduction: With the increasing importance of contrastenhancing (co) plaques for diagnosing multiple sclerosis (MS) in the recently revised Mc-Donald criteria it is crucial to avoid a misinterpretation of other co- abnormalities as MS-lesions. Developmental venous anomaly (DVA) is one of these pitfalls. DVAs (the most common cerebral vascular malformation (VM)) are frequent incidental findings. Due to their manifold appearance DVAs may be difficult to differentiate from acute MS lesions on a single scan but are characterized by persistent enhancement on follow up scans. The purpose of this study is to analyse the incidence and appearance of DVA on magnetic resonance imaging (MRI) in a large cohort of MS-patients. Material and methods: MRI-scans of 3643 MS-patients from four international multicenter-trials were studied. All patients had brain MRIs performed according to a predefined MRI-protocol including proton density/ t2w, pre- and postgadolinium enhanced t1w scans. All scans were done with 3 mm slice thickness, no gap, axial plane, in subcallosal line, on 1.5 or 3.0 T scanners. Co-t1w scans were screened by a neuroradiologist for possible DVAs that had to be confirmed on follow up scans. Possible DVAs were defined by pattern of location, anatomical area, size, shape, presence or absence of flow void or chemical shift artefacts and were counted as definite DVAs if confirmed on a follow up scan at least 6 month apart. Results: 490 (13,1%) of 3643 MS-patients had a total of 664 confirmed DVAs with an equal left/right distribution. 78 % were supratentorial , 22% infratentorial. 47% were small. Two other types of VM were identified (34 teleangiectasias, 5 cavernomas). Other imaging patterns will be described, including examples of DVAs mimicking acute MS plaques. Discussion: Our study shows that intracerebral DVAs are a very common incidental finding with at least every tenth MS-patient having such a vascular lesion. Due to different size, shape and location the typical appearance of a DVA with multiple enlarged vessels converging on a dilated parenchymal vessel is often incompletely visible. It is mandatory to recognize and to know the different MRIappearances of DVAs to avoid misjudging it as acute contrastenhancing MS lesions. Small solitary contrast-enhancing MS-plaques seen on a single MRI-scan without follow up should be checked for a clear t2-correlate, no flow void and no tubular structure before considering it for the diagnosis of MS.","*multiple sclerosis

*patient

*human

*Western Hemisphere

*differential diagnosis

follow up

nuclear magnetic resonance imaging

incidental finding

multicenter study

diagnosis

vascular lesion

cerebrovascular malformation

imaging

artifact

proton nuclear magnetic resonance

thickness

brain

intracerebral drug administration

proton","*multiple sclerosis

*patient

*human

*Western Hemisphere

*differential diagnosis

follow up

nuclear magnetic resonance imaging

incidental finding

multicenter study

diagnosis

vascular lesion

cerebrovascular malformation

imaging

artifact

proton nuclear magnetic resonance

thickness

brain

intracerebral drug administration",proton,,,,,,,,
346,Ovid Technologies,Embase,70741869,"Metz I.

Radue E.-W.

Oterino A.

Kumpfel T.

Wiendl H.

Schippling S.

Kuhle J.

Sahraian M.A.

Gray F.

Jakl V.

Hausler D.

Bruck W.",Pathology of immune reconstitution inflammatory syndrome in multiple sclerosis.,,"Multiple Sclerosis. Conference: 5th Joint Triennial Congress of the European and Americas Committees for Treatment and Research in Multiple Sclerosis. Amsterdam Netherlands. Conference Publication: (var.pagings). 17 (10 SUPPL. 1) (pp S17-S18), 2011. Date of Publication: October 2011.","Objectives: Natalizumab is an approved medication for highly active multiple sclerosis (MS). In rare cases, progressive multifocal leukoencephalopathy (PML) can be a complication of this drug. Here, we describe pathological and radiological characteristics of immune reconstitution inflammatory syndrome (IRIS) that occurs in natalizumab-associated PML after cessation of therapy, and differentiate it from ongoing PML and severe MS rebound. Methods: Brain biopsy tissue and MRI scans from five MS patients with natalizumab-associated PML were analyzed and compared with non-MS PML. Results: Histology showed an extensive CD8-dominated T cell infiltrate and numerous macrophages within lesions, and in nondemyelinated white and grey matter, in four out of five cases. Few or no virally infected cells were found. This was indicative of IRIS as known from HIV patients with PML. Outstandingly high numbers of plasma cells were present as compared to non- MS PML and typical MS lesions. MRI was compatible with IRIS, revealing enlarging lesions with a band-like or speckled contrast enhancement, either at the lesion edge or within lesions. Only the fifth patient showed typical PML pathology with low inflammation and high numbers of virally infected cells. MRI could not differentiate between IRIS and PML. Interpretation: We describe in detail the histopathology of IRIS in natalizumab-associated PML. IRIS, ongoing PML infection, and MS exacerbation may be impossible to discern clinically alone. MRI may give some hints to distinguish different pathologies, which are definitely proven by histological characteristics. Thus biopsy seems necessary in particular cases to guide the clinicians' therapeutic decisions. IM received payment for lectures from TEVA, Biogen Idec and Sanofi-Aventis as well as travel and accomodation expenses from Biogen Idec and Bayer Healthcare. EWR is a board member of Novartis and Biogen Idec, received payment for consultancy from Novartis, Biogen Idec, Bayer Healthcare and Merck Serono as well as for lectures from Novartis, Biogen Idec and Bayer Healthcare. TK received compensations for travel and accomodation from Biogen Idec, Merck Serono, Bayer Healthcare and Novartis. HW is a board member of the pharmaceutical companies Biogen Idec and Novartis and received payments for consultancy, for lectures as well as grants from Bayer Healthcare, Biogen Idec, Sanofi-Aventis, Serono, TEVA, Medac, Lundbeck, and Novo Nordisk. SS received grants from Biogen Idec and JK from the Swiss Multiple Sclerosis Society. MAS received payments for lectures from Biogen Idec, Bayer Healthcare and Merck Serono. WB is a board member of TEVA, Novartis and Sanofi-Aventis, received payments for consultancy from TEVA, Biogen Idec and Novartis,grants from TEVA, Novartis, Biogen Idec and Bayer Healthcare and he received payments for lectures as well as travel and accomodation expenses from TEVA, Biogen Idec, Bayer Healthcare, Sanofi-Aventis, Merck Serono and Novartis. FG, AO, VJ and DH declare no conflicts of interest.","*multiple sclerosis

*immune reconstitution inflammatory syndrome

*Western Hemisphere

*pathology

health care

human

patient

travel

nuclear magnetic resonance imaging

progressive multifocal leukoencephalopathy

T lymphocyte

infection

histology

inflammation

plasma cell

tissues

brain biopsy

gray matter

contrast enhancement

histopathology

therapy

biopsy

macrophage

cell infiltration

compensation

conflict of interest

society

drug industry

drug therapy

Human immunodeficiency virus

recombinant gamma interferon

natalizumab

CD8 antigen

lomustine","*multiple sclerosis

*immune reconstitution inflammatory syndrome

*Western Hemisphere

*pathology

health care

human

patient

travel

nuclear magnetic resonance imaging

progressive multifocal leukoencephalopathy

T lymphocyte

infection

histology

inflammation

plasma cell

tissues

brain biopsy

gray matter

contrast enhancement

histopathology

therapy

biopsy

macrophage

cell infiltration

compensation

conflict of interest

society

drug industry

drug therapy

Human immunodeficiency virus","recombinant gamma interferon

natalizumab

CD8 antigen

lomustine",,,,,,,,
347,Ovid Technologies,Embase,70492993,"Derraz F.

Hautecoeur P.

Taleb-Ahmed A.

Peyrodie L.

Pinti A.

Forzy G.",Incorporating expert knowledge in fast semi-automated based Active Contours method in detecting multiple sclerosis lesions.,,"International Journal of Computer Assisted Radiology and Surgery. Conference: Computer Assisted Radiology and Surgery - 25th International Congress and Exhibition, CARS 2011. Berlin Germany. Conference Publication: (var.pagings). 6 (SUPPL. 1) (pp S330), 2011. Date of Publication: June 2011.","Purpose: Our purpose in this study was to develop a fast globally semi-automated method for segmentation incorporating expert knowledge of White Matter (WM) and Multiple Sclerosis (MS) lesions in Regions Of Interest (ROI) within brain Magnetic Resonance (MR) images. Methods: Our purpose is to develop new globally semi-automatic segmentation based Active Contour (AC) [2] model for MS lesion incorporates expert knowledge within the formulation of AC framework. The expert knowledge integrates manual and texture information in ROI, in order to produce more reliable MS segmentation results. In particular, the user selects manually coarse RIO that encloses potential MS lesions and a sufficient background of the healthy White Matter tissues (WM) in one slice of MRI sequence. Having this two class statistic properties, we can extract texture features corresponding to health and MS lesion. Results: We applied our segmentation method to T1-weighted, T2-weighted, and FLAIR images acquired from 17 MS patients, (7 MS Male patients) and (10 Female patients). All brain MR images were acquired with a 1.5T MR system. All images were acquired with a (Figure presented) (Table presented) section thickness of 5 mm, an intersection gap of 1 mm, a field of view of 22 cm, and 16-bit gray levels. Zero-fill interpolation processing was used for reconstruction of images with 512 9 512 pixels and a pixel size of 0.4297 mm, which result in apparent high-resolution images [1]. The results obtained are compared to traditional AC with prior knowledge and an expert segmentation done by neuroradiologists (Fig. 1). In the Table below (Table. 1), we compare segmentation results for sample patients in Dice term. The Dice of the traditional AC with the prior knowledge method shows a 78,07 and our segmentation drawn a 81,52. Conclusion: Therefore, the proposed method might be feasible as segmentation tool to detect lesion MS patients in clinical practice.","*multiple sclerosis

*surgery

*radiology

*computer

patient

human

nuclear magnetic resonance

white matter

brain

male

thickness

female

clinical practice

processing

model

tissue

health

nuclear magnetic resonance imaging

book","*multiple sclerosis

*surgery

*radiology

*computer

patient

human

nuclear magnetic resonance

white matter

brain

male

thickness

female

clinical practice

processing

model

tissue

health

nuclear magnetic resonance imaging

book",,,,,,,,,
348,Ovid Technologies,Embase,70409102,"Travaglini D.

De Luca G.

Pietrolongo E.

Farina D.

Di Ioia M.

Di Tommaso V.

Lugaresi A.",Spinal cord injury in a patient with multiple sclerosis with secondary hydromyelia.,,"Journal of Neurology. Conference: 21st Meeting of the European Neurological Society. Lisbon Portugal. Conference Publication: (var.pagings). 258 (SUPPL. 1) (pp S209-S210), 2011. Date of Publication: May 2011.","Background: MS is a demyelinating disease, characterized by multiple lesions in the white matter of the central nervous system (CNS). Cases of MS associated with spinal cord cavity diagnosed by MRI or detected through autopsy have been reported since 1985. It was assumed that the cavitary lesion was generated by a disturbance in the dynamics of the cerebrospinal fluid, caused by trauma, myelitis, arachnoiditis or spinal tumors. In MS cases it was postulated that the cavitation is caused by tissue necrosis within the lesions. However, the pathogenic mechanism of the simultaneous presence of MS lesions and hydromyelia, remains unclear up to now. Case report: A 46-year-old man, affected by bipolar syndrome since 2000, with history of drugs abuse until 2001, presented with diplopia in 1990. Silent family history. In 2002, the first brain MRI was normal. In November 2006, he had diplopia again, brain MRI and Angio-MRI showed small areas of increased signal in the cortex and subcortical regions, moderate widening of the ventricles. In September 2009, he had right lower limbs weakness and hypoesthesia, with D7 level, right ankle apallesthesia, urinary retention, EDSS was 6.0. Brain and spinal cord MRI showed multiple spinal demyelinating lesions from C5 to D9, most of them with Gd enhancement, and a central cavity from D6 to D8, suggestive of hydromyelia. Positive oligoclonal bands, VEPs were abnormal bilaterally. MS was diagnosed. In January 2010 the patient started interferon beta-1b. He had two relapses with spinal cord symptoms in March and June 2010. In August 2010 spinal cord MRI showed new dorsal lesions and worsening of hydromyelia, associated with lumbar swelling. In December 2010 the patient developed paraplegia, urinary retention and constipation EDSS was 7.0. Spinal cord MRI showed new cervical and dorsal areas, all with Gd enhancement, stable hydromyelia. The patient did not recover after steroids. Conclusions: In some cases demyelinating spinal cord lesions and hydromyelia can be associated and, as in this case, it is not easy to establish whether symptoms derive from demyelination or cord compression due to enlargement of the cavitation. It remains to be clarified whether they are two distinct diseases or the spinal cord cavitation derives from the confluence of the demyelinating lesions evolving in necrosis. It would be important to discover clinical and radiological prognostic indicators.","*society

*hydromyelia

*patient

*spinal cord injury

*multiple sclerosis

nuclear magnetic resonance imaging

spinal cord

brain

urine retention

diplopia

ankle

hypesthesia

relapse

swelling

paraplegia

constipation

spinal cord lesion

demyelination

compression

necrosis

demyelinating disease

white matter

central nervous system

dynamics

cerebrospinal fluid

myelitis

injury

arachnoiditis

spinal cord tumor

tissue necrosis

case report

male

family history

leg

weakness

abuse

autopsy

gadolinium

oligoclonal band

interferon

steroid","*society

*hydromyelia

*patient

*spinal cord injury

*multiple sclerosis

nuclear magnetic resonance imaging

spinal cord

brain

urine retention

diplopia

ankle

hypesthesia

relapse

swelling

paraplegia

constipation

spinal cord lesion

demyelination

compression

necrosis

demyelinating disease

white matter

central nervous system

dynamics

cerebrospinal fluid

myelitis

injury

arachnoiditis

spinal cord tumor

tissue necrosis

case report

male

family history

leg

weakness

abuse

autopsy","gadolinium

oligoclonal band

interferon

steroid",,,,,,,,
349,Ovid Technologies,Embase,359941079,"Tardif C.L.

Collins D.L.

Eskildsen S.F.

Richardson J.B.

Pike G.B.",Segmentation of cortical MS lesions on MRI using automated laminar profile shape analysis.,,"Medical image computing and computer-assisted intervention : MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention. 13 (Pt 3) (pp 181-188), 2010. Date of Publication: 2010.","Cortical multiple sclerosis lesions are difficult to detect in magnetic resonance images due to poor contrast with surrounding grey matter, spatial variation in healthy grey matter and partial volume effects. We propose using an observer-independent laminar profile-based parcellation method to detect cortical lesions. Following cortical surface extraction, profiles are extended from the white matter surface to the grey matter surface. The cortex is parcellated according to profile intensity and shape features using a k-means classifier. The method is applied to a high-resolution quantitative magnetic resonance data set from a fixed post mortem multiple sclerosis brain, and validated using histology.","aged

*algorithm

article

*automated pattern recognition

*brain cortex

*computer assisted diagnosis

female

human

image enhancement

methodology

*multiple sclerosis

*myelinated nerve

*nuclear magnetic resonance imaging

pathology

reproducibility

sensitivity and specificity","aged

*algorithm

article

*automated pattern recognition

*brain cortex

*computer assisted diagnosis

female

human

image enhancement

methodology

*multiple sclerosis

*myelinated nerve

*nuclear magnetic resonance imaging

pathology

reproducibility

sensitivity and specificity",,,,,,,,,
350,Ovid Technologies,Embase,359941062,"Karimaghaloo Z.

Shah M.

Francis S.J.

Arnold D.L.

Collins D.L.

Arbel T.",Detection of Gad-enhancing lesions in multiple sclerosis using conditional random fields.,,"Medical image computing and computer-assisted intervention : MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention. 13 (Pt 3) (pp 41-48), 2010. Date of Publication: 2010.","Identification of Gad-enhancing lesions is of great interest in Multiple Sclerosis (MS) disease since they are associated with disease activity. Current techniques for detecting Gad-enhancing lesions use a contrast agent (Gadolinium) which is administered intravenously to highlight Gad-enhancing lesions. However, the contrast agent not only highlights these lesions, but also causes other tissues (e.g., blood vessels) or noise in the Magnetic Resonance Image (MRI) to appear hyperintense. Discrimination of enhanced lesions from other enhanced structures is particularly challenging as these lesions are typically small and can be found in close proximity to vessels. We present a new approach to address the segmentation of Gad-enhancing MS lesions using Conditional Random Fields (CRF). CRF performs the classification by simultaneously incorporating the spatial dependencies of data and labels. The performance of the CRF classifier on 20 clinical data sets shows promising results in successfully capturing all Gad-enhancing lesions. Furthermore, the quantitative results of the CRF classifier indicate a reduction in the False Positive (FP) rate by an average factor of 5.8 when comparing to Linear Discriminant Analysis (LDA) and 1.6 comparing to a Markov Random Field (MRF) classifier.","algorithm

article

*automated pattern recognition

*brain

*computer assisted diagnosis

human

*image enhancement

methodology

*multiple sclerosis

*nuclear magnetic resonance imaging

pathology

reproducibility

sensitivity and specificity

statistical analysis

contrast medium

diagnostic agent

*gadolinium","algorithm

article

*automated pattern recognition

*brain

*computer assisted diagnosis

human

*image enhancement

methodology

*multiple sclerosis

*nuclear magnetic resonance imaging

pathology

reproducibility

sensitivity and specificity

statistical analysis","contrast medium

diagnostic agent

*gadolinium",,,,,,,,
351,Ovid Technologies,Embase,359940987,"Grigis A.

Noblet V.

Renard F.

Heitz F.

Armspach J.P.

Rumbach L.",Change detection in diffusion MRI using multivariate statistical testing on tensors.,,"Medical image computing and computer-assisted intervention : MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention. 13 (Pt 2) (pp 117-124), 2010. Date of Publication: 2010.","This paper presents a longitudinal change detection framework for detecting relevant modifications in diffusion MRI, with application to Multiple Sclerosis (MS). The proposed method is based on multivariate statistical testings which were initially introduced for tensor population comparison. We use these methods in the context of longitudinal change detection by considering several strategies to build sets of tensors characterizing the variability of each voxel. These testing tools have been considered either for the comparison of tensor eigenvalues or eigenvectors, thus enabling to differentiate orientation and diffusivity changes. Results on simulated MS lesion evolutions and on real data are presented. Interestingly, experiments on an MS patient highlight the ability of the proposed approach to detect changes in non evolving lesions (according to conventional MRI) and around lesions (in the normal appearing white matter), which might open promising perspectives for the follow-up of the MS pathology.","*algorithm

article

*automated pattern recognition

*brain

*computer assisted diagnosis

*diffusion tensor imaging

human

image enhancement

methodology

*multiple sclerosis

multivariate analysis

pathology

reproducibility

sensitivity and specificity

statistical analysis","*algorithm

article

*automated pattern recognition

*brain

*computer assisted diagnosis

*diffusion tensor imaging

human

image enhancement

methodology

*multiple sclerosis

multivariate analysis

pathology

reproducibility

sensitivity and specificity

statistical analysis",,,,,,,,,
